"#" "Project" "Repository" "Mailing list (Gmane)"
1 "LibreOffice" "http://anongit.freedesktop.org/git/libreoffice/core.git" "gmane.comp.documentfoundation.libreoffice.devel"
2 "Firefox" "https://github.com/mozilla/gecko-dev.git" "gmane.comp.mozilla.firefox.devel"
3 "FFmpeg" "git://source.ffmpeg.org/ffmpeg.git " "gmane.comp.video.ffmpeg.devel"
4 "Cassandra" "http://git-wip-us.apache.org/repos/asf/cassandra.git" "gmane.comp.db.cassandra.devel"
5 "Git" "https://github.com/git/git.git" "gmane.comp.version-control.git"
6 "OpenSSL" "git://git.openssl.org/openssl.git" "gmane.comp.encryption.openssl.devel"
7 "GRUB" "git://git.savannah.gnu.org/grub.git" "gmane.comp.boot-loaders.grub.devel"
8 "nginx" "https://github.com/nginx/nginx.git" "gmane.comp.web.nginx.devel"
9 "Audacity" "https://github.com/audacity/audacity.git" "gmane.comp.audio.audacity.devel"
10 "VLC" "git://git.videolan.org/vlc.git" "gmane.comp.video.videolan.vlc.devel"
11 "Tomcat" "git://git.apache.org/tomcat.git" "gmane.comp.jakarta.tomcat.devel"
12 "GIMP" "git://git.gnome.org/gimp" "gmane.comp.video.gimp.devel"
13 "Guix" "git://git.savannah.gnu.org/guix/dhcp.git" "gmane.comp.gnu.guix.devel"
14 "Mahout" "git://git.apache.org/mahout.git" "gmane.comp.apache.mahout.devel"
15 "CXF" "git://git.apache.org/cxf.git" "gmane.comp.apache.cxf.devel"
16 "Rails" "https://github.com/rails/rails.git" "gmane.comp.lang.ruby.rails.core"
17 "AngularJS" "https://github.com/angular/angular.js.git" "gmane.comp.lang.javascript.angularjs"
18 "libuv" "https://github.com/libuv/libuv.git" "gmane.comp.lang.javascript.nodejs.libuv"
19 "Bitcoin" "https://github.com/bitcoin/bitcoin" "gmane.comp.bitcoin.devel"
20 "Scala" "https://github.com/scala/scala" "gmane.comp.lang.scala"
21 "matplotlib" "https://github.com/matplotlib/matplotlib" "gmane.comp.python.matplotlib.devel"
22 "Qt" "git://code.qt.io/qt/qtbase.git" "gmane.comp.lib.qt.devel"
23 "NodeJS" "https://github.com/nodejs/node.git" "gmane.comp.lang.javascript.nodejs"
24 "GitLab" "https://github.com/gitlabhq/gitlabhq.git" "gmane.comp.version-control.gitlab"
25 "Tornado" "https://github.com/tornadoweb/tornado.git" "gmane.comp.python.tornado"
26 "Arduino" "https://github.com/arduino/Arduino.git" "gmane.comp.hardware.arduino.devel"
27 "ipython" "https://github.com/ipython/ipython" "gmane.comp.python.ipython.devel"
28 "Lucene" "git://git.apache.org/lucene-solr.git" "gmane.comp.jakarta.lucene.devel"
29 "Capistrano" "https://github.com/capistrano/capistrano" "gmane.comp.lang.ruby.capistrano.general"
30 "Django" "https://github.com/django/django.git" "gmane.comp.python.django.devel"
31 "Salt" "https://github.com/saltstack/salt.git" "gmane.comp.sysutils.salt.user"
32 "mongoose" "https://github.com/Automattic/mongoose.git" "gmane.comp.lang.javascript.mongoose"
33 "APR" "git://git.apache.org/apr.git" "gmane.comp.apache.apr.devel"
34 "Jackrabbit" "git://git.apache.org/jackrabbit.git" "gmane.comp.apache.jackrabbit.devel"
35 "Gnome-shell" "git://git.gnome.org/gnome-shell" "gmane.comp.gnome.shell"
36 "Krita" "git://anongit.kde.org/krita.git" "gmane.comp.kde.devel.krita"
37 "Blender" "https://git.blender.org/blender.git" "gmane.comp.video.blender.devel"
38 "Vagrant" "https://github.com/mitchellh/vagrant.git" "gmane.comp.tools.vagrant"
39 "NetworkManager" "git://anongit.freedesktop.org/NetworkManager/NetworkManager.git" "gmane.linux.network.networkmanager.devel"
40 "Eclipse CDT" "https://git.eclipse.org/r/cdt/org.eclipse.cdt" "gmane.comp.ide.eclipse.cdt.devel"
41 "Enlightenment" "https://git.enlightenment.org/core/enlightenment.git" "gmane.comp.window-managers.enlightenment.devel"
42 "libva" "git://anongit.freedesktop.org/git/libva" "gmane.comp.freedesktop.libva"
43 "JDO" "http://svn.apache.org/repos/asf/db/jdo" "gmane.comp.apache.db.jdo.devel"
44 "Jena" "git://git.apache.org/jena.git" "gmane.comp.apache.jena.devel"
45 "OpenNLP" "git://git.apache.org/opennlp.git" "gmane.comp.apache.opennlp.devel"
46 "Cayenne" "git://git.apache.org/cayenne.git" "gmane.comp.java.cayenne.devel"
47 "Pig" "git://git.apache.org/pig.git" "gmane.comp.java.hadoop.pig.devel"
48 "Calligra" "git://anongit.kde.org/calligra.git" "gmane.comp.kde.devel.calligra"
49 "Wine" "git://source.winehq.org/git/wine.git" "gmane.comp.emulators.wine.devel"
50 "Mallet" "https://github.com/mimno/Mallet.git" "gmane.comp.ai.mallet.devel"
51 "Gstreamer" "git://anongit.freedesktop.org/gstreamer/gstreamer" "gmane.comp.video.gstreamer.devel"
52 "U-boot" "http://git.denx.de/u-boot.git" "gmane.comp.boot-loaders.u-boot"
53 "LLVM" "http://llvm.org/git/llvm" "gmane.comp.compilers.llvm.devel"
54 "gPhoto" "svn://svn.code.sf.net/p/gphoto/code/trunk" "gmane.comp.multimedia.gphoto.devel"
55 "Emacs" "git://git.savannah.gnu.org/emacs.git" "gmane.emacs.devel"
56 "QEMU" "git://git.qemu.org/qemu.git" "gmane.comp.emulators.qemu"
57 "Python" "https://github.com/python/cpython.git" "gmane.comp.python.devel"
58 "Mesa" "git://anongit.freedesktop.org/mesa/mesa" "gmane.comp.video.mesa3d.devel"
59 "Sympy" "git://github.com/sympy/sympy.git" "gmane.comp.python.sympy"
60 "Okular" "git://anongit.kde.org/okular" "gmane.comp.kde.devel.okular"
