"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"9eae9e96f15e1f216162810cef4271a439a74223-f1d2d568776b3708dd6a3077376e2331f9268b04","2013-05 -- 2013-08",24,18,1,5,0.75,0.0417,0.2083,4,0.1667,0,0,1,12,12,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0.0833,0.5,0.4783,1,0.2122,0.2848,0.4384,0.2937,0.2937,0,0.2572,12,0,0,1,0,0
"f1d2d568776b3708dd6a3077376e2331f9268b04-c33a2ce74c84f0d435bfa2dd8953d132ebf7a77a","2013-08 -- 2013-11",33,25,2,6,0.7576,0.0606,0.1818,3,0.0909,0,0,1,14,14,1,0,0,8,0,0,1,1,0.2456,0.2857,0.3077,0.3077,0,0,0.2424,0.5758,0.5484,0.875,0.0797,0.2717,0.5379,0.0529,0.0539,-0.5,0.2121,13,0,1,0.9286,0,0.0714
"c33a2ce74c84f0d435bfa2dd8953d132ebf7a77a-bf5c5893d3a441c69c6cc9b53c6a78973d4eadac","2013-11 -- 2014-02",20,13,3,4,0.65,0.15,0.2,1,0.05,0,0,1,9,9,2,0,0,5,0,0,1,1,0.7547,0.4,0.6087,0.6087,0,0.15,0.25,0.55,0.4706,0.7143,0.114,0.3611,0.4737,0.213,0.2426,-0.4767,0.2105,7,0,2,0.7778,0,0.2222
"bf5c5893d3a441c69c6cc9b53c6a78973d4eadac-1e4968214a701cf3caab4913ba015807c3cede76","2014-02 -- 2014-05",20,14,1,5,0.7,0.05,0.25,3,0.15,0,0,1,11,11,0,0,0,0,0,0,1,1,0.4,0.4615,0.3,0.3,2,0.25,0,0.45,0.4211,1,0.2735,0.4017,0.5842,0.1987,0.1987,0,0.2579,11,0,0,1,0,0
"1e4968214a701cf3caab4913ba015807c3cede76-737a8c124794b8f53cc0a0c3337d6e2c7cde81f6","2014-05 -- 2014-08",15,9,1,5,0.6,0.0667,0.3333,2,0.1333,0,0,1,7,8,2,0,0,5,0,2,0.3333,0.7222,0.7429,0.6667,0.7778,0.7368,0,0,0.3333,0.5333,0.4286,0.6667,0.1211,0.3803,0.2762,0.2236,0.5035,-0.3887,0.1524,6,0,2,0.75,0,0.25
"737a8c124794b8f53cc0a0c3337d6e2c7cde81f6-01d209fb32b938780157e92444b9f3f7a6110f6e","2014-08 -- 2014-10",21,15,3,3,0.7143,0.1429,0.1429,1,0.0476,0,0,1,10,10,0,0,0,0,0,0,1,1,0.3333,0.5,0.3529,0.4444,2,0.1667,0,0.5238,0.4444,1,0.0956,0.2484,0.3119,0.3084,0.3084,0,0.2381,10,0,0,1,0,0
"01d209fb32b938780157e92444b9f3f7a6110f6e-3c818c6d7351f0130282d212a69035642f5fecad","2014-10 -- 2015-01",6,3,3,0,0.5,0.5,0,2,0.3333,0,0,1,2,2,0,0,0,3,0,0,1,1,1.3333,0.8889,1.5,1.5,0,0,0.5,0.6667,0.3333,1,0.1232,0.1,0.2667,-0.375,-0.375,0,0.1333,2,0,0,1,0,0
"3c818c6d7351f0130282d212a69035642f5fecad-61dde587598467613a3f6f373795a970129ba38f","2015-01 -- 2015-04",22,13,3,6,0.5909,0.1364,0.2727,1,0.0455,0,0,1,8,8,3,1,2,15,0,1,0.6667,0.9259,0.1429,0.3333,0.2,0.2,0,1,0.7273,0.6364,0.5789,0.6667,0.0944,0.3642,0.4329,0.0678,0.0267,0.0907,0.1385,5,0,3,0.625,0,0.375
"61dde587598467613a3f6f373795a970129ba38f-b5aeddc4cc229c4c9c68f4d1758b83524bd85d60","2015-04 -- 2015-08",21,14,4,3,0.6667,0.1905,0.1429,1,0.0476,0,0,1,9,9,0,0,0,0,0,0,1,1,0.4651,0.625,0.2353,0.2353,2,0.7,0,0.5714,0.4706,1,0.0847,0.1443,0.3095,0.1235,0.1235,0,0.1905,9,0,0,1,0,0
"b5aeddc4cc229c4c9c68f4d1758b83524bd85d60-2166cc3bcc084ea1be783f5088f44c9d89152861","2015-08 -- 2015-10",23,18,2,3,0.7826,0.087,0.1304,2,0.087,0,0,1,10,10,0,0,0,4,0,0,1,1,0.5,0.6667,0.3158,0.3158,0,0,0.1739,0.5652,0.5238,1,0.0797,0.1991,0.3617,0.097,0.097,0,0.2292,10,0,0,1,0,0
"2166cc3bcc084ea1be783f5088f44c9d89152861-3a18bf012cc74e9b7955ad2ced1d6328c6ab9331","2015-10 -- 2016-02",26,22,1,3,0.8462,0.0385,0.1154,1,0.0385,0,0,1,14,14,1,1,0,5,0,1,0,0.5,0.4898,0.6667,0.25,0.25,0,0.0833,0.2692,0.4615,0.44,0.75,0.7892,0.4555,0.6554,0.1443,0.1516,-0.5,0.3046,13,0,1,0.9286,0,0.0714
"3a18bf012cc74e9b7955ad2ced1d6328c6ab9331-f8f9ec1f249dd552065aa37c983bed4d4d869bb0","2016-02 -- 2016-05",14,7,4,3,0.5,0.2857,0.2143,3,0.2143,0,0,1,6,6,0,0,0,0,0,0,1,1,0.85,0.1818,1.2,1.2,2,0.1176,0,0.5714,0.4,1,0.072,0.1479,0.3077,0.2257,0.2257,0,0.1538,6,0,0,1,0,0
