range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"b8ea7f6aba2e675b85826b0bee1f21ddd7b866a5-42af8eada2803a54a98b4f792e60feb480d68a0c","2013-05 -- 2013-08",949,820,105,24,0.8641,0.1106,0.0253,26,0.0274,2,0.0155,1,299,285,34,293,0,100,0,327,0.0061,0.7568,0,0,0,0,0,0,0.1812,0.6849,0.6623,0.7364,0.0018,0.245,0.2023,0.2241,0.5095,0.1385,0.0056,276,25,9,0.8903,0.0806,0.029,0.3087460484720759,0.1053740779768177,0.0,0.3445732349841939,2.7904761904761903,0.9523809523809523,0.0,3.1142857142857143
"42af8eada2803a54a98b4f792e60feb480d68a0c-2efe82309ac8ff4f67df8b6e40a539ea31e15804","2013-08 -- 2013-11",898,680,200,18,0.7572,0.2227,0.02,64,0.0713,4,0.0183,1,311,278,45,384,0,96,0,395,0,0.8019,0.8284,0.6052,0.741,0.7922,0.5823,0.1503,0.2238,0.6537,0.6017,0.7936,0.0018,0.1938,0.1559,0.3164,0.5891,0.2815,0.0046,276,43,2,0.8598,0.134,0.0062,0.42761692650334077,0.10690423162583519,0.0,0.4398663697104677,1.92,0.48,0.0,1.975
"2efe82309ac8ff4f67df8b6e40a539ea31e15804-a4078fcae4a33295675d769a1cd067837029da2f","2013-11 -- 2014-02",787,596,174,17,0.7573,0.2211,0.0216,35,0.0445,8,0.0419,1,266,244,49,359,0,64,0,364,0.0027,0.7568,0.8677,0.9144,0.8458,0.8008,0.7234,0.1984,0.2097,0.662,0.602,0.7435,0.0021,0.3669,0.3017,0.388,0.4602,0.3278,0.0049,241,46,3,0.831,0.1586,0.0103,0.45616264294790343,0.08132147395171538,0.0,0.4625158831003812,2.0632183908045976,0.367816091954023,0.0,2.0919540229885056
"a4078fcae4a33295675d769a1cd067837029da2f-fa6e411da26824a5bae55f37ce7dbb859653276d","2014-02 -- 2014-05",821,605,210,6,0.7369,0.2558,0.0073,42,0.0512,5,0.0231,1,286,260,41,275,0,59,0,275,0,0.8723,0.7873,0.7617,0.7319,0.6905,0.8889,0.1738,0.1864,0.6516,0.5745,0.8102,0.0019,0.3377,0.2385,0.3129,0.5195,0.2754,0.0042,258,39,2,0.8629,0.1304,0.0067,0.33495736906211937,0.07186358099878197,0.0,0.33495736906211937,1.3095238095238095,0.28095238095238095,0.0,1.3095238095238095
"fa6e411da26824a5bae55f37ce7dbb859653276d-a603e202cc7e048c2ab6f12dee1cc8f277cf6f4f","2014-05 -- 2014-08",654,485,160,9,0.7416,0.2446,0.0138,47,0.0719,12,0.071,1,219,226,45,441,0,59,0,450,0.0022,0.7963,0.9302,0.9714,0.9188,0.8436,0.7209,0.156,0.2294,0.6651,0.5425,0.7337,0.0023,0.2701,0.2317,0.2429,0.5279,0.218,0.0057,222,41,4,0.8315,0.1536,0.015,0.6743119266055045,0.09021406727828746,0.0,0.6880733944954128,2.75625,0.36875,0.0,2.8125
"a603e202cc7e048c2ab6f12dee1cc8f277cf6f4f-2b41a5868aee79e3872ad92db66e30959207d98e","2014-08 -- 2014-11",661,466,190,5,0.705,0.2874,0.0076,45,0.0681,4,0.0205,1,193,188,44,538,0,61,0,539,0,0.7975,0.8304,0.7363,0.8252,0.9082,0.6966,0.1777,0.2542,0.708,0.6008,0.7744,0.0024,0.354,0.3088,0.1664,0.4937,0.1573,0.0064,187,43,1,0.8095,0.1861,0.0043,0.8139183055975794,0.09228441754916793,0.0,0.8154311649016641,2.831578947368421,0.32105263157894737,0.0,2.836842105263158
"2b41a5868aee79e3872ad92db66e30959207d98e-75725b44f80542485bb5fb09f4227abb6b7a296e","2014-11 -- 2015-02",515,365,142,8,0.7087,0.2757,0.0155,43,0.0835,10,0.0667,1,178,156,34,217,0,45,0,221,0.0045,0.8491,0.9524,0.9391,0.7817,0.907,0.7949,0.2143,0.233,0.6544,0.5818,0.7733,0.0029,0.3962,0.2833,0.4675,0.6684,0.4233,0.0065,153,31,3,0.8182,0.1658,0.016,0.42135922330097086,0.08737864077669903,0.0,0.429126213592233,1.528169014084507,0.31690140845070425,0.0,1.556338028169014
"75725b44f80542485bb5fb09f4227abb6b7a296e-98048678dc7d1b5ea549e2e43e6e27870bb60a31","2015-02 -- 2015-05",468,369,95,4,0.7885,0.203,0.0085,23,0.0491,6,0.0606,1,188,166,27,141,0,24,0,142,0,0.8047,0.8993,1.0281,0.7596,0.7764,0.7869,0.1991,0.1795,0.5983,0.555,0.7273,0.0035,0.5188,0.4131,0.3684,0.4869,0.3363,0.0066,164,25,2,0.8586,0.1309,0.0105,0.30128205128205127,0.05128205128205128,0.0,0.3034188034188034,1.4842105263157894,0.25263157894736843,0.0,1.4947368421052631
"98048678dc7d1b5ea549e2e43e6e27870bb60a31-01dd588a28a46550cd89c7f57f1f93c0aa9616ac","2015-05 -- 2015-08",468,368,98,2,0.7863,0.2094,0.0043,25,0.0534,8,0.08,1,172,153,21,121,0,141,0,121,0,0.8475,0.8483,0.8141,0.8222,0.8401,0.75,0.1486,0.4081,0.6325,0.5865,0.79,0.0036,0.5489,0.4344,0.3766,0.3644,0.2947,0.0067,152,20,1,0.8786,0.1156,0.0058,0.25854700854700857,0.30128205128205127,0.0,0.25854700854700857,1.2346938775510203,1.4387755102040816,0.0,1.2346938775510203
"01dd588a28a46550cd89c7f57f1f93c0aa9616ac-f5aa207960e0df577284a06a4353e2b53b159589","2015-08 -- 2015-11",433,344,88,1,0.7945,0.2032,0.0023,24,0.0554,3,0.0337,1,175,158,24,120,0,17,0,120,0,0.8041,0.9012,0.8995,0.8069,0.8167,0.6222,0.3768,0.1617,0.5958,0.542,0.7303,0.004,0.5933,0.4683,0.2729,0.4426,0.1734,0.0063,157,23,1,0.8674,0.1271,0.0055,0.27713625866050806,0.03926096997690531,0.0,0.27713625866050806,1.3636363636363635,0.19318181818181818,0.0,1.3636363636363635
