"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"7452ce824fe98d1a32686d9572cb7ea3a7f04200-4edca6f01d9a4bd88149d432d08468456f46ab57","2013-06 -- 2013-09",65,50,10,5,0.7692,0.1538,0.0769,6,0.0923,0,0,1,25,24,3,3,0,2,0,3,0,0.8222,0,0,0,0,0,0,0.0923,0.6154,0.5636,0.8,0.0216,0.1518,0.207,0.4062,0.4932,0.0229,0.0587,22,1,2,0.88,0.04,0.08
"4edca6f01d9a4bd88149d432d08468456f46ab57-0029e97b5a83fae997f5e33f6eedfc184884e6ad","2013-09 -- 2013-11",63,48,12,3,0.7619,0.1905,0.0476,5,0.0794,0,0,1,20,20,2,1,0,25,0,2,0.5,0.8833,0.625,0.5333,0.6667,0.6364,0.8,0.1,0.4127,0.6825,0.6078,0.8667,0.03,0.2361,0.3249,0.1739,0.1185,-0.3648,0.0783,19,1,1,0.9048,0.0476,0.0476
"0029e97b5a83fae997f5e33f6eedfc184884e6ad-efedfa70495657e371eb51f8398c6e742e5fa3cf","2013-11 -- 2014-02",84,62,17,5,0.7381,0.2024,0.0595,4,0.0476,0,0,1,27,27,0,0,0,5,0,0,1,1,0.5034,0.3243,0.4255,0.4255,2,0.4324,0.0595,0.6786,0.597,1,0.0163,0.1474,0.3207,0.2037,0.2037,0,0.0528,27,0,0,1,0,0
"efedfa70495657e371eb51f8398c6e742e5fa3cf-ab1ee51d68540d38310f186706feed4fde70b097","2014-02 -- 2014-05",103,71,29,3,0.6893,0.2816,0.0291,5,0.0485,0,0,1,32,32,0,0,0,14,0,0,1,1,0.5348,0.4815,0.4746,0.4746,0,0.08,0.1359,0.6893,0.5676,1,0.0135,0.1569,0.3475,0.2572,0.2572,0,0.0544,32,0,0,1,0,0
"ab1ee51d68540d38310f186706feed4fde70b097-a62dcc2804dca430ad9a5d10d98e5fdef13ec7f1","2014-05 -- 2014-08",65,43,18,4,0.6615,0.2769,0.0615,6,0.0923,0,0,1,25,24,2,2,0,6,0,3,0,0.8182,0.7857,0.7778,0.7368,0.75,0,0.1515,0.1538,0.6154,0.4894,0.9091,0.021,0.1611,0.2998,0.376,0.282,-0.3745,0.0596,23,1,1,0.92,0.04,0.04
"a62dcc2804dca430ad9a5d10d98e5fdef13ec7f1-a9735bf91fda36eb9cd97274f01b86f1fb234155","2014-08 -- 2014-11",71,57,10,4,0.8028,0.1408,0.0563,6,0.0845,2,0.1429,1,29,29,3,5,0,16,0,6,0,0.7143,0.5882,0.8333,0.6296,0.6038,0.4,0.1,0.2676,0.5915,0.5246,0.7857,0.0314,0.3404,0.5549,0.4341,0.3322,-0.3875,0.1022,27,1,2,0.9,0.0333,0.0667
"a9735bf91fda36eb9cd97274f01b86f1fb234155-f474d1c585cc6e0bce6bda20abd4c71b209c476e","2014-11 -- 2015-02",77,64,8,5,0.8312,0.1039,0.0649,4,0.0519,0,0,1,32,32,3,2,0,14,0,3,0.25,0.7115,0.527,0.5926,0.459,0.459,0.3333,0.2051,0.2208,0.5844,0.5362,0.7692,0.042,0.1716,0.3951,0.456,0.3441,-0.3706,0.1049,30,1,2,0.9091,0.0303,0.0606
"f474d1c585cc6e0bce6bda20abd4c71b209c476e-527c7c25721c66015098f68dc64495c5f2b709de","2015-02 -- 2015-05",113,77,29,7,0.6814,0.2566,0.0619,22,0.1947,3,0.0833,1,40,37,8,23,0,18,0,26,0,0.7628,0.4211,0.2857,0.3056,0.3478,0,0.25,0.292,0.646,0.5595,0.7778,0.0165,0.2235,0.3633,0.0574,0.2993,0.0081,0.0653,35,6,2,0.814,0.1395,0.0465
"527c7c25721c66015098f68dc64495c5f2b709de-4d7723fb95f01c11e364d6aac9c9de8dd1b21658","2015-05 -- 2015-08",110,64,42,4,0.5818,0.3818,0.0364,20,0.1818,3,0.0652,1,34,33,8,10,0,6,0,11,0,0.8854,0.6009,0.5122,0.6216,0.6286,0.375,0.2388,0.1636,0.6909,0.5147,0.8261,0.0123,0.1445,0.2771,0.5747,0.3575,0.5269,0.044,31,6,2,0.7949,0.1538,0.0513
"4d7723fb95f01c11e364d6aac9c9de8dd1b21658-0da3251def9f11a4ef506c97303c9e83dca6c00a","2015-08 -- 2015-11",71,48,20,3,0.6761,0.2817,0.0423,10,0.1408,1,0.0435,1,26,24,4,10,0,6,0,10,0.0909,0.7668,0.7956,0.9855,0.6667,0.7018,0.6667,0.1111,0.1972,0.6338,0.5294,0.8261,0.0216,0.1866,0.3366,0.4107,0.2116,0.2051,0.0777,22,2,2,0.8462,0.0769,0.0769
"0da3251def9f11a4ef506c97303c9e83dca6c00a-0873b36aa53590e2ace81a3b0535ead7c668bcbb","2015-11 -- 2016-02",69,45,18,6,0.6522,0.2609,0.087,6,0.087,2,0.0833,1,30,29,5,6,0,4,0,8,0.1111,0.8426,0.6,0.5957,0.5714,0.566,0.2222,0.1905,0.1884,0.5652,0.4314,0.7917,0.0243,0.2324,0.3858,0.4841,0.4778,0.3069,0.0848,27,3,2,0.8438,0.0938,0.0625
"0873b36aa53590e2ace81a3b0535ead7c668bcbb-3a604aefa8e8893076a0ba5f3adf829d802b16a1","2016-02 -- 2016-05",74,53,19,2,0.7162,0.2568,0.027,7,0.0946,0,0,1,31,30,2,5,0,5,0,5,0,0.781,0.4336,0.7111,0.459,0.4746,1.1429,0.2258,0.1351,0.5811,0.4545,0.9048,0.0222,0.1436,0.4524,0.473,0.3528,-0.3241,0.1229,30,2,0,0.9375,0.0625,0
