"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"c2ab493524ebf3e429b00f68ecbd466ab4dc81cb-8867d65df888e3a38823fd0056cdbfbbbffa30c9","2013-05 -- 2013-08",34,28,5,1,0.8235,0.1471,0.0294,0,0,0,0,2,15,14,2,4,0,21,0,4,0,0.375,0,0,0,0,0,0,0.7353,0.5588,0.5172,0.6667,0.1208,0.2118,0.4528,0.3306,0.1063,-0.3547,0.2139,14,2,0,0.875,0.125,0
"8867d65df888e3a38823fd0056cdbfbbbffa30c9-53e0aca5087e47f6387c7e95c57ef44b518140b4","2013-08 -- 2013-11",43,33,9,1,0.7674,0.2093,0.0233,0,0,0,0,3,22,17,5,22,0,15,0,22,0,0.2318,0.2597,0,0.2162,0.3226,0,0.9,0.5349,0.4884,0.5,0.5,0.0378,0.0852,0.4241,0.4687,0.0038,-0.3191,0.2425,17,5,0,0.7727,0.2273,0
"53e0aca5087e47f6387c7e95c57ef44b518140b4-d6fc910e2d5facf6d0dc41213a1b2b11e937d9c5","2013-11 -- 2014-02",48,39,8,1,0.8125,0.1667,0.0208,0,0,0,0,2,19,18,2,5,0,20,0,5,0,0.5333,0.2198,0.1053,0.3415,0.2286,0.8571,0.7,0.5,0.6042,0.55,0.7778,0.0633,0.1807,0.3803,0.3598,0.0981,0.0759,0.1516,18,2,0,0.9,0.1,0
"d6fc910e2d5facf6d0dc41213a1b2b11e937d9c5-57510415e603420365d155ff1e7ecc438ebecb38","2014-02 -- 2014-05",34,28,5,1,0.8235,0.1471,0.0294,1,0.0294,0,0,3,14,14,0,0,0,2,0,0,1,1,0.6829,0.5333,0.5455,0.5,2,0.4286,0.0588,0.5882,0.5172,1,0.0514,0.1608,0.2834,0.1952,0.1952,0,0.1105,14,0,0,1,0,0
"57510415e603420365d155ff1e7ecc438ebecb38-61285bc7be4757ed223fb57d5dc22a0cc6e66a57","2014-05 -- 2014-08",56,46,9,1,0.8214,0.1607,0.0179,1,0.0179,0,0,2,21,20,4,6,0,15,0,6,0,0.6,0.2444,0.125,0.3429,0.3529,0,0,0.3929,0.625,0.5745,0.6,0.0368,0.3127,0.5948,0.4228,0.2191,0.438,0.1325,20,4,0,0.8333,0.1667,0
"61285bc7be4757ed223fb57d5dc22a0cc6e66a57-6e384e2f6b95acd469cab5d7cf0cdc9e37e53380","2014-08 -- 2014-11",54,43,10,1,0.7963,0.1852,0.0185,1,0.0185,0,0,3,22,20,4,16,0,10,0,16,0,0.375,0.5273,0.0952,0.3256,0.3,0.5,0.3793,0.3333,0.5926,0.5455,0.6364,0.0318,0.0909,0.4319,0.4879,8e-04,9e-04,0.2096,20,4,0,0.8333,0.1667,0
"6e384e2f6b95acd469cab5d7cf0cdc9e37e53380-c88c1738bb32732fd7ef2e56260715735306c53f","2014-11 -- 2015-02",41,33,8,0,0.8049,0.1951,0,0,0,0,0,2,18,16,4,11,0,8,0,11,0,0.3182,0.4842,0.4211,0.35,0.3889,0.25,0.4348,0.3415,0.561,0.5152,0.5,0.0423,0.108,0.4366,0.1672,0.157,-0.3708,0.2134,16,4,0,0.8,0.2,0
"c88c1738bb32732fd7ef2e56260715735306c53f-ccc71c31b641326ccaf286a529848f56243106b7","2015-02 -- 2015-05",59,39,10,10,0.661,0.1695,0.1695,1,0.0169,0,0,15,25,23,7,9,0,10,0,28,0.2632,0.6987,0.24,0.1429,0.2791,0.2051,0.7273,0.3333,0.2712,0.5763,0.5306,0.65,0.0362,0.1481,0.5088,0.1535,0.1728,-0.1885,0.1636,19,3,4,0.7308,0.1154,0.1538
"ccc71c31b641326ccaf286a529848f56243106b7-534741de78d664832eace03eb7e73f9c6d8a65c8","2015-05 -- 2015-08",36,26,4,6,0.7222,0.1111,0.1667,0,0,0,0,13,16,15,6,16,0,17,0,16,0.3333,0.5417,0.6526,0.8,0.6341,0.6316,0.3077,0.2581,0.6389,0.5556,0.5312,0.4,0.116,0.1443,0.427,0.0137,0.1427,-0.286,0.2302,11,2,4,0.6471,0.1176,0.2353
"534741de78d664832eace03eb7e73f9c6d8a65c8-1d570ee1826453b7d541f42afe6ba9ba62eb28b5","2015-08 -- 2015-10",39,30,2,7,0.7692,0.0513,0.1795,1,0.0256,0,0,14,16,16,4,2,0,28,0,3,0.7692,0.8632,0.3733,0.3158,0.3125,0.2581,0.6,0.5,0.7692,0.5897,0.5676,0.5556,0.2121,0.243,0.4717,0.0026,0.0226,-0.3356,0.1862,12,0,4,0.75,0,0.25
"1d570ee1826453b7d541f42afe6ba9ba62eb28b5-7be911b7fbc984d4f564bd8afc57738b41565b98","2015-10 -- 2016-02",39,26,8,5,0.6667,0.2051,0.1282,2,0.0513,0,0,16,15,15,3,3,0,14,0,5,0.2857,0.8132,0.4615,0.1818,0.4516,0.4516,0.5714,0.8889,0.4103,0.6154,0.5161,0.7692,0.0499,0.1985,0.471,0.0496,0.1021,0.0658,0.1606,13,1,2,0.8125,0.0625,0.125
"7be911b7fbc984d4f564bd8afc57738b41565b98-e1ee3185b5930e0c7b43ba6bf0cd0fe74463ef05","2016-02 -- 2016-05",41,27,7,7,0.6585,0.1707,0.1707,2,0.0488,0,0,15,17,17,5,3,0,13,0,3,0.8125,0.9107,0.475,0.4444,0.1875,0.1875,0.25,0.3684,0.3659,0.5854,0.5,0.6429,0.06,0.1883,0.5274,0.0047,0.1017,-0.291,0.1976,12,0,5,0.7059,0,0.2941
