"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"c630435b3cb95a476b528f2c0f9f70c846a6c00b-c0ca93c9b26cf3f248ba11d86ef47e9e0ca5e84d","2013-06 -- 2013-09",150,116,10,24,0.7733,0.0667,0.16,1,0.0067,0,0,1,57,56,12,20,0,34,0,39,0.4935,0.8151,0,0,0,0,0,0,0.3333,0.62,0.6,0.6471,0.0423,0.1721,0.5093,0.1915,0.1354,0.0105,0.1015,47,3,9,0.7966,0.0508,0.1525
"c0ca93c9b26cf3f248ba11d86ef47e9e0ca5e84d-6b54752c2e1bb0fff2a1abbd5a04612355d5de49","2013-09 -- 2013-12",140,94,18,28,0.6714,0.1286,0.2,6,0.0429,1,0.0217,1,58,55,16,39,0,42,0,71,0.3826,0.7647,0.4621,0.2,0.487,0.5405,0.2857,0.2239,0.4714,0.5857,0.5492,0.6522,0.0212,0.3053,0.4827,0.0582,0.2361,0.0287,0.0568,45,6,10,0.7377,0.0984,0.1639
"6b54752c2e1bb0fff2a1abbd5a04612355d5de49-3eabe064ab5401b9f0267c0a4a31379541084610","2013-12 -- 2014-03",154,102,28,24,0.6623,0.1818,0.1558,7,0.0455,2,0.0385,1,64,58,20,84,0,36,0,134,0.2118,0.6904,0.4422,0.3673,0.377,0.4248,0.3333,0.3385,0.461,0.5844,0.5397,0.6154,0.0182,0.3122,0.4687,0.0841,0.3683,0.0692,0.0476,48,10,10,0.7059,0.1471,0.1471
"3eabe064ab5401b9f0267c0a4a31379541084610-6b538f42718c175ad5659d394094b512ac058756","2014-03 -- 2014-05",145,104,18,23,0.7172,0.1241,0.1586,10,0.069,0,0,1,57,53,14,41,0,44,0,67,0.3679,0.7835,0.5217,0.5376,0.5455,0.5586,0.7059,0.4487,0.4552,0.6069,0.5827,0.6585,0.0399,0.309,0.4766,0.1189,0.335,0.1295,0.0581,43,4,10,0.7544,0.0702,0.1754
"6b538f42718c175ad5659d394094b512ac058756-cf3ce7322a9b6c1453869a369eba02f4fd077234","2014-05 -- 2014-08",104,71,13,20,0.6827,0.125,0.1923,5,0.0481,0,0,1,40,38,11,22,0,26,0,47,0.2985,0.7693,0.6185,0.4595,0.5979,0.6593,0.32,0.3896,0.4038,0.6154,0.5824,0.6667,0.0197,0.1956,0.3622,0.3091,0.3028,0.2469,0.065,31,4,7,0.7381,0.0952,0.1667
"cf3ce7322a9b6c1453869a369eba02f4fd077234-e7cb4d2a0d2a9ef39eed90c44b893d11cef74f26","2014-08 -- 2014-11",125,87,15,23,0.696,0.12,0.184,8,0.064,1,0.0263,1,48,47,11,17,0,40,0,36,0.4545,0.8206,0.4105,0.2535,0.4091,0.4941,0.2727,0.234,0.432,0.616,0.5727,0.7105,0.0249,0.2868,0.471,0.2004,0.2366,0.1714,0.0613,38,2,9,0.7755,0.0408,0.1837
"e7cb4d2a0d2a9ef39eed90c44b893d11cef74f26-565df1559f8bb09381a2e5ed57f0d0a658f62580","2014-11 -- 2015-02",110,70,21,19,0.6364,0.1909,0.1727,5,0.0455,0,0,1,44,40,14,57,0,28,0,77,0.2143,0.6768,0.6468,0.359,0.587,0.6667,0.24,0.3947,0.4727,0.6,0.5506,0.65,0.0171,0.2792,0.4285,0.1203,0.3096,0.1144,0.0485,31,5,9,0.6889,0.1111,0.2
"565df1559f8bb09381a2e5ed57f0d0a658f62580-e092a58fb53ce1dbf5387af1690f08be7bf7a5a6","2015-02 -- 2015-05",115,78,17,20,0.6783,0.1478,0.1739,2,0.0174,0,0,1,47,43,15,59,0,39,1,108,0.194,0.6017,0.4356,0.3636,0.3736,0.5301,0.2759,0.3673,0.5478,0.5913,0.5612,0.5946,0.0746,0.212,0.3669,0.2691,0.4193,0.286,0.0717,34,6,9,0.6939,0.1224,0.1837
"e092a58fb53ce1dbf5387af1690f08be7bf7a5a6-2ee0187ed25fd1c4f2756a7d2ffd4b29bc9ad637","2015-05 -- 2015-08",92,58,15,19,0.6304,0.163,0.2065,5,0.0543,0,0,1,33,29,13,34,0,26,0,63,0.16,0.6553,0.5894,0.3662,0.55,0.6667,0.2857,0.4918,0.5109,0.6413,0.6234,0.6176,0.077,0.2628,0.3433,0.1763,0.3096,0.1684,0.0743,21,5,8,0.6176,0.1471,0.2353
"2ee0187ed25fd1c4f2756a7d2ffd4b29bc9ad637-f547bf2f1013a86dc5a6646707256a174c2a1b47","2015-08 -- 2015-11",94,66,8,20,0.7021,0.0851,0.2128,3,0.0319,0,0,1,40,39,11,13,0,25,0,26,0.4694,0.7872,0.4409,0.3871,0.3014,0.2941,0.4167,0.439,0.3936,0.5745,0.5465,0.6071,0.0493,0.2991,0.4232,0.035,0.3874,0.1892,0.0714,30,2,9,0.7317,0.0488,0.2195
"f547bf2f1013a86dc5a6646707256a174c2a1b47-aed2a97a869b2c437cccafd12d398b740c5c68f2","2015-11 -- 2016-02",120,85,16,19,0.7083,0.1333,0.1583,7,0.0583,1,0.0286,1,47,44,15,46,0,21,0,78,0.3158,0.714,0.3738,0.1905,0.3678,0.4096,0.2308,0.2,0.3833,0.6083,0.5769,0.5714,0.038,0.2427,0.4909,0.2857,0.3116,0.2913,0.1057,35,6,9,0.7,0.12,0.18
"aed2a97a869b2c437cccafd12d398b740c5c68f2-ad14c471eb2525c2ae70cef3a7e4555dbf7ce3f3","2016-02 -- 2016-05",143,108,15,20,0.7552,0.1049,0.1399,1,0.007,1,0.0286,1,53,49,12,26,0,29,0,41,0.2931,0.7862,0.403,0.3143,0.44,0.4516,0.5185,0.2453,0.3566,0.6294,0.6172,0.6571,0.0302,0.2425,0.3983,0.3987,0.3511,0.4127,0.0595,42,5,7,0.7778,0.0926,0.1296
