"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"dbbf6d4b03399255d0263dd62f1f882b65cc0905-19a1b17a0205a801d0001b3fcd29306d3404c70f","2013-06 -- 2013-09",36,24,11,1,0.6667,0.3056,0.0278,3,0.0833,0,0,1,15,12,3,6,0,4,0,6,0,0.6389,0,0,0,0,0,0,0.2222,0.5833,0.52,0.75,0.0573,0.5945,0.6,0.044,0.2765,-0.3268,0.0571,11,2,1,0.7857,0.1429,0.0714
"19a1b17a0205a801d0001b3fcd29306d3404c70f-a1d3bfb524102b92a2f6a9f875fe588ee1efa8e0","2013-09 -- 2013-11",85,59,25,1,0.6941,0.2941,0.0118,7,0.0824,2,0.0769,1,19,17,4,8,0,0,0,8,0,0.8029,0.4463,0.4211,0.8235,0.7586,0.5714,0.1852,0.0706,0.7765,0.7167,0.8462,0.0197,0.5294,0.6098,0.5724,0.4302,0.0112,0.0569,17,4,0,0.8095,0.1905,0
"a1d3bfb524102b92a2f6a9f875fe588ee1efa8e0-f9913f4e33f458cb1984c6cdac6ed982243069f9","2013-11 -- 2014-02",73,49,23,1,0.6712,0.3151,0.0137,10,0.137,1,0.0417,1,28,25,2,2,0,0,0,2,0,0.875,0.9494,0.8,0.7234,0.7619,1,0.0267,0.0411,0.6164,0.5,0.9167,0.0162,0.3234,0.532,0.2388,0.1496,-0.3753,0.0236,25,2,0,0.9259,0.0741,0
"f9913f4e33f458cb1984c6cdac6ed982243069f9-413edf01db64093ccc4be5e43a7384faa785f264","2014-02 -- 2014-05",75,41,32,2,0.5467,0.4267,0.0267,16,0.2133,3,0.0882,1,24,19,6,11,0,4,0,11,0,0.861,0.8378,0.6207,0.8846,0.9091,0.5,0.0323,0.1867,0.68,0.5581,0.8235,0.0178,0.3655,0.4207,0.509,0.3023,0.2167,0.0252,19,6,0,0.76,0.24,0
"413edf01db64093ccc4be5e43a7384faa785f264-0a3370e6133574d30c6807975b397177c3aaf018","2014-05 -- 2014-08",35,24,10,1,0.6857,0.2857,0.0286,3,0.0857,0,0,1,14,13,1,1,0,2,0,1,0,0.8182,1.1636,1.2889,1.0526,0.9375,1.4286,0.1406,0.1143,0.6,0.48,0.9091,0.028,0.2022,0.3908,0.428,0.3668,-0.5,0.0504,13,1,0,0.9286,0.0714,0
"0a3370e6133574d30c6807975b397177c3aaf018-f6af81c4056c20a1203d7db54a5514a267dc5afb","2014-08 -- 2014-11",33,16,15,2,0.4848,0.4545,0.0606,7,0.2121,1,0.0588,1,10,9,3,1,0,0,0,1,0.5,0.9412,0.8235,0.4286,0.9167,1,0.5,0.1071,0.0606,0.697,0.5,0.8235,0.0321,0.2385,0.3627,0.5063,0.2526,0.2778,0.0436,7,1,2,0.7,0.1,0.2
"f6af81c4056c20a1203d7db54a5514a267dc5afb-1ab5ba129d99a930c0c2116cc1e9c09524fe6f06","2014-11 -- 2015-02",25,10,14,1,0.4,0.56,0.04,3,0.12,0,0,1,8,6,2,5,0,11,0,5,0,0.6933,0.931,0.8125,0.8889,0.9333,0.4,0.037,0.6,0.68,0.4545,0.8667,0.0479,0.2951,0.4433,0.4081,-0.2698,0.0509,0.0567,5,1,1,0.7143,0.1429,0.1429
"1ab5ba129d99a930c0c2116cc1e9c09524fe6f06-2c6d4e96c40f462eb0dae93053909b8599bfca0a","2015-02 -- 2015-05",36,23,12,1,0.6389,0.3333,0.0278,5,0.1389,0,0,1,16,13,3,4,0,11,0,4,0,0.6923,0.6885,0.8571,0.5,0.4211,0.4,0.5714,0.4167,0.5556,0.4583,0.7692,0.052,0.5836,0.6968,0.1356,0.0197,0.4247,0.046,12,2,1,0.8,0.1333,0.0667
"2c6d4e96c40f462eb0dae93053909b8599bfca0a-77eb92fd9c568182abd58829354d34c94e64666a","2015-05 -- 2015-08",30,16,13,1,0.5333,0.4333,0.0333,4,0.1333,1,0.0714,1,12,10,4,9,0,0,0,9,0,0.6429,0.8182,0.5185,1,0.9565,0.5714,0.4444,0.2,0.6,0.4118,0.7143,0.0463,0.3923,0.531,0.5047,0.0256,0.4195,0.0552,9,3,1,0.6923,0.2308,0.0769
"77eb92fd9c568182abd58829354d34c94e64666a-edf32220c962f7c9cb3b993f8efc5f690ed318ea","2015-08 -- 2015-11",21,12,9,0,0.5714,0.4286,0,4,0.1905,0,0,1,8,7,2,3,0,0,0,3,0,0.6667,1.0196,0.9565,1.1,1.0588,1.3333,0.1538,0.1429,0.619,0.4167,0.7778,0.0521,0.2842,0.4786,0.4335,0.1145,-0.34,0.0714,7,2,0,0.7778,0.2222,0
"edf32220c962f7c9cb3b993f8efc5f690ed318ea-6d58a4212fcc712ac5e042f9f13f2d6a0270dfff","2015-11 -- 2016-02",16,5,10,1,0.3125,0.625,0.0625,3,0.1875,1,0.0909,1,5,3,1,1,0,6,0,1,0,0.8182,0.8649,0.5,1.0769,1.2,1.3333,0.125,0.5,0.6875,0.5,0.9091,0.0396,0.0952,0.2833,0.4501,-0.3107,-0.5,0.05,3,1,0,0.75,0.25,0
"6d58a4212fcc712ac5e042f9f13f2d6a0270dfff-b751b68b8d99c05236f744be5da49e42ddff8c06","2016-02 -- 2016-05",18,7,10,1,0.3889,0.5556,0.0556,4,0.2222,0,0,1,8,5,3,6,0,8,0,6,0,0.5,0.7647,0.7273,0.6154,0.5,0.5,0.4615,0.7778,0.5556,0.375,0.7273,0.0305,0.1505,0.3268,0.1282,-0.3147,-0.3501,0.085,5,3,0,0.625,0.375,0
