range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"37ba434efba9e307850711ec71b4ddc7b23d7d7a-ac19be985459d54ade83d4809bf5e03ec86178ba","2013-03 -- 2013-06",45,27,8,10,0.6,0.1778,0.2222,3,0.0667,0,0,14,17,16,5,10,0,10,0,10,0.5238,0.8042,0,0,0,0,0,0,0.3556,0.6222,0.5676,0.7222,0.0447,0.352,0.5333,0.0745,0.1929,0.0873,0.1485,12,1,4,0.7059,0.0588,0.2353,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,1.25,1.25,0.0,1.25
"ac19be985459d54ade83d4809bf5e03ec86178ba-ad6f00afaa6a00f5fa1ce0bf832d18a623531969","2013-06 -- 2013-09",54,36,6,12,0.6667,0.1111,0.2222,5,0.0926,0,0,14,21,20,8,11,0,0,0,25,0.4318,0.6944,0.4444,0.2778,0.2105,0.1667,0,0.2273,0.2778,0.6111,0.5833,0.5556,0.0968,0.3689,0.5646,0.0605,0.1068,-0.2283,0.1523,13,1,7,0.619,0.0476,0.3333,0.2037037037037037,0.0,0.0,0.46296296296296297,1.8333333333333333,0.0,0.0,4.166666666666667
"ad6f00afaa6a00f5fa1ce0bf832d18a623531969-86e949f321cb1ce3b0bc0c9ed387218cc8a2b7b9","2013-09 -- 2013-12",44,35,0,9,0.7955,0,0.2045,0,0,0,0,17,18,18,4,0,0,18,0,7,0.5,0.754,0.6735,0.6667,0.359,0.3684,0.6667,0.1515,0.4318,0.5909,0.5909,0.5556,0.0483,0.192,0.4059,0.0622,0.1804,0.0256,0.1522,14,0,4,0.7778,0,0.2222,0.0,0.4090909090909091,0.0,0.1590909090909091,NaN,Infinity,NaN,Infinity
"86e949f321cb1ce3b0bc0c9ed387218cc8a2b7b9-a052a912ef6feb84b1421d23d0db4df0dbbb1e58","2013-12 -- 2014-03",56,33,13,10,0.5893,0.2321,0.1786,0,0,0,0,15,21,19,7,20,0,10,0,23,0.439,0.7858,0.46,0,0.4615,0.5405,0,0.4348,0.3393,0.625,0.5581,0.6957,0.028,0.1831,0.3909,0.0059,0.1924,0.1206,0.1,14,2,5,0.6667,0.0952,0.2381,0.35714285714285715,0.17857142857142858,0.0,0.4107142857142857,1.5384615384615385,0.7692307692307693,0.0,1.7692307692307692
"a052a912ef6feb84b1421d23d0db4df0dbbb1e58-1def02f19dee6781ae28e5443be9fc0bb098f43d","2014-03 -- 2014-06",74,39,19,16,0.527,0.2568,0.2162,4,0.0541,0,0,16,25,22,11,33,0,9,0,52,0.3953,0.7801,0.3846,0.2414,0.4348,0.5366,0,0.2,0.4459,0.6622,0.6,0.6857,0.0295,0.2411,0.5157,0.1787,0.0627,0.1516,0.1418,16,5,6,0.5926,0.1852,0.2222,0.44594594594594594,0.12162162162162163,0.0,0.7027027027027027,1.736842105263158,0.47368421052631576,0.0,2.736842105263158
"1def02f19dee6781ae28e5443be9fc0bb098f43d-02be0dedd9773f1f2f7ce19dfeca82eed5456ca1","2014-06 -- 2014-09",60,35,12,13,0.5833,0.2,0.2167,3,0.05,0,0,16,19,17,8,11,0,25,0,21,0.3438,0.7925,0.6567,0.6333,0.5,0.5641,0.4211,0.3182,0.55,0.6833,0.6458,0.68,0.0314,0.2086,0.4215,0.0586,0.2449,0.255,0.087,12,3,5,0.6,0.15,0.25,0.18333333333333332,0.4166666666666667,0.0,0.35,0.9166666666666666,2.0833333333333335,0.0,1.75
"02be0dedd9773f1f2f7ce19dfeca82eed5456ca1-6853d5c9dfd6021acc83afbf579b1ccbc891e6d3","2014-09 -- 2014-12",71,27,31,13,0.3803,0.4366,0.1831,8,0.1127,1,0.0227,19,27,18,18,115,0,6,0,130,0.078,0.6346,0.458,0.1739,0.2174,0.3429,0.0769,0.4667,0.5493,0.6197,0.55,0.5909,0.0254,0.1048,0.2606,0.3571,0.4028,0.3661,0.0966,11,11,7,0.3793,0.3793,0.2414,1.619718309859155,0.08450704225352113,0.0,1.8309859154929577,3.7096774193548385,0.1935483870967742,0.0,4.193548387096774
"6853d5c9dfd6021acc83afbf579b1ccbc891e6d3-5654e7368c2d68b3701cb5cdf190975f1079b10c","2014-12 -- 2015-02",52,25,18,9,0.4808,0.3462,0.1731,2,0.0385,0,0,12,16,15,7,4,0,0,0,6,0.25,0.9074,0.7317,0.7606,0.8372,0.6061,1.12,0.4222,0.1731,0.6923,0.5588,0.7407,0.0208,0.1157,0.2406,0.4125,0.3356,0.2511,0.0535,10,2,5,0.5882,0.1176,0.2941,0.07692307692307693,0.0,0.0,0.11538461538461539,0.2222222222222222,0.0,0.0,0.3333333333333333
"5654e7368c2d68b3701cb5cdf190975f1079b10c-f294ee12722d074006bb3a5bc72edf2b248b1d6b","2015-02 -- 2015-05",120,47,49,24,0.3917,0.4083,0.2,10,0.0833,1,0.0137,18,30,27,18,49,0,27,0,50,0.2063,0.9132,0.2209,0.14,0.3043,0.2857,0.16,0.0526,0.4583,0.75,0.6197,0.7534,0.0123,0.0835,0.3024,0.3333,0.1835,0.6058,0.0674,18,9,9,0.5,0.25,0.25,0.4083333333333333,0.225,0.0,0.4166666666666667,1.0,0.5510204081632653,0.0,1.0204081632653061
"f294ee12722d074006bb3a5bc72edf2b248b1d6b-0d74c3ebf76f4f7875f2a2e5dd25a7a1c1edfc0a","2015-05 -- 2015-08",81,18,45,18,0.2222,0.5556,0.2222,8,0.0988,1,0.0159,21,24,15,19,159,0,9,0,194,0.1638,0.6954,0.7363,0.5882,0.5556,0.7143,0.3784,0.3378,0.5432,0.7037,0.5833,0.6984,0.0165,0.0518,0.3819,0.0254,0.1672,0.0257,0.1056,7,11,8,0.2692,0.4231,0.3077,1.962962962962963,0.1111111111111111,0.0,2.3950617283950617,3.533333333333333,0.2,0.0,4.311111111111111
