range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"5e3e89dcae6fe3010f0ae02538522c471dc8b2dd-1996c925dac4cb56fe55459a43f5db2be0e1e58a","2013-05 -- 2013-08",12,8,1,3,0.6667,0.0833,0.25,0,0,0,0,1,6,6,1,1,0,4,0,1,0,0.5,0,0,0,0,0,0,0.5,0.5,0.4545,0.75,0.629,0.3983,0.4697,0.3615,0.0065,-0.5,0.3485,6,1,0,0.8571,0.1429,0,0.08333333333333333,0.3333333333333333,0.0,0.08333333333333333,1.0,4.0,0.0,1.0
"1996c925dac4cb56fe55459a43f5db2be0e1e58a-120e24f7f017a68e980ed1f47dbadb1113493744","2013-08 -- 2013-11",9,5,2,2,0.5556,0.2222,0.2222,0,0,0,0,1,4,3,2,2,0,7,0,2,0,0.25,0.5714,0.5,0.4,0.6667,0,0.5,1,0.5556,0.5714,0.5,0.5526,0.6049,0.4722,0.3725,-0.2608,-0.3818,0.2778,2,1,1,0.5,0.25,0.25,0.2222222222222222,0.7777777777777778,0.0,0.2222222222222222,1.0,3.5,0.0,1.0
"120e24f7f017a68e980ed1f47dbadb1113493744-97f504abee1c66da6856dd02d63b718e46a7d2da","2013-11 -- 2014-03",9,5,2,2,0.5556,0.2222,0.2222,0,0,0,0,1,5,4,2,2,0,0,0,2,0,0.25,0.2222,0.25,0,0.2857,0,1,0.3333,0.4444,0.4286,0.5,0.3229,0.3214,0.2083,0.3396,0.0785,-0.377,0.4167,3,1,1,0.6,0.2,0.2,0.2222222222222222,0.0,0.0,0.2222222222222222,1.0,0.0,0.0,1.0
"97f504abee1c66da6856dd02d63b718e46a7d2da-0ec7033c5e56e7c0ddc42c418571e1efa8d23b2d","2014-03 -- 2014-05",10,6,2,2,0.6,0.2,0.2,0,0,0,0,1,4,4,1,1,0,4,0,1,0,0.5,0.3158,0.25,0.2222,0.25,0.6667,0.3333,0.6,0.6,0.5,0.75,0.2144,0.1852,0.3333,0.348,0.0328,-0.5,0.3333,4,1,0,0.8,0.2,0,0.1,0.4,0.0,0.1,0.5,2.0,0.0,0.5
"0ec7033c5e56e7c0ddc42c418571e1efa8d23b2d-f65d762f6272468f9d6ddd1babc78673144bfe18","2014-05 -- 2014-08",10,5,3,2,0.5,0.3,0.2,2,0.2,0,0,1,5,4,2,2,0,7,0,2,0,0.4,0.4,0.4444,0.4444,0.5,0,0.25,0.9,0.5,0.4286,0.6,0.2569,0.4763,0.3778,0.1236,-0.2311,-0.4976,0.2889,4,2,0,0.6667,0.3333,0,0.2,0.7,0.0,0.2,0.6666666666666666,2.3333333333333335,0.0,0.6666666666666666
"f65d762f6272468f9d6ddd1babc78673144bfe18-14b5e145cdaeea9aeddc06597bba155fc82ed354","2014-08 -- 2014-11",13,7,4,2,0.5385,0.3077,0.1538,1,0.0769,1,0.1667,1,6,5,2,3,0,9,0,3,0,0.4444,0.1739,0.1818,0.3636,0.2222,0.5,1,0.9231,0.5385,0.4444,0.6667,0.2316,0.4773,0.3846,0.281,-0.1949,-0.4594,0.2821,5,2,0,0.7143,0.2857,0,0.23076923076923078,0.6923076923076923,0.0,0.23076923076923078,0.75,2.25,0.0,0.75
"14b5e145cdaeea9aeddc06597bba155fc82ed354-1d949be4cd04f51f51f70b47e82c2766fb1faa67","2014-11 -- 2015-02",11,7,2,2,0.6364,0.1818,0.1818,0,0,0,0,1,6,5,2,2,0,0,0,3,0,0.25,0.5,0.6,0.5,0.4,0,0.8333,0.2727,0.4545,0.4444,0.5,0.2476,0.4278,0.3455,0.008,0.2603,-0.4734,0.2545,4,1,1,0.6667,0.1667,0.1667,0.18181818181818182,0.0,0.0,0.2727272727272727,1.0,0.0,0.0,1.5
"1d949be4cd04f51f51f70b47e82c2766fb1faa67-0aad4a810669d12e744106a4f2858af10dd97259","2015-02 -- 2015-05",13,8,2,3,0.6154,0.1538,0.2308,2,0.1538,1,0.2,1,6,6,2,1,0,4,0,1,0.5,0.7,0.3333,0.2222,0.3333,0.1818,0,0,0.4615,0.5385,0.4545,0.6,0.198,0.2413,0.3526,0.1497,0.0487,-0.4895,0.3974,5,1,1,0.7143,0.1429,0.1429,0.07692307692307693,0.3076923076923077,0.0,0.07692307692307693,0.5,2.0,0.0,0.5
"0aad4a810669d12e744106a4f2858af10dd97259-60479b71fdd3dd145e7f97ec85964a36c74363f7","2015-05 -- 2015-08",10,5,3,2,0.5,0.3,0.2,3,0.3,0,0,1,4,4,0,0,0,0,0,0,1,1,0.4348,0.4,0.4,0.4,2,0.6,0,0.6,0.4286,1,0.1334,0.1728,0.4,0.0329,0.0329,0,0.2667,4,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"60479b71fdd3dd145e7f97ec85964a36c74363f7-4e4e08694886458cb8a25158f985995c47e7a9f1","2015-08 -- 2015-11",11,5,3,3,0.4545,0.2727,0.2727,2,0.1818,1,0.1667,1,6,5,2,2,0,0,0,2,0,0.6667,0.2857,0.3636,0,0,0,0,0.2727,0.4545,0.375,0.6667,0.1643,0.2172,0.4182,0.1036,0.0368,-0.3833,0.3818,5,2,0,0.7143,0.2857,0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.6666666666666666,0.0,0.0,0.6666666666666666
