"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"5f4d0a13d9cb57751ac12d8147c38d4db6857bd4-cd69f40a581482c25d7250d0333d262ab8f8262f","2013-06 -- 2013-09",82,56,13,13,0.6829,0.1585,0.1585,6,0.0732,0,0,1,29,28,5,6,0,36,0,6,0.1429,0.8791,0,0,0,0,0,0,0.5122,0.6463,0.5942,0.8077,0.0286,0.2473,0.3183,0.2193,0.2604,0.0489,0.0644,25,2,3,0.8333,0.0667,0.1
"cd69f40a581482c25d7250d0333d262ab8f8262f-8852f2d73ec60e55cadeb10dd893ad52437c4f36","2013-09 -- 2013-12",61,38,11,12,0.623,0.1803,0.1967,7,0.1148,0,0,1,24,22,7,13,2,29,1,14,0.3,0.8196,0.6014,0.4898,0.5283,0.56,0.1667,0.4186,0.623,0.6066,0.56,0.6957,0.043,0.2929,0.3975,0.2868,0.1606,0.4038,0.0858,17,2,5,0.7083,0.0833,0.2083
"8852f2d73ec60e55cadeb10dd893ad52437c4f36-4918f94f20ca815327e1d3a26c2b1392ea1219e6","2013-12 -- 2014-02",71,44,15,12,0.6197,0.2113,0.169,8,0.1127,1,0.037,1,31,27,7,18,0,2,0,18,0.28,0.8311,0.3939,0.36,0.4727,0.449,0.1429,0.4615,0.2254,0.5634,0.5179,0.7407,0.0366,0.2568,0.2608,0.5124,0.5438,0.4761,0.0535,23,3,4,0.7667,0.1,0.1333
"4918f94f20ca815327e1d3a26c2b1392ea1219e6-1333d6b53a389faba66107fa03a190d31fa3fe5f","2014-02 -- 2014-05",89,61,14,14,0.6854,0.1573,0.1573,7,0.0787,0,0,1,29,28,8,11,0,25,0,13,0.2778,0.8552,0.4125,0.3636,0.6,0.5455,0.4,0.1818,0.382,0.6742,0.6267,0.7143,0.0299,0.2419,0.453,0.4575,0.2266,0.3765,0.0924,25,5,3,0.7576,0.1515,0.0909
"1333d6b53a389faba66107fa03a190d31fa3fe5f-9a25ff506e2e1e35439453aee236fc35f5527edb","2014-05 -- 2014-08",79,48,20,11,0.6076,0.2532,0.1392,7,0.0886,0,0,1,26,23,6,11,2,25,0,13,0.1333,0.8688,0.5476,0.4407,0.5818,0.6275,0.5714,0.2826,0.4051,0.6709,0.6102,0.8065,0.019,0.2665,0.4202,0.3497,0.0653,0.3388,0.0542,20,3,3,0.7692,0.1154,0.1154
"9a25ff506e2e1e35439453aee236fc35f5527edb-8c6bad3c809a19cc612811e7eecee5d40aef7716","2014-08 -- 2014-11",61,37,15,9,0.6066,0.2459,0.1475,7,0.1148,0,0,1,23,21,8,9,0,13,0,9,0.1818,0.8788,0.6429,0.5455,0.5306,0.5,0.4286,0.3333,0.3607,0.623,0.5435,0.6667,0.0331,0.2651,0.385,0.3969,0.2896,0.3504,0.065,16,3,5,0.6667,0.125,0.2083
"8c6bad3c809a19cc612811e7eecee5d40aef7716-b7bfd5fec4ce35d447c5b7f8cb309272c4897648","2014-11 -- 2015-02",59,31,18,10,0.5254,0.3051,0.1695,5,0.0847,0,0,1,22,19,9,15,0,20,0,15,0.3182,0.862,0.45,0.3846,0.4889,0.5,0.1176,0.2963,0.5254,0.6271,0.5366,0.6786,0.0302,0.2614,0.4079,0.3885,0.1076,0.3939,0.0748,15,5,4,0.625,0.2083,0.1667
"b7bfd5fec4ce35d447c5b7f8cb309272c4897648-8328943db8ffd9a2711bb50186a010f278f9dff6","2015-02 -- 2015-05",54,27,16,11,0.5,0.2963,0.2037,5,0.0926,1,0.037,1,18,18,6,3,0,0,0,5,0.2857,0.8571,0.4602,0.3636,0.55,0.4324,0.8,0.5385,0.1296,0.6667,0.5263,0.7778,0.0273,0.2026,0.3075,0.507,0.3251,0.4929,0.0699,13,1,5,0.6842,0.0526,0.2632
"8328943db8ffd9a2711bb50186a010f278f9dff6-5d54cc39964839432787a2158a919512e7f27df3","2015-05 -- 2015-08",65,37,20,8,0.5692,0.3077,0.1231,6,0.0923,0,0,1,23,21,6,12,0,0,0,15,0,0.8143,0.3697,0.4,0.3415,0.4103,0.5,0.1364,0.1692,0.6462,0.5333,0.7857,0.0259,0.1916,0.3243,0.2347,0.262,0.069,0.0663,17,2,4,0.7391,0.087,0.1739
"5d54cc39964839432787a2158a919512e7f27df3-ef76cdac14d5f37c3fe3adde5dd3c04d31668857","2015-08 -- 2015-11",57,38,13,6,0.6667,0.2281,0.1053,5,0.0877,0,0,1,20,18,5,6,0,13,0,6,0.1429,0.8571,0.541,0.7234,0.6512,0.6154,0.7273,0.1818,0.3158,0.6491,0.5909,0.7368,0.0301,0.2891,0.4489,0.4541,0.292,0.4535,0.0689,15,2,3,0.75,0.1,0.15
