"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"02d959617827013c0817d0898115e65dc9ad0280-1d2b1340a925597e896b1bb28abf80d703aba26e","2013-06 -- 2013-09",85,65,4,16,0.7647,0.0471,0.1882,5,0.0588,0,0,1,34,33,4,10,0,24,0,10,0.2857,0.7821,0,0,0,0,0,0,0.3647,0.6,0.5926,0.8,0.2515,0.3599,0.6469,0.2042,0.1857,0.2045,0.1507,30,1,3,0.8824,0.0294,0.0882
"1d2b1340a925597e896b1bb28abf80d703aba26e-666df815cd86a50343859bce36c5cf968c5f38b0","2013-09 -- 2013-12",92,70,4,18,0.7609,0.0435,0.1957,4,0.0435,0,0,1,40,39,6,6,0,10,1,7,0.4615,0.9091,0.3277,0.3333,0.3784,0.3611,0,0.3793,0.1739,0.5652,0.5568,0.7273,0.1257,0.2538,0.6166,0.2688,0.256,0.324,0.1527,35,2,4,0.8537,0.0488,0.0976
"666df815cd86a50343859bce36c5cf968c5f38b0-5c8710ded38b0b70e9ff2548630116938757f1bc","2013-12 -- 2014-02",101,79,4,18,0.7822,0.0396,0.1782,2,0.0198,1,0.0455,1,37,37,6,2,0,44,0,8,0.6,0.8523,0.3212,0.3182,0.3896,0.3684,0.5,0.1613,0.495,0.6337,0.6186,0.7273,0.1393,0.3594,0.6618,0.0136,0.0579,0.001,0.1182,32,1,5,0.8421,0.0263,0.1316
"5c8710ded38b0b70e9ff2548630116938757f1bc-3033c550d1fbc57c31871be1b70d5753512a4b0e","2014-02 -- 2014-05",93,73,4,16,0.7849,0.043,0.172,7,0.0753,3,0.15,1,35,34,7,12,2,29,0,16,0.2,0.6975,0.4742,0.4762,0.4444,0.4789,0.3077,0.5217,0.3978,0.6237,0.618,0.65,0.5271,0.3144,0.5055,0.2825,0.2152,0.1734,0.0923,30,3,4,0.8108,0.0811,0.1081
"3033c550d1fbc57c31871be1b70d5753512a4b0e-63b5da69f09d6222f019a6ea14180b3fb38b81a8","2014-05 -- 2014-08",93,70,10,13,0.7527,0.1075,0.1398,4,0.043,1,0.0435,1,39,38,6,15,0,27,1,17,0.15,0.7609,0.4194,0.2791,0.5135,0.5278,0.3077,0.3077,0.3763,0.5806,0.5422,0.7391,0.0445,0.339,0.637,0.354,0.2904,0.0085,0.1022,35,3,3,0.8537,0.0732,0.0732
"63b5da69f09d6222f019a6ea14180b3fb38b81a8-692722abc19347d3f0d6fa1952b8ee4067bdd5a4","2014-08 -- 2014-11",92,65,10,17,0.7065,0.1087,0.1848,10,0.1087,0,0,1,35,34,8,11,0,28,1,14,0.0667,0.7951,0.3351,0.28,0.5135,0.5,0.4286,0.2581,0.4239,0.6196,0.5854,0.7037,0.0347,0.1394,0.414,0.2362,0.1301,0.4409,0.1025,29,3,5,0.7838,0.0811,0.1351
"692722abc19347d3f0d6fa1952b8ee4067bdd5a4-c28e58284a4a93520c1f5e949c2c5219d475d75e","2014-11 -- 2015-02",78,54,12,12,0.6923,0.1538,0.1538,6,0.0769,2,0.0833,1,30,28,7,13,0,17,0,16,0.1579,0.7741,0.5412,0.5098,0.5231,0.5161,0.5333,0.3261,0.3077,0.6154,0.5758,0.7083,0.0288,0.1467,0.3976,0.4132,0.2518,0.2198,0.0959,25,4,3,0.7812,0.125,0.0938
"c28e58284a4a93520c1f5e949c2c5219d475d75e-6ba90335e27be6b0cc0598e85e499847a88a1def","2015-02 -- 2015-05",82,58,15,9,0.7073,0.1829,0.1098,5,0.061,2,0.0833,1,34,28,9,35,0,31,0,37,0.075,0.55,0.375,0.5833,0.375,0.3929,0.375,0.1667,0.5488,0.5854,0.5821,0.625,0.0903,0.3129,0.4821,0.2993,0.1521,0.0164,0.0858,26,7,2,0.7429,0.2,0.0571
"6ba90335e27be6b0cc0598e85e499847a88a1def-40e6f35f2ef0252e3668813ab81856b779cc9d3e","2015-05 -- 2015-08",64,48,7,9,0.75,0.1094,0.1406,3,0.0469,0,0,1,25,24,5,8,0,13,0,8,0.3846,0.774,0.6027,0.75,0.5085,0.4615,0.8571,0.5682,0.3125,0.6094,0.5789,0.6875,0.068,0.2828,0.5556,0.4045,0.1766,0.1676,0.127,20,1,4,0.8,0.04,0.16
"40e6f35f2ef0252e3668813ab81856b779cc9d3e-a3266d5d8996c38f7df8bbe05d0987853d9723a7","2015-08 -- 2015-11",68,47,11,10,0.6912,0.1618,0.1471,5,0.0735,1,0.0476,1,26,26,6,6,0,24,0,6,0.3333,0.8942,0.3788,0.3243,0.2353,0.24,0.1818,0.28,0.4412,0.6176,0.5439,0.7143,0.0361,0.2668,0.5202,0.1895,0.1697,0.5418,0.1067,22,2,4,0.7857,0.0714,0.1429
"a3266d5d8996c38f7df8bbe05d0987853d9723a7-625e417bb200c9b96a29518decade8f3e680b5f4","2015-11 -- 2016-02",49,31,9,9,0.6327,0.1837,0.1837,9,0.1837,0,0,1,21,20,5,10,0,17,0,11,0.3889,0.7778,0.547,0.7179,0.4681,0.4783,0.5455,0.4375,0.4694,0.5714,0.5,0.7222,0.0433,0.152,0.4681,0.3013,0.1083,0.0663,0.1777,17,2,3,0.7727,0.0909,0.1364
"625e417bb200c9b96a29518decade8f3e680b5f4-bd1847162ed6a648aa556fad9f93f663bf33e213","2016-02 -- 2016-05",60,49,4,7,0.8167,0.0667,0.1167,1,0.0167,0,0,1,24,24,3,2,0,23,0,2,0.6667,0.8182,0.2936,0.7586,0.2222,0.1818,0.5,0.5,0.4167,0.6,0.5714,0.7273,0.1288,0.2613,0.5136,0.2239,0.0678,-0.2999,0.1475,21,0,3,0.875,0,0.125
