range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"bf21933cf1746644136f1b79facdec905554729c-55be6c828f6c40f6de9356a2b11b7be7ebc6c0b7","2013-06 -- 2013-09",568,45,483,40,0.0792,0.8504,0.0704,66,0.1162,2,0.0038,28,188,40,168,5400,0,24,0,5472,0.0074,0.8225,0,0,0,0,0,0,0.787,0.669,0.5294,0.6788,0.003,0.0686,0.2882,0.4853,0.1881,0.4809,0.0381,33,161,7,0.1642,0.801,0.0348,9.507042253521126,0.04225352112676056,0.0,9.633802816901408,11.180124223602485,0.049689440993788817,0.0,11.329192546583851
"55be6c828f6c40f6de9356a2b11b7be7ebc6c0b7-0b13b21c71c186ade9c4746e630d2c006045a74b","2013-09 -- 2013-12",593,39,510,44,0.0658,0.86,0.0742,90,0.1518,4,0.0072,32,164,38,155,6698,0,19,0,6784,0.0029,0.804,0.2705,0.247,0.4318,0.7436,0.3963,0.6051,0.7437,0.7234,0.5422,0.7202,0.0028,0.0795,0.3467,0.48,0.4531,0.4809,0.0401,28,145,10,0.153,0.7923,0.0546,11.295109612141653,0.03204047217537943,0.0,11.440134907251265,13.133333333333333,0.03725490196078431,0.0,13.301960784313726
"0b13b21c71c186ade9c4746e630d2c006045a74b-2f1ea2e6351fc0ac84d0e7c448497744b17a53c0","2013-12 -- 2014-03",652,32,587,33,0.0491,0.9003,0.0506,104,0.1595,4,0.0065,30,187,30,182,6707,0,7,0,6784,0.0019,0.8313,0.2779,0.2572,0.3134,0.6471,0.3145,0.5376,0.7408,0.7132,0.5385,0.7065,0.0024,0.0997,0.359,0.5443,0.4648,0.5421,0.0328,20,172,10,0.099,0.8515,0.0495,10.286809815950921,0.010736196319018405,0.0,10.404907975460123,11.425894378194208,0.01192504258943782,0.0,11.557069846678024
"2f1ea2e6351fc0ac84d0e7c448497744b17a53c0-913968f3ef8a4122bd5723423fe3ba4276157b0e","2014-03 -- 2014-06",642,32,570,40,0.0498,0.8879,0.0623,80,0.1246,10,0.0164,31,188,32,179,7732,0,22,0,7801,0.0028,0.809,0.3648,0.3496,0.3893,0.4839,0.4044,0.5254,0.7882,0.7072,0.5556,0.7066,0.0027,0.1172,0.4067,0.4826,0.2101,0.4831,0.0395,21,168,11,0.105,0.84,0.055,12.04361370716511,0.03426791277258567,0.0,12.151090342679128,13.564912280701755,0.03859649122807018,0.0,13.685964912280701
"913968f3ef8a4122bd5723423fe3ba4276157b0e-aad2f2d605ea537e1e972d9534bebc3b1e24e440","2014-06 -- 2014-09",723,44,643,36,0.0609,0.8893,0.0498,88,0.1217,6,0.0088,31,220,40,213,10224,0,14,0,10327,0.0039,0.8062,0.293,0.2839,0.2892,0.4167,0.2857,0.58,0.787,0.6957,0.5,0.6863,0.0024,0.037,0.2833,0.5648,0.3846,0.568,0.0408,26,199,14,0.1088,0.8326,0.0586,14.141078838174273,0.019363762102351315,0.0,14.283540802213002,15.900466562986002,0.02177293934681182,0.0,16.060653188180403
"aad2f2d605ea537e1e972d9534bebc3b1e24e440-1bb5471d1910b600b8ad7641983936bb3c6c76c9","2014-09 -- 2014-12",552,29,488,35,0.0525,0.8841,0.0634,55,0.0996,3,0.0057,32,160,30,153,3797,0,4,0,3841,0.0044,0.8749,0.4831,0.4576,0.5,0.6857,0.5137,0.6169,0.7355,0.7101,0.5312,0.7075,0.0029,0.0603,0.1879,0.5946,0.4845,0.5948,0.0262,17,140,13,0.1,0.8235,0.0765,6.878623188405797,0.007246376811594203,0.0,6.958333333333333,7.780737704918033,0.00819672131147541,0.0,7.870901639344262
"1bb5471d1910b600b8ad7641983936bb3c6c76c9-735dca6f1b8b732481c2524b52b1808c0dfbbbb1","2014-12 -- 2015-03",695,33,621,41,0.0475,0.8935,0.059,71,0.1022,5,0.0076,30,180,31,175,7169,0,5,0,7317,0.0044,0.8303,0.2566,0.2363,0.3,0.7213,0.3049,0.5125,0.6892,0.741,0.5811,0.7356,0.0021,0.0775,0.3418,0.5285,0.5928,0.5381,0.0314,18,162,13,0.0933,0.8394,0.0674,10.315107913669065,0.007194244604316547,0.0,10.528057553956835,11.544283413848632,0.008051529790660225,0.0,11.782608695652174
"735dca6f1b8b732481c2524b52b1808c0dfbbbb1-2e8ccea024aa88b07cfaad484233628cfaf00cf1","2015-03 -- 2015-05",590,31,525,34,0.0525,0.8898,0.0576,63,0.1068,6,0.0107,36,153,28,145,6414,2,16,0,6522,0.0044,0.8109,0.4405,0.4292,0.4745,0.7458,0.4938,0.4346,0.7305,0.7407,0.5692,0.7406,0.0026,0.0431,0.2562,0.5546,0.3806,0.5549,0.0392,18,135,10,0.1104,0.8282,0.0613,10.871186440677967,0.02711864406779661,0.0,11.054237288135592,12.217142857142857,0.030476190476190476,0.0,12.422857142857143
"2e8ccea024aa88b07cfaad484233628cfaf00cf1-a9650528da42004693644e8d012e539132eff18a","2015-05 -- 2015-08",681,68,578,35,0.0999,0.8488,0.0514,71,0.1043,4,0.0065,31,188,50,168,9841,2,10,0,9994,0.0027,0.7734,0.2785,0.2935,0.217,0.3846,0.262,0.5311,0.7313,0.7239,0.5146,0.7259,0.0025,0.0767,0.3494,0.5125,0.3648,0.5078,0.0462,37,155,13,0.1805,0.7561,0.0634,14.450807635829662,0.014684287812041116,0.0,14.675477239353892,17.025951557093425,0.01730103806228374,0.0,17.290657439446367
"a9650528da42004693644e8d012e539132eff18a-692947400f3fa4abd551030bfa02b9a595d53a5b","2015-08 -- 2015-11",542,37,469,36,0.0683,0.8653,0.0664,47,0.0867,2,0.004,34,144,33,132,4578,0,2,0,4660,0.0051,0.8131,0.4481,0.4132,0.5,0.9157,0.4867,0.5365,0.7472,0.7343,0.5479,0.7386,0.0031,0.1423,0.4062,0.4726,0.4125,0.4717,0.0337,22,121,11,0.1429,0.7857,0.0714,8.44649446494465,0.0036900369003690036,0.0,8.597785977859779,9.761194029850746,0.0042643923240938165,0.0,9.936034115138593
"692947400f3fa4abd551030bfa02b9a595d53a5b-7f5a166b2ac74de0be59c4dd60d841c1972fefab","2015-11 -- 2016-02",744,51,638,55,0.0685,0.8575,0.0739,78,0.1048,10,0.0144,31,191,47,179,9892,0,29,0,10165,0.0093,0.799,0.2146,0.1987,0.1552,0.375,0.1543,0.5145,0.7661,0.7433,0.5566,0.7417,0.0022,0.0411,0.2891,0.4695,0.3499,0.4743,0.0393,25,157,22,0.1225,0.7696,0.1078,13.295698924731182,0.038978494623655914,0.0,13.66263440860215,15.504702194357368,0.045454545454545456,0.0,15.932601880877742
