"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"94294cd114a8a076fca039aed2f6703706d10600-8ec824f15833e7e60e108f035914bc2dc28e0af5","2013-05 -- 2013-08",93,67,19,7,0.7204,0.2043,0.0753,4,0.043,0,0,1,36,33,6,14,0,13,0,17,0.0556,0.6709,0,0,0,0,0,0,0.2581,0.6129,0.5541,0.7692,0.0177,0.1837,0.2425,0.1586,0.4265,-0.2973,0.051,31,4,2,0.8378,0.1081,0.0541
"8ec824f15833e7e60e108f035914bc2dc28e0af5-6a42e3cb625f6a7bc665937952660e77a132a2cb","2013-08 -- 2013-11",94,71,14,9,0.7553,0.1489,0.0957,3,0.0319,0,0,1,38,37,6,7,0,18,0,13,0.1875,0.7255,0.5668,0.6122,0.4324,0.3714,0.3333,0.1698,0.2766,0.5957,0.5375,0.7391,0.0219,0.2223,0.3516,0.2937,0.3168,0.0115,0.0677,34,3,3,0.85,0.075,0.075
"6a42e3cb625f6a7bc665937952660e77a132a2cb-3e618320d35bbdc17eb531a9bbb494b53d8abc21","2013-11 -- 2014-02",99,63,25,11,0.6364,0.2525,0.1111,6,0.0606,0,0,1,29,29,2,1,0,43,0,4,0.2,0.9111,0.5699,0.3729,0.597,0.5758,1.25,0.2,0.4646,0.7071,0.6081,0.9444,0.0159,0.1514,0.3746,0.2453,0.1371,-0.3485,0.0744,28,1,1,0.9333,0.0333,0.0333
"3e618320d35bbdc17eb531a9bbb494b53d8abc21-8be52f6aa7b1d2443ecf0ddda9fc07d321b55462","2014-02 -- 2014-05",87,56,22,9,0.6437,0.2529,0.1034,4,0.046,1,0.0323,1,32,30,8,15,0,13,0,16,0.2,0.7226,0.6237,0.5672,0.3279,0.3729,0,0.4828,0.3103,0.6322,0.5385,0.7419,0.0234,0.1824,0.3526,0.3965,0.3816,0.0209,0.0893,26,4,4,0.7647,0.1176,0.1176
"8be52f6aa7b1d2443ecf0ddda9fc07d321b55462-4d15f219a73aefb7a68f979b9ea68a113761b8f6","2014-05 -- 2014-08",81,62,12,7,0.7654,0.1481,0.0864,2,0.0247,0,0,1,28,27,5,4,0,21,0,6,0.3333,0.7251,0.5,0.64,0.5,0.4912,0.7692,0.2619,0.321,0.6543,0.6087,0.7368,0.0292,0.2789,0.4031,0.4309,0.2641,-0.3237,0.0719,25,3,2,0.8333,0.1,0.0667
"4d15f219a73aefb7a68f979b9ea68a113761b8f6-effeefb84a1a299c8b08b4fe4e89fb3ff632c2e2","2014-08 -- 2014-11",79,56,17,6,0.7089,0.2152,0.0759,4,0.0506,0,0,1,27,26,5,5,0,24,0,8,0.1111,0.7778,0.4875,0.381,0.5091,0.566,0.4,0.2308,0.4051,0.6582,0.5806,0.7826,0.0193,0.1423,0.334,0.4187,0.2345,0.0957,0.0763,24,3,2,0.8276,0.1034,0.069
"effeefb84a1a299c8b08b4fe4e89fb3ff632c2e2-c2371a2de95381909c4fbd2a4fdc76ac0e49410d","2014-11 -- 2015-02",64,31,25,8,0.4844,0.3906,0.125,3,0.0469,0,0,1,18,18,3,1,0,16,0,1,0.6667,0.9798,0.6853,0.4643,0.5778,0.5,0.75,0.3878,0.2656,0.7188,0.5385,0.9091,0.0182,0.1219,0.2842,0.4568,0.0929,0.1655,0.065,17,2,1,0.85,0.1,0.05
"c2371a2de95381909c4fbd2a4fdc76ac0e49410d-af84148fed383bca575755400518b4edbd971099","2015-02 -- 2015-05",83,52,23,8,0.6265,0.2771,0.0964,3,0.0361,1,0.0323,1,27,26,5,10,0,29,0,11,0.0833,0.793,0.4898,0.5938,0.4444,0.5,0.25,0.2222,0.4217,0.6747,0.5667,0.8387,0.0186,0.1364,0.3354,0.4347,0.0426,0.0336,0.0914,24,3,2,0.8276,0.1034,0.069
"af84148fed383bca575755400518b4edbd971099-fa5d28aad3c2d26f75d33b7725762dacf5be9f18","2015-05 -- 2015-08",77,52,17,8,0.6753,0.2208,0.1039,4,0.0519,1,0.04,1,29,29,3,3,0,12,0,5,0,0.776,0.575,0.5357,0.4643,0.4727,0.75,0.4348,0.1948,0.6234,0.5167,0.88,0.019,0.1152,0.263,0.5231,0.2629,-0.4226,0.066,29,3,0,0.9062,0.0938,0
"fa5d28aad3c2d26f75d33b7725762dacf5be9f18-011c6db39ec182771bf7c96992e52ac388c79259","2015-08 -- 2015-11",67,36,22,9,0.5373,0.3284,0.1343,6,0.0896,0,0,1,20,19,4,4,0,12,0,5,0.375,0.8589,0.5972,0.5,0.7347,0.7917,0.2857,0.2326,0.2388,0.7015,0.5778,0.871,0.0207,0.138,0.2259,0.3461,0.3384,-0.291,0.062,18,3,1,0.8182,0.1364,0.0455
