range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"2a800dc3f31c78d4ee078c013bbcaf30360e18dd-ad1fe3f91fe565cbb22577d82a969aee350e9543","2013-05 -- 2013-08",46,32,6,8,0.6957,0.1304,0.1739,3,0.0652,0,0,9,17,16,2,2,0,10,0,2,0,0.7857,0,0,0,0,0,0,0.2609,0.6304,0.6,0.8571,0.0647,0.4472,0.6618,0.4777,0.1998,-0.4924,0.1159,15,1,1,0.8824,0.0588,0.0588,0.043478260869565216,0.21739130434782608,0.0,0.043478260869565216,0.3333333333333333,1.6666666666666667,0.0,0.3333333333333333
"ad1fe3f91fe565cbb22577d82a969aee350e9543-23012db921e014dc2c44d8ceec6397e0c14af074","2013-08 -- 2013-11",86,54,17,15,0.6279,0.1977,0.1744,9,0.1047,3,0.0938,15,29,27,8,13,0,19,0,13,0,0.5769,0.2424,0.1739,0.4783,0.4651,0,0.1875,0.3605,0.6628,0.6087,0.75,0.0293,0.4944,0.6897,0.3518,0.1565,-0.3024,0.0632,24,5,3,0.75,0.1562,0.0938,0.1511627906976744,0.22093023255813954,0.0,0.1511627906976744,0.7647058823529411,1.1176470588235294,0.0,0.7647058823529411
"23012db921e014dc2c44d8ceec6397e0c14af074-9585647a25b65f98db6bd22c569b34795512f046","2013-11 -- 2014-02",65,49,4,12,0.7538,0.0615,0.1846,2,0.0308,0,0,12,27,26,5,2,0,25,0,11,0.5,0.8011,0.7285,0.9583,0.5,0.4906,0.6154,0.4,0.4769,0.5846,0.5738,0.6875,0.1035,0.5274,0.7276,0.0076,0.128,-0.3006,0.1005,21,0,5,0.8077,0,0.1923,0.03076923076923077,0.38461538461538464,0.0,0.16923076923076924,0.5,6.25,0.0,2.75
"9585647a25b65f98db6bd22c569b34795512f046-4b8b9135f1676924a8458da528d264bbc7bbb301","2014-02 -- 2014-04",32,25,2,5,0.7812,0.0625,0.1562,3,0.0938,0,0,7,15,15,0,0,3,14,1,0,1,1,1.0928,1.1304,0.9524,0.9268,2,0.3962,0.4688,0.5312,0.5,1,0.1414,0.4721,0.5101,0.03,0.03,0,0.1028,15,0,0,1,0,0,0.0,0.4375,0.03125,0.0,0.0,7.0,0.5,0.0
"4b8b9135f1676924a8458da528d264bbc7bbb301-d1224d209be3fcfa5cea7b3e637cfc429f7d2345","2014-04 -- 2014-08",50,44,2,4,0.88,0.04,0.08,0,0,0,0,5,20,20,0,0,0,22,0,0,1,1,0.5122,0.7692,0.5714,0.5714,0,0.381,0.44,0.6,0.5833,1,0.051,0.3929,0.4882,0.1456,0.1456,0,0.0833,20,0,0,1,0,0,0.0,0.44,0.0,0.0,0.0,11.0,0.0,0.0
"d1224d209be3fcfa5cea7b3e637cfc429f7d2345-72ec399ad8d6348b6c74ea63d80c79784c8b84ae","2014-08 -- 2014-11",34,27,0,7,0.7941,0,0.2059,2,0.0588,0,0,11,16,16,0,0,0,13,0,0,1,1,0.9286,0.6154,0.7778,0.7778,0,0.4103,0.3824,0.5294,0.5294,1,0.1657,0.688,0.6881,0.1624,0.1624,0,0.0998,16,0,0,1,0,0,0.0,0.38235294117647056,0.0,0.0,NaN,Infinity,NaN,NaN
"72ec399ad8d6348b6c74ea63d80c79784c8b84ae-c0f529ea679bdf48cbe1c4b3dd92fb552456a1fe","2014-11 -- 2015-02",52,43,2,7,0.8269,0.0385,0.1346,1,0.0192,0,0,7,26,26,2,0,0,0,0,1,0.6667,0.9259,0.4651,0.5,0.4762,0.4762,0,0.4,0.0385,0.5,0.48,0.7778,0.1477,0.5767,0.5377,0.5096,0.5311,-0.3815,0.0701,25,1,1,0.9259,0.037,0.037,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.5
"c0f529ea679bdf48cbe1c4b3dd92fb552456a1fe-07258815e96aab2c72593d0129d17051cbf68d27","2015-02 -- 2015-05",50,34,3,13,0.68,0.06,0.26,7,0.14,0,0,10,22,22,2,0,0,0,0,1,0.6667,0.9583,0.5686,0.48,0.6667,0.6667,0,0.0345,0.04,0.56,0.5319,0.875,0.1058,0.5483,0.7543,0.4613,0.4579,0.068,0.1029,20,0,2,0.9091,0,0.0909,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.3333333333333333
"07258815e96aab2c72593d0129d17051cbf68d27-72fc110d95129410443b898e931ff7a1db75312e","2015-05 -- 2015-07",43,31,2,10,0.7209,0.0465,0.2326,5,0.1163,0,0,18,20,20,2,0,0,16,0,1,0.8,0.95,0.7097,0.7857,0.619,0.619,0,0.0303,0.3721,0.5349,0.5122,0.8333,0.1719,0.6916,0.8095,0.1769,0.127,-0.4006,0.0952,18,0,2,0.9,0,0.1,0.0,0.37209302325581395,0.0,0.023255813953488372,0.0,8.0,0.0,0.5
"72fc110d95129410443b898e931ff7a1db75312e-33b1103e303a6112315257ddad9d771088ba813f","2015-07 -- 2015-10",64,53,2,9,0.8281,0.0312,0.1406,4,0.0625,0,0,10,24,24,1,0,0,11,0,0,1,1,0.3738,0.6957,0.5909,0.5909,0.6667,0.4,0.1719,0.625,0.6129,0.9091,0.0777,0.642,0.7163,0.3551,0.354,-0.5,0.0774,23,0,1,0.9583,0,0.0417,0.0,0.171875,0.0,0.0,0.0,5.5,0.0,0.0
