"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"24317ef32ac3111ed00792f9b2921dc19dd28fe2-425df881e08bed7a8fcc9a23f452cff792f9ec6c","2013-05 -- 2013-08",340,231,13,96,0.6794,0.0382,0.2824,24,0.0706,2,0.0183,31,96,96,20,0,0,203,0,25,0.6711,0.9825,0,0,0,0,0,0,0.6294,0.7176,0.7064,0.8165,0.0112,0.3713,0.5867,0.1225,0.1219,0.5523,0.0268,80,4,16,0.8,0.04,0.16
"425df881e08bed7a8fcc9a23f452cff792f9ec6c-3176c59290de8921cd6649dfb59f4d1f1f2c31bf","2013-08 -- 2013-11",305,225,7,73,0.7377,0.023,0.2393,12,0.0393,0,0,24,92,92,0,0,2,180,0,0,1,1,0.6574,0.7196,0.4255,0.4255,2,0.6321,0.5902,0.6984,0.6913,1,0.0105,0.346,0.5256,0.2118,0.2118,0,0.027,92,0,0,1,0,0
"3176c59290de8921cd6649dfb59f4d1f1f2c31bf-6a7071958620dadcce84e4faaa470407ae3d4108","2013-11 -- 2014-02",295,173,35,87,0.5864,0.1186,0.2949,9,0.0305,1,0.0082,22,93,93,10,0,2,142,0,3,0.7,0.9943,0.5933,0.2178,0.4108,0.4108,0,0.5787,0.4847,0.6847,0.6423,0.918,0.0069,0.2988,0.5065,0.2631,0.2613,0.5582,0.0241,84,1,9,0.8936,0.0106,0.0957
"6a7071958620dadcce84e4faaa470407ae3d4108-502b0a1ad145a7d77733008946c833ba7d3d100d","2014-02 -- 2014-05",353,251,11,91,0.711,0.0312,0.2578,16,0.0453,0,0,26,98,98,10,1,0,172,0,2,0.8333,0.9951,0.5463,0.6339,0.4503,0.4503,0.5,0.4859,0.4901,0.7224,0.7135,0.902,0.0152,0.4266,0.6378,0.2708,0.2689,0.5804,0.027,89,1,9,0.899,0.0101,0.0909
"502b0a1ad145a7d77733008946c833ba7d3d100d-09898e7c3b040086e8addd4ef226548c9dce1460","2014-05 -- 2014-08",257,181,11,65,0.7043,0.0428,0.2529,4,0.0156,0,0,23,80,80,0,0,0,138,0,0,1,1,0.8033,0.7303,0.5506,0.5506,2,0.4857,0.537,0.6887,0.6748,1,0.0134,0.44,0.5875,0.3793,0.3793,0,0.0296,80,0,0,1,0,0
"09898e7c3b040086e8addd4ef226548c9dce1460-e50cd67ba477133458158a016ffabb8e4bfc81bf","2014-08 -- 2014-11",741,141,490,110,0.1903,0.6613,0.1484,7,0.0094,0,0,27,84,84,3,0,8,142,0,1,0.5,0.9983,0.2445,0.0414,0.3293,0.3293,0,0.5656,0.197,0.8866,0.6653,0.995,9e-04,0.0549,0.1919,0.2888,0.2891,0.3324,0.0027,81,0,3,0.9643,0,0.0357
"e50cd67ba477133458158a016ffabb8e4bfc81bf-bd4e8822da3bf6ce28a0c5f7c1bbf1b6341c0586","2014-11 -- 2015-02",270,189,12,69,0.7,0.0444,0.2556,5,0.0185,0,0,21,88,88,0,0,2,145,0,0,1,1,1.2166,1.6123,0.4884,0.4884,2,0.1593,0.5481,0.6741,0.6589,1,0.0095,0.4209,0.5898,0.128,0.128,0,0.0236,88,0,0,1,0,0
"bd4e8822da3bf6ce28a0c5f7c1bbf1b6341c0586-d358f771e3a0e78ea8ebed7edf48a12a7620c813","2015-02 -- 2015-05",407,228,88,91,0.5602,0.2162,0.2236,7,0.0172,0,0,31,105,105,2,0,0,149,0,0,1,1,0.4343,0.1462,0.4767,0.4767,0,0.5374,0.3661,0.742,0.6708,0.9888,0.0039,0.3371,0.5466,0.1021,0.102,-0.424,0.015,103,0,2,0.981,0,0.019
"d358f771e3a0e78ea8ebed7edf48a12a7620c813-06e6a745064c4f2f827177f6d92f4b9adb018200","2015-05 -- 2015-08",288,198,23,67,0.6875,0.0799,0.2326,8,0.0278,0,0,29,92,92,5,0,2,148,0,2,0.8,0.9922,0.8115,0.8922,0.5279,0.5279,0.2857,0.3688,0.5243,0.6806,0.6528,0.9444,0.0082,0.4424,0.6209,0.1214,0.0901,0.562,0.0237,87,0,5,0.9457,0,0.0543
"06e6a745064c4f2f827177f6d92f4b9adb018200-85d9d9ddf38aba0c13a1be8f667af6b8cf021ca6","2015-08 -- 2015-11",301,207,21,73,0.6877,0.0698,0.2425,9,0.0299,0,0,24,91,91,7,3,0,143,0,5,0.5455,0.9836,0.6112,0.3696,0.4372,0.4372,0.1667,0.5167,0.485,0.6977,0.675,0.9255,0.0084,0.4267,0.5471,0.1401,0.1431,0.2828,0.0195,85,1,6,0.9239,0.0109,0.0652
