"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"61323926e0941219b2cef1645518a62621d552d8-9c814d1584c27b2f9efe7a167023e875e35b4f92","2013-06 -- 2013-09",95,31,62,2,0.3263,0.6526,0.0211,18,0.1895,2,0.0312,1,25,18,9,34,0,2,0,34,0.0286,0.8094,0,0,0,0,0,0,0.2316,0.7368,0.4545,0.8594,0.0102,0.1927,0.2994,0.0119,0.649,0.0019,0.0197,17,8,1,0.6538,0.3077,0.0385
"9c814d1584c27b2f9efe7a167023e875e35b4f92-729c962b7ccb06c1c79773840ef9de2d8f63f927","2013-09 -- 2013-11",109,16,89,4,0.1468,0.8165,0.0367,18,0.1651,1,0.0108,1,20,13,12,48,0,4,0,50,0,0.8447,0.4412,0.293,0.8,0.9032,0.4762,0.2222,0.2477,0.8165,0.35,0.871,0.0057,0.0558,0.1368,0.0501,0.7026,0.0483,0.0114,11,10,2,0.4783,0.4348,0.087
"729c962b7ccb06c1c79773840ef9de2d8f63f927-c02e6e82bc91d2d37da344bfa79cc73ddc8bac61","2013-11 -- 2014-02",99,33,64,2,0.3333,0.6465,0.0202,10,0.101,0,0,1,23,15,9,39,0,0,0,40,0,0.8303,0.5673,0.6164,0.6977,0.7143,0.7619,0.2881,0.1919,0.7677,0.5714,0.8636,0.009,0.1425,0.2424,0.0776,0.2873,0.0441,0.0229,14,8,1,0.6087,0.3478,0.0435
"c02e6e82bc91d2d37da344bfa79cc73ddc8bac61-35848879384888db7adf11dfef21ff70ea5a454d","2014-02 -- 2014-05",124,36,84,4,0.2903,0.6774,0.0323,17,0.1371,4,0.0455,1,25,19,9,43,0,16,0,45,0,0.8558,0.3677,0.3506,0.5,0.3529,0.4444,0.1707,0.2742,0.7984,0.525,0.8977,0.007,0.0974,0.2015,0.3742,0.1804,0.1581,0.0261,18,8,1,0.6667,0.2963,0.037
"35848879384888db7adf11dfef21ff70ea5a454d-3526bc0f0a84d8701102faa6517abe5f3e502e28","2014-05 -- 2014-08",72,23,47,2,0.3194,0.6528,0.0278,19,0.2639,0,0,1,21,14,7,33,0,1,0,33,0,0.786,0.7653,0.8029,0.6087,0.6667,0.625,0.1867,0.2222,0.7083,0.44,0.8571,0.0147,0.1636,0.216,0.1086,0.3709,0.0095,0.0376,13,6,1,0.65,0.3,0.05
"3526bc0f0a84d8701102faa6517abe5f3e502e28-77b0c07410e74ad674208d7208e18958ca7bf3d2","2014-08 -- 2014-11",109,14,93,2,0.1284,0.8532,0.0183,30,0.2752,3,0.0316,1,18,9,12,56,0,0,0,56,0,0.8622,0.3757,0.25,0.8205,0.7826,0.2105,0.1765,0.2294,0.8349,0.4375,0.8737,0.0049,0.0389,0.1822,0.396,0.5273,0.3903,0.0122,8,11,1,0.4,0.55,0.05
"77b0c07410e74ad674208d7208e18958ca7bf3d2-ea855442be05e852ec419984ee18ddebf5284214","2014-11 -- 2015-02",73,24,47,2,0.3288,0.6438,0.0274,13,0.1781,4,0.0816,1,17,9,9,28,0,0,0,29,0,0.8121,0.8791,0.9583,0.8571,0.8889,0.7619,0.175,0.2329,0.7671,0.6538,0.8163,0.0054,0.0314,0.1374,0.1179,0.2795,0.0647,0.0293,9,9,0,0.5,0.5,0
"ea855442be05e852ec419984ee18ddebf5284214-249619fabddc0bfab93ac2cfc9a35b6c450677a7","2015-02 -- 2015-05",103,20,80,3,0.1942,0.7767,0.0291,17,0.165,1,0.012,1,20,13,8,23,0,4,0,23,0,0.8774,0.4091,0.2727,0.5946,0.5455,0.7059,0.2222,0.2039,0.8058,0.4348,0.9036,0.0029,0.0216,0.1185,0.1114,0.6413,0.0998,0.0089,12,7,1,0.6,0.35,0.05
"249619fabddc0bfab93ac2cfc9a35b6c450677a7-d114d5f95aab0a92ea8ba5ff386742435036f0b5","2015-05 -- 2015-08",56,16,38,2,0.2857,0.6786,0.0357,16,0.2857,2,0.05,1,13,9,5,12,0,0,0,12,0,0.8188,0.9308,0.8943,1.0909,1.0909,0.9231,0.1622,0.1607,0.7679,0.5,0.875,0.007,0.0288,0.1221,0.3863,0.3223,0.3035,0.0234,8,4,1,0.6154,0.3077,0.0769
"d114d5f95aab0a92ea8ba5ff386742435036f0b5-6fef5c37f7f0dd8bf59bde0d452383c3448bda79","2015-08 -- 2015-11",99,34,63,2,0.3434,0.6364,0.0202,13,0.1313,1,0.0154,1,26,21,8,11,0,4,0,11,0,0.9175,0.2839,0.3048,0.3077,0.2667,0.4615,0.0455,0.1717,0.7374,0.4167,0.8769,0.0077,0.0938,0.0891,0.6014,0.5723,0.3438,0.013,20,7,1,0.7143,0.25,0.0357
"6fef5c37f7f0dd8bf59bde0d452383c3448bda79-0edbdc529e909eacc05e20534e4dec1465c794b3","2015-11 -- 2016-02",51,20,31,0,0.3922,0.6078,0,10,0.1961,0,0,1,12,10,2,2,0,0,0,2,0,0.9032,0.8933,0.8958,1.0526,0.9677,1.4,0.1642,0.0588,0.7647,0.5,0.9355,0.0098,0.0263,0.1373,0.363,0.3468,-0.4475,0.0227,10,2,0,0.8333,0.1667,0
"0edbdc529e909eacc05e20534e4dec1465c794b3-5226d8b0864fa894f180b8584e837aaf565578b2","2016-02 -- 2016-05",77,15,62,0,0.1948,0.8052,0,9,0.1169,0,0,1,11,9,1,1,0,0,0,1,0,0.9677,0.375,0.2366,0.9565,0.9474,0.6667,0,0.026,0.8571,0.4,0.9839,9e-04,0,0.0347,0.72,0.7438,-0.5,0.0048,9,1,0,0.9,0.1,0
