"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"0a32b1e2d6034ebba02a53d382f660b99ecd8ff8-8ba5fb0b28f479b924b779095dc44d9504ce7ce5","2013-06 -- 2013-09",238,208,17,13,0.8739,0.0714,0.0546,11,0.0462,2,0.0667,1,82,80,8,21,0,96,0,26,0.1333,0.7733,0,0,0,0,0,0,0.4412,0.6555,0.638,0.7333,0.012,0.4395,0.4403,0.4499,0.4608,0.2163,0.0196,75,3,5,0.9036,0.0361,0.0602
"8ba5fb0b28f479b924b779095dc44d9504ce7ce5-3c4d54fd885ee352d16cdcce60323f01a22721e1","2013-09 -- 2013-11",283,254,17,12,0.8975,0.0601,0.0424,11,0.0389,1,0.0345,1,98,97,8,3,2,143,1,7,0.3,0.9,0.5988,0.5763,0.5444,0.5424,0.5,0.3846,0.5194,0.6537,0.6353,0.7241,0.0127,0.5641,0.5154,0.2625,0.241,0.401,0.0165,92,3,5,0.92,0.03,0.05
"3c4d54fd885ee352d16cdcce60323f01a22721e1-601774386c642a175b1fcad3e494572ab43568f9","2013-11 -- 2014-02",261,233,15,13,0.8927,0.0575,0.0498,9,0.0345,1,0.0357,1,101,100,8,17,0,91,1,23,0.1786,0.7474,0.6507,0.5614,0.5829,0.5787,0.375,0.5311,0.3985,0.613,0.5935,0.7143,0.0242,0.7123,0.706,0.4,0.3288,0.2843,0.017,94,2,6,0.9216,0.0196,0.0588
"601774386c642a175b1fcad3e494572ab43568f9-066fdcd432bce0e64b57a9276487a0a10e632daf","2014-02 -- 2014-05",250,222,16,12,0.888,0.064,0.048,1,0.004,0,0,1,90,88,8,21,0,21,0,27,0.2703,0.7558,0.6654,0.6786,0.6806,0.6915,0.375,0.3882,0.144,0.64,0.6239,0.7143,0.0203,0.4307,0.4426,0.3001,0.4128,0.3196,0.0193,81,1,7,0.9101,0.0112,0.0787
"066fdcd432bce0e64b57a9276487a0a10e632daf-f0deb37a8697b7a01d2f935949ce3e1412c1293c","2014-05 -- 2014-08",224,196,15,13,0.875,0.067,0.058,10,0.0446,1,0.0357,1,93,91,8,24,0,37,0,30,0.1429,0.6867,0.6793,0.4286,0.6011,0.6034,0.375,0.0373,0.2321,0.5848,0.5646,0.7143,0.0322,0.4342,0.3908,0.2286,0.4162,0.0091,0.0173,85,2,6,0.914,0.0215,0.0645
"f0deb37a8697b7a01d2f935949ce3e1412c1293c-92b69256e271b657938c120a352f3ee93014cdd6","2014-08 -- 2014-11",206,176,20,10,0.8544,0.0971,0.0485,16,0.0777,2,0.0667,1,77,75,9,10,0,29,0,15,0.1176,0.8275,0.7023,0.5172,0.7412,0.759,0.5882,0.1722,0.2039,0.6262,0.5968,0.7,0.0104,0.275,0.3216,0.4309,0.3837,0.1526,0.0198,70,4,5,0.8861,0.0506,0.0633
"92b69256e271b657938c120a352f3ee93014cdd6-dc10b1139158e5fd525fe67a6f29fed33ae28d99","2014-11 -- 2015-02",191,166,11,14,0.8691,0.0576,0.0733,9,0.0471,1,0.04,1,74,73,6,7,0,39,0,14,0.2222,0.8178,0.6902,0.6545,0.5563,0.5541,0.5333,0.1752,0.2513,0.6126,0.5944,0.76,0.0176,0.4185,0.3614,0.5079,0.5237,0.1576,0.0228,67,0,6,0.9178,0,0.0822
"dc10b1139158e5fd525fe67a6f29fed33ae28d99-8bc0a6c5628b15509f94734e2f9d5dca9a0a71d8","2015-02 -- 2015-05",211,167,29,15,0.7915,0.1374,0.0711,19,0.09,3,0.0682,1,85,80,12,21,0,32,0,25,0.1071,0.8774,0.5672,0.2029,0.5157,0.549,0.1111,0.1842,0.2464,0.5972,0.5604,0.7273,0.0115,0.3554,0.3064,0.6287,0.4937,0.6333,0.0174,74,6,6,0.8605,0.0698,0.0698
"8bc0a6c5628b15509f94734e2f9d5dca9a0a71d8-2534e39e553859ff8bb71c5bd0e39bca48688698","2015-05 -- 2015-08",214,180,17,17,0.8411,0.0794,0.0794,10,0.0467,2,0.0588,1,81,78,11,21,0,30,0,32,0.3043,0.798,0.6259,0.6667,0.6506,0.6456,0.6087,0.1805,0.2243,0.6215,0.6041,0.6765,0.0142,0.363,0.3972,0.3183,0.4337,0.255,0.0207,71,4,7,0.8659,0.0488,0.0854
"2534e39e553859ff8bb71c5bd0e39bca48688698-8249c6db0e69f1bd3f80967c0bfd9b695e09557b","2015-08 -- 2015-11",212,178,22,12,0.8396,0.1038,0.0566,12,0.0566,1,0.0294,1,83,79,9,19,0,17,0,21,0.087,0.8133,0.6479,0.4118,0.5488,0.5732,0.7,0.1159,0.1462,0.6085,0.5842,0.7353,0.0115,0.4347,0.4234,0.4857,0.4894,0.083,0.0173,75,5,4,0.8929,0.0595,0.0476
"8249c6db0e69f1bd3f80967c0bfd9b695e09557b-9092fce0b0cf52f70fe743bd04f9a771c520ed56","2015-11 -- 2016-02",212,177,21,14,0.8349,0.0991,0.066,14,0.066,3,0.0857,1,83,80,11,24,0,59,0,34,0.0811,0.7598,0.6509,0.5217,0.6627,0.6792,0.4,0.087,0.3538,0.6085,0.5812,0.6857,0.0149,0.587,0.5742,0.5048,0.3828,0.4037,0.0182,74,5,6,0.8706,0.0588,0.0706
"9092fce0b0cf52f70fe743bd04f9a771c520ed56-ef1444cfe46ec9c037a60f6f135e492200421c3d","2016-02 -- 2016-05",241,207,22,12,0.8589,0.0913,0.0498,13,0.0539,5,0.1471,1,93,88,10,24,0,78,0,25,0.0741,0.8235,0.574,0.4348,0.5682,0.5833,0.5714,0.3154,0.39,0.6141,0.5982,0.7059,0.0126,0.5951,0.572,0.5133,0.4076,0.5849,0.0155,83,5,5,0.8925,0.0538,0.0538
