range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"9c71a2aec48583e8189ea3057f7dd2e6866edb7a-29479de5659ba912b486c74078403bbb9a4df104","2013-06 -- 2013-09",7,2,1,4,0.2857,0.1429,0.5714,0,0,0,0,4,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.4286,0.3333,1,0.3038,0.4278,0.4524,0.1311,0.1311,0,0.381,4,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"29479de5659ba912b486c74078403bbb9a4df104-1ae6df81dbf98956e489a7668d2280ad9c4d72e4","2013-09 -- 2013-12",22,9,0,13,0.4091,0,0.5909,1,0.0455,0,0,11,11,11,1,0,0,8,0,0,1,1,0.1379,0,0,0,0,0,0.3636,0.5,0.5,0.9231,0.9328,0.7381,0.8052,0.0042,0.0046,-0.5,0.1948,10,0,1,0.9091,0,0.0909,0.0,0.36363636363636365,0.0,0.0,NaN,Infinity,NaN,NaN
"1ae6df81dbf98956e489a7668d2280ad9c4d72e4-9037ea2c123eb5ad351fdc108bbd2ced7f1a81a8","2013-12 -- 2014-03",33,22,0,11,0.6667,0,0.3333,0,0,0,0,9,17,17,1,0,0,4,0,0,1,1,0.4,0.5,0.2143,0.2143,0,0.4545,0.1212,0.4848,0.4848,0.9091,0.8503,0.6943,0.7727,0.0778,0.0783,-0.5,0.1648,16,0,1,0.9412,0,0.0588,0.0,0.12121212121212122,0.0,0.0,NaN,Infinity,NaN,NaN
"9037ea2c123eb5ad351fdc108bbd2ced7f1a81a8-a49c57a7931589001695397ccf03c4c91b4e1045","2014-03 -- 2014-06",30,15,0,15,0.5,0,0.5,1,0.0333,0,0,13,13,13,0,0,4,30,0,0,1,1,0.5079,0.0769,0.6,0.6,2,0.125,1,0.5667,0.5667,1,0.8958,0.7318,0.8184,-0.2035,-0.2035,0,0.1471,13,0,0,1,0,0,0.0,1.0,0.0,0.0,NaN,Infinity,NaN,NaN
"a49c57a7931589001695397ccf03c4c91b4e1045-6bb08d056ecec2c452f8bb4558e4192b0a9422f6","2014-06 -- 2014-09",32,17,0,15,0.5312,0,0.4688,0,0,0,0,15,14,14,2,0,0,9,1,0,1,1,0.5161,0.4667,0.2963,0.2963,0,1,0.2812,0.5625,0.5625,0.8667,0.9249,0.6942,0.8185,0.0238,0.0242,-0.3576,0.1815,12,0,2,0.8571,0,0.1429,0.0,0.28125,0.03125,0.0,NaN,Infinity,Infinity,NaN
"6bb08d056ecec2c452f8bb4558e4192b0a9422f6-c3ea85d110dbad391045a09ab7e382b3007deff9","2014-09 -- 2014-12",48,26,2,20,0.5417,0.0417,0.4167,0,0,0,0,19,20,20,3,2,0,18,1,2,0.6667,0.947,0.225,0.1081,0.1765,0.1765,0,0.5556,0.4167,0.5833,0.5652,0.8636,0.3058,0.5977,0.7863,0.0699,0.0726,0.3014,0.1498,17,0,3,0.85,0,0.15,0.041666666666666664,0.375,0.020833333333333332,0.041666666666666664,1.0,9.0,0.5,1.0
"c3ea85d110dbad391045a09ab7e382b3007deff9-6efd0823e1a50d82fa466106d6b7fe71a93a5aaa","2014-12 -- 2015-03",55,32,1,22,0.5818,0.0182,0.4,1,0.0182,0,0,13,22,22,0,0,0,21,0,0,1,1,0.4272,0.2667,0.2857,0.2857,2,0.5,0.3818,0.6,0.5926,1,0.2577,0.4142,0.6572,0.0857,0.0857,0,0.1576,22,0,0,1,0,0,0.0,0.38181818181818183,0.0,0.0,0.0,21.0,0.0,0.0
"6efd0823e1a50d82fa466106d6b7fe71a93a5aaa-7770aafc7561897ff1d3c706420f76843c5182c0","2015-03 -- 2015-06",53,31,1,21,0.5849,0.0189,0.3962,0,0,0,0,15,23,23,2,0,0,8,0,0,1,1,0.5,0.2667,0.2667,0.2667,0,0.4074,0.1509,0.566,0.5577,0.9091,0.2978,0.5078,0.7754,0.0934,0.0943,-0.3812,0.1669,21,0,2,0.913,0,0.087,0.0,0.1509433962264151,0.0,0.0,0.0,8.0,0.0,0.0
"7770aafc7561897ff1d3c706420f76843c5182c0-34582b303719bd1f305a2a565285ee19e65a4706","2015-06 -- 2015-09",63,33,2,28,0.5238,0.0317,0.4444,1,0.0159,0,0,22,26,26,0,0,0,16,1,0,1,1,0.3448,0.1923,0.2449,0.2449,2,0.25,0.254,0.5873,0.5738,1,0.1493,0.434,0.7074,0.0682,0.0682,0,0.1475,26,0,0,1,0,0,0.0,0.25396825396825395,0.015873015873015872,0.0,0.0,8.0,0.5,0.0
"34582b303719bd1f305a2a565285ee19e65a4706-07e70f4846521c1fa5319b25f23eea171a03fccd","2015-09 -- 2015-12",77,39,1,37,0.5065,0.013,0.4805,6,0.0779,0,0,25,31,31,2,1,0,17,0,1,0.5,0.9605,0.3143,0.1176,0.2456,0.2456,0,0.4091,0.2338,0.5974,0.5921,0.9474,0.7929,0.5414,0.7666,0.3026,0.307,-0.4789,0.1282,29,0,2,0.9355,0,0.0645,0.012987012987012988,0.22077922077922077,0.0,0.012987012987012988,1.0,17.0,0.0,1.0
"07e70f4846521c1fa5319b25f23eea171a03fccd-dd6e70f920f7d472bbd4a66a2a2500c885ef7151","2015-12 -- 2016-03",83,40,3,40,0.4819,0.0361,0.4819,3,0.0361,0,0,17,33,33,2,1,0,37,1,1,0.5,0.9651,0.4625,0.3704,0.2812,0.2812,0.5,0.2703,0.4578,0.6024,0.5875,0.9535,0.1407,0.3399,0.6721,0.1621,0.1606,-0.376,0.1328,31,0,2,0.9394,0,0.0606,0.012048192771084338,0.4457831325301205,0.012048192771084338,0.012048192771084338,0.3333333333333333,12.333333333333334,0.3333333333333333,0.3333333333333333
"dd6e70f920f7d472bbd4a66a2a2500c885ef7151-e88eb07110a9e6bf49bfe9020ad9a9a08c2dd61b","2016-03 -- 2016-05",97,48,2,47,0.4948,0.0206,0.4845,7,0.0722,0,0,25,34,34,2,0,0,30,1,0,1,1,0.3444,0.2826,0.2985,0.2985,0.5,0.5161,0.3093,0.6495,0.6421,0.9592,0.1312,0.2909,0.6036,0.2566,0.2556,-0.3889,0.1151,32,0,2,0.9412,0,0.0588,0.0,0.30927835051546393,0.010309278350515464,0.0,0.0,15.0,0.5,0.0
