range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"b0ec8c57b5299f38e543ebe807ab253ec071f40b-26e0ecdb1186f8b0583697a7f4695dd99bd763a0","2013-04 -- 2013-08",7,3,3,1,0.4286,0.4286,0.1429,0,0,0,0,1,3,3,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0.5714,0.5714,0.25,1,0.1179,0,0.2143,-0.3009,-0.3009,0,0.2857,3,0,0,1,0,0,0.0,0.5714285714285714,0.0,0.0,0.0,1.3333333333333333,0.0,0.0
"26e0ecdb1186f8b0583697a7f4695dd99bd763a0-1ff2a1c3c8f027b8c3fcf8fedf41f44baa81bb62","2013-08 -- 2013-11",11,8,2,1,0.7273,0.1818,0.0909,1,0.0909,0,0,1,4,4,0,0,0,5,0,0,1,1,0.1111,0.2857,0,0,0,0,0.4545,0.6364,0.5556,1,0.1695,0.3133,0.4273,0.0025,0.0025,0,0.2727,4,0,0,1,0,0,0.0,0.45454545454545453,0.0,0.0,0.0,2.5,0.0,0.0
"1ff2a1c3c8f027b8c3fcf8fedf41f44baa81bb62-8c324b275e090abba3accd5c294d25da65d92a04","2013-11 -- 2014-01",5,3,1,1,0.6,0.2,0.2,0,0,0,0,1,3,3,0,0,0,4,0,0,1,1,0.875,0.8,0.2857,0.2857,0,0.4286,0.8,0.4,0.25,1,0.175,0,0.15,-0.2728,-0.2728,0,0.6,3,0,0,1,0,0,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0
"8c324b275e090abba3accd5c294d25da65d92a04-d2d58a3dc18f8d4c4d0e6b4f68fd63095e51e7ac","2014-01 -- 2014-05",9,6,3,0,0.6667,0.3333,0,2,0.2222,0,0,1,3,3,0,0,0,0,0,0,1,1,0.2857,0.4,0.6667,0.6667,0,1,0,0.6667,0.5,1,0.1383,0.25,0.4028,0.1752,0.1752,0,0.2222,3,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"d2d58a3dc18f8d4c4d0e6b4f68fd63095e51e7ac-f0eefddf541279c8a38142e113a799d575b24d4c","2014-05 -- 2014-06",4,2,2,0,0.5,0.5,0,1,0.25,0,0,1,1,1,0,0,0,2,0,0,1,1,0.7692,0.4,1,1,0,0,0.5,0.75,0.5,1,0.1389,0,0.1667,-0.5,-0.5,0,0.1667,1,0,0,1,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0
"f0eefddf541279c8a38142e113a799d575b24d4c-2886285bbebcb2d08b4b9b82c07dfb496ade69ef","2014-06 -- 2014-11",5,3,2,0,0.6,0.4,0,0,0,0,0,1,2,2,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0.6,0.6,0.3333,1,0.1556,0,0.2,-0.4053,-0.4053,0,0.3,2,0,0,1,0,0,0.0,0.6,0.0,0.0,0.0,1.5,0.0,0.0
"2886285bbebcb2d08b4b9b82c07dfb496ade69ef-d57e713bd74ab50f84362e9782ae7250ba4945cf","2014-11 -- 2015-01",4,2,2,0,0.5,0.5,0,0,0,0,0,1,1,1,0,0,0,2,0,0,1,1,0.4444,0.5,1.3333,1.3333,0,0.5,0.5,0.75,0.5,1,0.1389,0,0.1667,-0.5,-0.5,0,0.1667,1,0,0,1,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0
"d57e713bd74ab50f84362e9782ae7250ba4945cf-08daa7150db562c4851c3aa268549e9bbed3008d","2015-01 -- 2015-04",10,7,3,0,0.7,0.3,0,1,0.1,0,0,1,3,3,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0.6,0.7,0.5714,1,0.1279,0.1605,0.3333,0.0044,0.0044,0,0.2222,3,0,0,1,0,0,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0
"08daa7150db562c4851c3aa268549e9bbed3008d-0ee37146e68eaf93a1633cb587fb5e29493a9964","2015-04 -- 2015-08",7,5,2,0,0.7143,0.2857,0,0,0,0,0,1,3,3,0,0,0,0,0,0,1,1,0.5882,0.4,1,1,0,0.8,0,0.5714,0.4,1,0.0663,0,0.1429,0.3367,0.3367,0,0.1905,3,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"0ee37146e68eaf93a1633cb587fb5e29493a9964-435b84421a63d2ed60a8622341599bbdf07de294","2015-08 -- 2015-10",7,5,2,0,0.7143,0.2857,0,0,0,0,0,1,3,3,0,0,0,0,0,0,1,1,0.2857,0,1,1,0,0,0,0.5714,0.4,1,0.0711,0.0667,0.1905,0.18,0.18,0,0.1429,3,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"435b84421a63d2ed60a8622341599bbdf07de294-27d897590fd6e77c231526be3677c17cf2e70d73","2015-10 -- 2016-01",4,3,1,0,0.75,0.25,0,0,0,0,0,1,2,2,0,0,0,3,0,0,1,1,0.7273,0.6667,0.4,0.4,0,0,0.75,0.5,0.3333,1,0.2083,0,0.1667,-0.3933,-0.3933,0,0.5,2,0,0,1,0,0,0.0,0.75,0.0,0.0,0.0,3.0,0.0,0.0
