"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"9279fad63d36b31ca5d9bd6681a24528fd257fc5-e5c2e097a2b1d9cc5c0870a63385cda31bb40478","2013-05 -- 2013-08",27,17,3,7,0.6296,0.1111,0.2593,3,0.1111,0,0,1,10,10,1,0,0,7,0,0,1,1,0,0,0,0,0,0,0.2593,0.6296,0.5833,0.9,0.0559,0.1839,0.3205,0.0835,0.1401,-0.5,0.1795,9,0,1,0.9,0,0.1
"e5c2e097a2b1d9cc5c0870a63385cda31bb40478-7c38af4f87bd69e0c7042b35c19c2d26c6d02ce2","2013-08 -- 2013-11",27,16,6,5,0.5926,0.2222,0.1852,5,0.1852,1,0.0909,1,11,11,2,0,0,6,0,1,0.6667,0.9394,0.3704,0.2857,0.0952,0.0952,0,0.3,0.2593,0.5926,0.4762,0.8182,0.0459,0.0594,0.3091,0.1559,0.239,-0.3669,0.1909,9,0,2,0.8182,0,0.1818
"7c38af4f87bd69e0c7042b35c19c2d26c6d02ce2-eff748863a2cdae6a891c6e991f258fe4c0fbc06","2013-11 -- 2014-02",20,11,5,4,0.55,0.25,0.2,7,0.35,2,0.2222,1,9,8,2,3,0,4,0,3,0,0.6296,0.5106,0.3,0.5,0.5263,1,0.25,0.4,0.55,0.4667,0.7778,0.0745,0.1785,0.3737,0.3038,0.0487,0.2948,0.2579,8,2,0,0.8,0.2,0
"eff748863a2cdae6a891c6e991f258fe4c0fbc06-3a47176592ca7d70ecafb2a6529a7d9c45074347","2014-02 -- 2014-04",22,10,5,7,0.4545,0.2273,0.3182,6,0.2727,3,0.25,1,10,9,3,5,0,0,0,5,0.1667,0.7639,0.5238,0.1905,0.5263,0.4706,0.4,0.2727,0.2727,0.5455,0.4706,0.75,0.0413,0.0588,0.2338,0.0861,0.3788,0.0065,0.1472,7,1,2,0.7,0.1,0.2
"3a47176592ca7d70ecafb2a6529a7d9c45074347-bace291fad1f6948d6f9ac7feb2cd753267051b1","2014-04 -- 2014-07",21,11,3,7,0.5238,0.1429,0.3333,4,0.1905,0,0,1,10,10,2,0,0,4,0,1,0.5,0.85,0.5581,0.5455,0.5,0.4211,0.8,0.1667,0.2381,0.5238,0.4444,0.8,0.103,0.199,0.2857,0.2191,0.36,-0.4829,0.2143,9,1,1,0.8182,0.0909,0.0909
"bace291fad1f6948d6f9ac7feb2cd753267051b1-4fb740c48c9efa5f9cdf07c25103075940ec2e80","2014-07 -- 2014-10",24,16,2,6,0.6667,0.0833,0.25,3,0.125,0,0,1,10,10,0,0,0,3,0,0,1,1,0.3556,0.5556,0.3,0.3,2,0.125,0.125,0.5833,0.5455,1,0.1417,0.3021,0.4203,0.5249,0.5249,0,0.1884,10,0,0,1,0,0
"4fb740c48c9efa5f9cdf07c25103075940ec2e80-a081c996c7819b6f75c571de98ea74c55a83cd47","2014-10 -- 2015-01",20,14,4,2,0.7,0.2,0.1,3,0.15,1,0.1667,1,10,10,3,1,0,4,0,2,0,0.6667,0.5909,0.4286,0.6,0.6,0,0,0.35,0.5,0.375,0.5,0.0937,0.2973,0.3789,0.1749,0.3696,0.0515,0.1474,8,1,2,0.7273,0.0909,0.1818
"a081c996c7819b6f75c571de98ea74c55a83cd47-701cf39e12a94e1751465dddae224dec9f135e76","2015-01 -- 2015-04",25,18,2,5,0.72,0.08,0.2,4,0.16,0,0,1,12,11,1,1,0,3,0,1,0,0.7143,0.3111,0.1538,0.3636,0.4762,1.5,0,0.2,0.52,0.5217,0.8571,0.0698,0.1423,0.4017,0.4157,0.2377,-0.5,0.2233,10,0,1,0.9091,0,0.0909
"701cf39e12a94e1751465dddae224dec9f135e76-2d22b8727d939b6ef375163d04bb032bdc434d01","2015-04 -- 2015-07",23,15,5,3,0.6522,0.2174,0.1304,4,0.1739,0,0,1,10,10,0,0,0,2,0,0,1,1,0.4167,0.2667,0.4545,0.4762,2,0.3,0.087,0.5652,0.4444,1,0.0563,0.2503,0.2292,0.3906,0.3906,0,0.1344,10,0,0,1,0,0
"2d22b8727d939b6ef375163d04bb032bdc434d01-4a3dadc48362806961d28399746c76a984605acb","2015-07 -- 2015-10",29,20,2,7,0.6897,0.069,0.2414,4,0.1379,1,0.1111,1,15,15,1,0,0,2,0,0,1,1,0.3077,0.2353,0.32,0.32,0,0,0.069,0.4828,0.4444,0.8889,0.0979,0.1814,0.3005,0.3637,0.3355,-0.5,0.1995,14,0,1,0.9333,0,0.0667
"4a3dadc48362806961d28399746c76a984605acb-1404d55fb1d913a1e08f8b6634082184073213d1","2015-10 -- 2016-01",19,11,3,5,0.5789,0.1579,0.2632,8,0.4211,0,0,1,8,8,0,0,0,2,0,0,1,1,0.625,0.5882,0.9565,0.9565,2,0.0667,0.1053,0.5789,0.5,1,0.0603,0.1231,0.2485,0.1854,0.1854,0,0.1404,8,0,0,1,0,0
