"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"18be75e957b9c740ac0a50647e96dfff342d5a4a-a0053705a54d00e49845d423688a68bf9958105a","2013-06 -- 2013-09",25,20,0,5,0.8,0,0.2,0,0,0,0,1,12,12,2,0,0,11,0,0,1,1,0,0,0,0,0,0,0.44,0.52,0.52,0.6,0.6262,0.5328,0.52,0.0406,0.341,-0.4838,0.1467,10,0,2,0.8333,0,0.1667
"a0053705a54d00e49845d423688a68bf9958105a-e37bc730daa156e4c351303e74edcc0591f91910","2013-09 -- 2013-12",26,20,0,6,0.7692,0,0.2308,1,0.0385,1,0.1667,1,11,11,3,0,0,9,1,0,1,1,0.549,0,0.2609,0.2609,0,0.5,0.3462,0.5769,0.5769,0.5,0.0896,0.4386,0.5569,0.0641,0.222,-0.4077,0.1631,8,0,3,0.7273,0,0.2727
"e37bc730daa156e4c351303e74edcc0591f91910-d6b407d9b86bd6f565e95a5e584c1db87dc32075","2013-12 -- 2014-02",14,10,0,4,0.7143,0,0.2857,1,0.0714,0,0,1,8,8,1,0,0,0,0,0,1,1,0.8,0.4,0.6316,0.6316,1,0.375,0,0.4286,0.4286,0.75,0.188,0.5986,0.5824,0.028,0.1753,-0.5,0.1868,7,0,1,0.875,0,0.125
"d6b407d9b86bd6f565e95a5e584c1db87dc32075-9bc42271aee3a94c977c2cc9b1dc788aa429998c","2014-02 -- 2014-06",30,24,0,6,0.8,0,0.2,1,0.0333,0,0,1,12,12,3,0,0,16,0,1,0.8333,0.9167,0.2727,0.2,0.2,0.2,0,0,0.5333,0.6,0.6,0.5,0.7742,0.7303,0.7011,0.0269,0.1027,0.0061,0.1609,9,0,3,0.75,0,0.25
"9bc42271aee3a94c977c2cc9b1dc788aa429998c-9c14fce2ffb2798206bdbdef2fd24fe0a1dd3660","2014-06 -- 2014-08",21,17,0,4,0.8095,0,0.1905,0,0,0,0,1,11,11,2,0,0,0,0,0,1,1,0.8235,0.6,0.4348,0.4348,0.4,0.4762,0,0.4762,0.4762,0.5,0.7751,0.5717,0.6857,0.1508,0.304,-0.4817,0.2143,9,0,2,0.8182,0,0.1818
"9c14fce2ffb2798206bdbdef2fd24fe0a1dd3660-c5d6e494b69b7fb5f95d1e315ffc54c69bb57e16","2014-08 -- 2014-11",22,16,1,5,0.7273,0.0455,0.2273,2,0.0909,0,0,1,11,11,2,0,0,7,0,0,1,1,0.6047,0.4,0.4545,0.4545,0,0,0.3182,0.5,0.4762,0.6667,0.0884,0.2015,0.4459,0.0107,0.2135,-0.4713,0.2208,9,0,2,0.8182,0,0.1818
"c5d6e494b69b7fb5f95d1e315ffc54c69bb57e16-c006ffecb4695643cebb01457a20abf2666ec69e","2014-11 -- 2015-02",23,14,3,6,0.6087,0.1304,0.2609,1,0.0435,0,0,1,9,9,3,2,0,9,2,2,0.6,0.8222,0.2667,0.1333,0.5,0.5,0.4,0.1667,0.5217,0.6087,0.55,0.6667,0.2949,0.5963,0.6522,0.1442,0.1186,0.1746,0.166,7,1,2,0.7,0.1,0.2
"c006ffecb4695643cebb01457a20abf2666ec69e-3f163bff6b1d4020c0f2a77321bbb47baf743ebb","2015-02 -- 2015-05",27,16,1,10,0.5926,0.037,0.3704,4,0.1481,0,0,1,11,11,3,2,0,0,0,5,0.375,0.6818,0.4,0.3,0.3,0.3,0.6667,0.4,0.1481,0.5926,0.5769,0.7273,0.6707,0.6445,0.6368,5e-04,0.3402,-0.3419,0.1709,10,2,1,0.7692,0.1538,0.0769
"3f163bff6b1d4020c0f2a77321bbb47baf743ebb-b8aba8b1c88b3784eb6d9e704f1b622f29e38d71","2015-05 -- 2015-08",20,11,1,8,0.55,0.05,0.4,3,0.15,0,0,1,11,10,4,2,0,4,0,5,0.4444,0.6543,0.383,0.3,0.2727,0.2857,0.5714,0.1111,0.4,0.45,0.4737,0.5556,0.7637,0.617,0.6368,0.3329,0.4864,0.1407,0.2579,7,1,3,0.6364,0.0909,0.2727
"b8aba8b1c88b3784eb6d9e704f1b622f29e38d71-7ebf5a6f34b70efe2c8b978b6cee0eef58426672","2015-08 -- 2015-11",20,12,4,4,0.6,0.2,0.2,1,0.05,0,0,1,9,9,2,1,0,0,0,1,0.5,0.8125,0.45,0.3529,0.5,0.4211,0.6667,0.3333,0.1,0.55,0.4375,0.75,0.1237,0.4751,0.5579,0.0242,0.1774,-0.4623,0.1789,8,1,1,0.8,0.1,0.1
