range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"385a76aee07789ba9e100718bcc1f4363a3c8672-aff34620ffc8f942a1db7b09f0b921505dcc11f9","2013-06 -- 2013-09",36,13,19,4,0.3611,0.5278,0.1111,2,0.0556,0,0,1,14,9,8,23,0,2,0,24,0.1111,0.6329,0,0,0,0,0,0,0.5,0.6111,0.4706,0.6522,0.0595,0.327,0.4778,0.1249,0.0333,0.1024,0.1222,6,5,3,0.4286,0.3571,0.2143,0.6388888888888888,0.05555555555555555,0.0,0.6666666666666666,1.2105263157894737,0.10526315789473684,0.0,1.263157894736842
"aff34620ffc8f942a1db7b09f0b921505dcc11f9-6e30cf8ecdf39275e2202ea3bb87b2388e9939c2","2013-09 -- 2013-12",33,8,20,5,0.2424,0.6061,0.1515,4,0.1212,0,0,1,13,7,8,26,0,0,0,26,0.1333,0.6507,0.4058,0.2917,0.3704,0.375,0.375,0.5,0.4242,0.6061,0.4615,0.68,0.0471,0.2802,0.5189,0.0105,0.2672,0.0094,0.1061,4,5,3,0.3333,0.4167,0.25,0.7878787878787878,0.0,0.0,0.7878787878787878,1.3,0.0,0.0,1.3
"6e30cf8ecdf39275e2202ea3bb87b2388e9939c2-5442eb0694f5407682850c699c6f9d9f784b1d52","2013-12 -- 2014-03",52,19,29,4,0.3654,0.5577,0.0769,12,0.2308,3,0.0909,1,17,10,9,26,0,4,0,26,0.1034,0.652,0.2353,0.1724,0.4,0.3529,0.4706,0,0.4423,0.6731,0.5652,0.7273,0.0304,0.4277,0.5588,0.0225,0.2124,0.004,0.049,8,7,2,0.4706,0.4118,0.1176,0.5,0.07692307692307693,0.0,0.5,0.896551724137931,0.13793103448275862,0.0,0.896551724137931
"5442eb0694f5407682850c699c6f9d9f784b1d52-8745b9a8dc51463e7f51dd39fc9fe53411d1168b","2014-03 -- 2014-05",40,11,23,6,0.275,0.575,0.15,6,0.15,2,0.069,1,13,8,8,32,0,0,0,34,0.1282,0.6676,0.6522,0.6129,0.4667,0.5556,0.3529,0.3333,0.475,0.675,0.5294,0.7241,0.0448,0.402,0.5769,0.1567,0.3407,0.1825,0.0897,5,5,3,0.3846,0.3846,0.2308,0.8,0.0,0.0,0.85,1.391304347826087,0.0,0.0,1.4782608695652173
"8745b9a8dc51463e7f51dd39fc9fe53411d1168b-4101815b0da7ed42ab1bc1a5742109cf47d0fe50","2014-05 -- 2014-08",35,8,23,4,0.2286,0.6571,0.1143,3,0.0857,1,0.037,1,10,6,7,27,0,0,0,28,0.0968,0.7097,0.56,0.4643,0.6087,0.8571,0.2667,0.2857,0.4286,0.7143,0.5,0.7407,0.0336,0.1652,0.3429,0.3516,0.1264,0.3531,0.0689,3,4,3,0.3,0.4,0.3,0.7714285714285715,0.0,0.0,0.8,1.173913043478261,0.0,0.0,1.2173913043478262
"4101815b0da7ed42ab1bc1a5742109cf47d0fe50-53f9db8362bf6bf0d65dd06d32dec5f15bb86db9","2014-08 -- 2014-11",36,9,21,6,0.25,0.5833,0.1667,5,0.1389,0,0,1,10,7,7,27,0,8,0,31,0.1622,0.6837,0.4789,0.4074,0.4,0.4615,0.4286,0.3529,0.6389,0.7222,0.5333,0.7407,0.0418,0.2421,0.4048,0.1369,0.1268,0.1364,0.081,3,3,4,0.3,0.3,0.4,0.75,0.2222222222222222,0.0,0.8611111111111112,1.2857142857142858,0.38095238095238093,0.0,1.4761904761904763
"53f9db8362bf6bf0d65dd06d32dec5f15bb86db9-84e98e118f894245383f1f90cd9817f54ec58668","2014-11 -- 2015-02",40,11,19,10,0.275,0.475,0.25,2,0.05,0,0,1,17,11,12,41,0,3,0,47,0.2034,0.6663,0.4737,0.3929,0.2222,0.2222,0.2105,0.5556,0.65,0.575,0.4762,0.5862,0.0845,0.5181,0.6564,0.1237,0.256,0.1247,0.1128,4,5,7,0.25,0.3125,0.4375,1.025,0.075,0.0,1.175,2.1578947368421053,0.15789473684210525,0.0,2.473684210526316
"84e98e118f894245383f1f90cd9817f54ec58668-e213c3081f8d54cf29ca4aa28009b0df6d78bf82","2015-02 -- 2015-05",51,23,21,7,0.451,0.4118,0.1373,2,0.0392,0,0,1,16,13,8,19,0,9,0,23,0.2333,0.7738,0.3077,0.2456,0.5455,0.6667,0.5,0.5,0.4706,0.6863,0.5667,0.7143,0.0389,0.2824,0.4659,0.0143,0.1959,0.0036,0.0941,10,5,3,0.5556,0.2778,0.1667,0.37254901960784315,0.17647058823529413,0.0,0.45098039215686275,0.9047619047619048,0.42857142857142855,0.0,1.0952380952380953
"e213c3081f8d54cf29ca4aa28009b0df6d78bf82-49abbe5c569da1ba4f5b58e490e93e2b08562669","2015-05 -- 2015-08",41,7,26,8,0.1707,0.6341,0.1951,2,0.0488,0,0,1,13,7,8,34,0,4,0,41,0.1277,0.7353,0.5217,0.129,0.7586,1.1,0.5,0.2917,0.4146,0.6829,0.5333,0.7647,0.0282,0.2039,0.4159,0.0413,0.0849,0.0196,0.0841,5,6,2,0.3846,0.4615,0.1538,0.8292682926829268,0.0975609756097561,0.0,1.0,1.3076923076923077,0.15384615384615385,0.0,1.5769230769230769
"49abbe5c569da1ba4f5b58e490e93e2b08562669-745626a007315cba7cf280d88f8e6db1145f7f69","2015-08 -- 2015-11",35,12,13,10,0.3429,0.3714,0.2857,2,0.0571,0,0,1,14,11,8,19,0,5,0,31,0.2439,0.6341,0.6053,0.6667,0.3704,0.4444,0.375,0.2174,0.6,0.6,0.5,0.6522,0.0556,0.4148,0.5429,8e-04,0.2184,-0.312,0.1042,6,3,5,0.4286,0.2143,0.3571,0.5428571428571428,0.14285714285714285,0.0,0.8857142857142857,1.4615384615384615,0.38461538461538464,0.0,2.3846153846153846
"745626a007315cba7cf280d88f8e6db1145f7f69-f745459b66867e27de54460d08cab20cc0253819","2015-11 -- 2016-02",29,11,13,5,0.3793,0.4483,0.1724,2,0.069,0,0,1,11,8,6,11,0,0,0,13,0.3158,0.7456,0.5625,0.4878,0.56,0.7368,0.5714,0.5,0.3448,0.6207,0.5,0.6667,0.0535,0.3404,0.5086,0.0566,0.2457,0.0561,0.0985,6,4,2,0.5,0.3333,0.1667,0.3793103448275862,0.0,0.0,0.4482758620689655,0.8461538461538461,0.0,0.0,1.0
