range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"f42b14e2a8d04b6288635192051adf36423af2c1-4c708e586eecb039811fdd54a8846002324936b2","2013-06 -- 2013-09",409,273,55,81,0.6675,0.1345,0.198,17,0.0416,1,0.0074,2,122,117,50,307,2,156,0,703,0.151,0.7381,0,0,0,0,0,0,0.5501,0.7017,0.6695,0.6324,0.0067,0.1359,0.2369,0.3855,0.4225,0.4008,0.0278,85,18,32,0.6296,0.1333,0.237,0.7506112469437652,0.38141809290953543,0.0,1.7188264058679708,5.581818181818182,2.8363636363636364,0.0,12.781818181818181
"4c708e586eecb039811fdd54a8846002324936b2-897268d931a84872d88ad05b18027b6b9723e03e","2013-09 -- 2013-12",418,268,57,93,0.6411,0.1364,0.2225,18,0.0431,3,0.02,3,127,122,54,380,4,139,0,844,0.1078,0.7398,0.474,0.2517,0.3855,0.4268,0.3846,0.4643,0.5622,0.6962,0.662,0.64,0.0077,0.109,0.2563,0.475,0.4073,0.4808,0.0267,90,22,32,0.625,0.1528,0.2222,0.9090909090909091,0.33253588516746413,0.0,2.0191387559808613,6.666666666666667,2.43859649122807,0.0,14.807017543859649
"897268d931a84872d88ad05b18027b6b9723e03e-c52fffeb1737fef4bc21c2068c3c6ac2c60a4e19","2013-12 -- 2014-03",384,235,50,99,0.612,0.1302,0.2578,24,0.0625,5,0.0336,2,123,118,57,396,0,100,0,874,0.1457,0.6966,0.5112,0.2809,0.376,0.4417,0.4505,0.4293,0.5078,0.6797,0.6467,0.6174,0.009,0.1317,0.3538,0.303,0.3554,0.3172,0.0327,87,26,31,0.6042,0.1806,0.2153,1.03125,0.2604166666666667,0.0,2.2760416666666665,7.92,2.0,0.0,17.48
"c52fffeb1737fef4bc21c2068c3c6ac2c60a4e19-68caf1727f809804b4fcfcefd475490fef9d304d","2014-03 -- 2014-06",416,258,52,106,0.6202,0.125,0.2548,33,0.0793,1,0.0063,3,116,115,55,385,0,136,0,1048,0.1466,0.6961,0.4225,0.228,0.4017,0.4378,0.4464,0.3846,0.5409,0.7212,0.6841,0.6519,0.0058,0.1242,0.3124,0.1513,0.42,0.2466,0.0321,80,20,35,0.5926,0.1481,0.2593,0.9254807692307693,0.3269230769230769,0.0,2.519230769230769,7.403846153846154,2.6153846153846154,0.0,20.153846153846153
"68caf1727f809804b4fcfcefd475490fef9d304d-c1c5dcf06913839943d536cf7ed7e2b2b87d0158","2014-06 -- 2014-09",455,288,60,107,0.633,0.1319,0.2352,23,0.0505,3,0.018,2,125,127,58,437,0,151,0,1166,0.1812,0.7351,0.4409,0.2646,0.2822,0.3719,0.3363,0.4323,0.5407,0.7253,0.6785,0.6527,0.0073,0.149,0.3257,0.3351,0.3153,0.35,0.0311,89,20,38,0.6054,0.1361,0.2585,0.9604395604395605,0.33186813186813185,0.0,2.562637362637363,7.283333333333333,2.5166666666666666,0.0,19.433333333333334
"c1c5dcf06913839943d536cf7ed7e2b2b87d0158-996b683a9f4694d6f2a6a4ef0438d4c11e792253","2014-09 -- 2014-12",454,280,64,110,0.6167,0.141,0.2423,29,0.0639,4,0.023,3,132,118,61,511,0,160,1,1029,0.184,0.774,0.4532,0.2287,0.2646,0.4653,0.3025,0.3835,0.5639,0.7093,0.6974,0.6494,0.0061,0.1063,0.2967,0.4078,0.3156,0.4263,0.0322,86,29,32,0.585,0.1973,0.2177,1.1255506607929515,0.3524229074889868,0.0022026431718061676,2.2665198237885464,7.984375,2.5,0.015625,16.078125
"996b683a9f4694d6f2a6a4ef0438d4c11e792253-67fade9110d17dbe7dd70558d720e35265fa3247","2014-12 -- 2015-03",478,303,60,115,0.6339,0.1255,0.2406,22,0.046,3,0.0171,2,145,139,65,464,4,180,0,1057,0.2112,0.7618,0.4421,0.2751,0.3466,0.3113,0.3333,0.4515,0.5795,0.6967,0.6675,0.6286,0.0091,0.0998,0.3337,0.3479,0.3993,0.3513,0.0311,98,24,41,0.6012,0.1472,0.2515,0.9707112970711297,0.37656903765690375,0.0,2.211297071129707,7.733333333333333,3.0,0.0,17.616666666666667
"67fade9110d17dbe7dd70558d720e35265fa3247-9751e35f20e6ec207444ad5cc94cf86b4874e4f3","2015-03 -- 2015-06",482,300,79,103,0.6224,0.1639,0.2137,36,0.0747,7,0.0385,3,129,114,63,826,0,162,1,1438,0.1764,0.7252,0.4729,0.3081,0.438,0.5217,0.4375,0.4846,0.5415,0.7324,0.7171,0.6538,0.0058,0.1062,0.3308,0.3293,0.3626,0.3778,0.0351,80,29,34,0.5594,0.2028,0.2378,1.7136929460580912,0.3360995850622407,0.002074688796680498,2.983402489626556,10.455696202531646,2.050632911392405,0.012658227848101266,18.20253164556962
"9751e35f20e6ec207444ad5cc94cf86b4874e4f3-c21a0f3132abdc4b4747631695c0ddf0f2b985a4","2015-06 -- 2015-08",447,261,77,109,0.5839,0.1723,0.2438,27,0.0604,6,0.0323,2,132,123,71,934,0,178,0,1690,0.1077,0.6758,0.4909,0.2717,0.3602,0.3882,0.2388,0.4211,0.66,0.7047,0.6676,0.6183,0.0081,0.0802,0.281,0.3267,0.4062,0.3119,0.0351,89,37,34,0.5562,0.2312,0.2125,2.0894854586129754,0.3982102908277405,0.0,3.78076062639821,12.12987012987013,2.311688311688312,0.0,21.948051948051948
"c21a0f3132abdc4b4747631695c0ddf0f2b985a4-e8f80e52615b08317dee675ee6b26a04a5be6256","2015-08 -- 2015-11",491,292,89,110,0.5947,0.1813,0.224,44,0.0896,7,0.0352,3,139,117,69,1028,2,226,0,1652,0.0608,0.7042,0.4179,0.2545,0.3764,0.5833,0.3714,0.5255,0.6945,0.7169,0.709,0.6533,0.0063,0.0842,0.2437,0.3131,0.2395,0.3479,0.0318,92,44,25,0.5714,0.2733,0.1553,2.0936863543788187,0.46028513238289204,0.0,3.364562118126273,11.55056179775281,2.539325842696629,0.0,18.56179775280899
"e8f80e52615b08317dee675ee6b26a04a5be6256-b3cc919c2320463f4b68b10795fc8a88098eb20e","2015-11 -- 2016-02",478,276,91,111,0.5774,0.1904,0.2322,30,0.0628,6,0.0297,2,141,123,71,1008,4,166,0,1515,0.0734,0.743,0.4644,0.2793,0.3429,0.4,0.3143,0.5822,0.6172,0.705,0.6822,0.6485,0.0058,0.1216,0.2802,0.4626,0.2412,0.4916,0.0322,91,39,32,0.5617,0.2407,0.1975,2.1087866108786613,0.3472803347280335,0.0,3.1694560669456067,11.076923076923077,1.8241758241758241,0.0,16.64835164835165
"b3cc919c2320463f4b68b10795fc8a88098eb20e-b397ac432db69cd9c669e6256adab4733f59baaf","2016-02 -- 2016-05",596,364,117,115,0.6107,0.1963,0.193,37,0.0621,3,0.0129,3,164,138,78,1229,0,309,0,1909,0.0888,0.7465,0.3184,0.2074,0.3082,0.4138,0.3624,0.4503,0.7097,0.7248,0.7119,0.6638,0.0043,0.1565,0.3435,0.396,0.2847,0.4183,0.0279,102,42,36,0.5667,0.2333,0.2,2.0620805369127515,0.5184563758389261,0.0,3.203020134228188,10.504273504273504,2.641025641025641,0.0,16.316239316239315
