"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"3e097c87bbb301e34833d434f40c3460d7402207-61d684fe7f7f8c505b571b510f0a6dbc391842bc","2013-06 -- 2013-09",89,63,6,20,0.7079,0.0674,0.2247,2,0.0225,0,0,2,29,28,11,22,0,40,0,24,0.6,0.8795,0,0,0,0,0,0,0.573,0.6742,0.6627,0.5769,0.1073,0.178,0.3871,0.3152,0.1499,0.3257,0.1356,20,3,8,0.6452,0.0968,0.2581
"61d684fe7f7f8c505b571b510f0a6dbc391842bc-a0745eccea2b0b02378518c57ff80030df54cd16","2013-09 -- 2013-12",104,79,5,20,0.7596,0.0481,0.1923,0,0,0,0,3,35,34,9,9,0,61,0,15,0.7059,0.9043,0.3731,0.1961,0.125,0.129,0.5,0.5278,0.6538,0.6635,0.6566,0.64,0.1774,0.1302,0.3732,0.3543,0.1603,0.3269,0.151,26,1,8,0.7429,0.0286,0.2286
"a0745eccea2b0b02378518c57ff80030df54cd16-3e397f0189c2c43ac4e48c9c3ac1fdb7ce9365c3","2013-12 -- 2014-03",104,73,8,23,0.7019,0.0769,0.2212,6,0.0577,0,0,2,35,34,11,18,0,57,0,20,0.7059,0.9056,0.3942,0.0714,0.1714,0.1471,0.3,0.6341,0.6346,0.6635,0.6458,0.6452,0.0373,0.1493,0.4221,0.2453,0.1113,0.3393,0.1507,24,1,10,0.6857,0.0286,0.2857
"3e397f0189c2c43ac4e48c9c3ac1fdb7ce9365c3-87c8a344a57eb31bccbf9998f1a80025e29d11ed","2014-03 -- 2014-06",93,65,9,19,0.6989,0.0968,0.2043,4,0.043,1,0.0357,3,32,31,13,35,0,41,1,36,0.6505,0.8408,0.4264,0.2034,0.3881,0.3692,0.4167,0.7143,0.5914,0.6559,0.631,0.5357,0.035,0.1085,0.3983,0.2382,0.1174,0.2583,0.1452,20,2,11,0.6061,0.0606,0.3333
"87c8a344a57eb31bccbf9998f1a80025e29d11ed-3604769c3abad5b41a84fdd390ec3493b5804abc","2014-06 -- 2014-09",84,60,5,19,0.7143,0.0595,0.2262,0,0,0,0,2,31,30,11,19,0,22,0,30,0.5652,0.8176,0.4407,0.2692,0.2222,0.2295,0.4167,0.5385,0.4167,0.631,0.6203,0.5417,0.0378,0.1692,0.3795,0.1045,0.1411,0.2059,0.1386,22,3,8,0.6667,0.0909,0.2424
"3604769c3abad5b41a84fdd390ec3493b5804abc-83f0d3578cdc35ed8f0c98877c8b3c844ee7bc88","2014-09 -- 2014-12",90,64,8,18,0.7111,0.0889,0.2,0,0,0,0,3,33,32,12,28,0,39,0,39,0.5,0.7766,0.3333,0.08,0.1875,0.2258,0.1739,0.3793,0.5667,0.6333,0.6098,0.5385,0.1021,0.1062,0.383,0.3526,0.2205,0.4004,0.1788,24,4,8,0.6667,0.1111,0.2222
"83f0d3578cdc35ed8f0c98877c8b3c844ee7bc88-3d6de9371df3cc8b20d4fa53bae29a771a1be3b1","2014-12 -- 2015-03",85,55,10,20,0.6471,0.1176,0.2353,5,0.0588,0,0,2,30,28,14,46,0,35,0,54,0.5135,0.7844,0.4,0.0357,0.3175,0.3667,0.1538,0.5143,0.6,0.6471,0.6267,0.5333,0.093,0.092,0.3653,0.21,0.0349,0.2043,0.1824,17,3,11,0.5484,0.0968,0.3548
"3d6de9371df3cc8b20d4fa53bae29a771a1be3b1-99e54ab044283cc8316667957299b890265e0580","2015-03 -- 2015-06",94,61,11,22,0.6489,0.117,0.234,2,0.0213,0,0,3,33,30,16,52,0,22,0,67,0.4274,0.7685,0.3017,0.0635,0.1905,0.2069,0.2,0.5926,0.4787,0.6489,0.6386,0.5152,0.066,0.1427,0.3571,0.3827,0.1221,0.4015,0.1482,19,5,11,0.5429,0.1429,0.3143
"99e54ab044283cc8316667957299b890265e0580-f7dc8767bb15abbbceadfc3f718a4eb4a0143eaf","2015-06 -- 2015-08",103,69,12,22,0.6699,0.1165,0.2136,1,0.0097,0,0,2,33,31,15,51,0,51,0,58,0.4021,0.7729,0.2843,0.0597,0.2121,0.1967,0.3871,0.3571,0.6699,0.6796,0.6593,0.5588,0.035,0.1027,0.3704,0.375,0.12,0.4475,0.1492,23,7,8,0.6053,0.1842,0.2105
"f7dc8767bb15abbbceadfc3f718a4eb4a0143eaf-e32f6e5e675cc32a85be2115f4d0a069a921b500","2015-08 -- 2015-11",97,67,8,22,0.6907,0.0825,0.2268,2,0.0206,0,0,3,37,36,12,29,0,35,0,35,0.4355,0.8048,0.41,0.1875,0.1429,0.1194,0.4444,0.6341,0.5052,0.6186,0.5955,0.6,0.388,0.1437,0.3628,0.433,0.0764,0.5771,0.1789,29,5,7,0.7073,0.122,0.1707
