"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"5b29d0367ff99d215d30a45355f9257df36f24d8-b89d1c35301bd6032a388b429c7e699d615dd6ac","2013-05 -- 2013-08",53,43,6,4,0.8113,0.1132,0.0755,0,0,0,0,1,23,21,6,24,0,19,0,24,0.1429,0.3071,0,0,0,0,0,0,0.5094,0.566,0.5532,0.4,0.6282,0.3119,0.6074,0.2727,0.2496,-0.1958,0.2003,18,3,3,0.75,0.125,0.125
"b89d1c35301bd6032a388b429c7e699d615dd6ac-02ecad17bac6be42eb946fcc029d10dda283b57c","2013-08 -- 2013-11",38,33,3,2,0.8684,0.0789,0.0526,0,0,0,0,1,18,17,2,2,0,16,0,2,0,0.4,0.6813,0.6667,0.4878,0.4211,1.25,0.4839,0.5,0.5263,0.5143,0.6,0.102,0.3469,0.6046,0.2126,0.0621,-0.4516,0.2333,17,2,0,0.8947,0.1053,0
"02ecad17bac6be42eb946fcc029d10dda283b57c-678525a86e75741ee6426efdd8b163b6004efee7","2013-11 -- 2014-02",46,40,3,3,0.8696,0.0652,0.0652,0,0,0,0,1,20,20,2,3,0,16,0,3,0,0.3333,0.3571,0.1818,0.3684,0.3243,0,0.5333,0.413,0.5652,0.5349,0.6667,0.5092,0.2216,0.4889,0.1237,0.1202,-0.3746,0.2222,20,2,0,0.9091,0.0909,0
"678525a86e75741ee6426efdd8b163b6004efee7-29e3f2820746f53ceaab2c173c6e48434d59d2c6","2014-02 -- 2014-05",49,41,5,3,0.8367,0.102,0.0612,3,0.0612,0,0,1,23,23,2,2,0,16,0,2,0,0.625,0.5474,0.1429,0.4186,0.4186,0.5,0.3077,0.3673,0.5306,0.4773,0.75,0.0883,0.2428,0.585,0.0629,0.0659,-0.376,0.2483,22,1,1,0.9167,0.0417,0.0417
"29e3f2820746f53ceaab2c173c6e48434d59d2c6-ee6359f621b508ab7f21df0316941e68c75eb3e5","2014-05 -- 2014-08",39,30,3,6,0.7692,0.0769,0.1538,1,0.0256,1,0.1111,1,15,15,2,0,0,17,0,1,0.5,0.8333,0.5455,0.4706,0.6842,0.6842,0.5,0.4583,0.4872,0.6154,0.5833,0.7778,0.1037,0.357,0.6059,0.0198,0.0201,-0.4422,0.1835,13,0,2,0.8667,0,0.1333
"ee6359f621b508ab7f21df0316941e68c75eb3e5-379863d8f9dff8c0a42c341c68044c9c52b597e0","2014-08 -- 2014-11",33,27,3,3,0.8182,0.0909,0.0909,0,0,0,0,1,14,14,0,0,0,10,0,0,1,1,0.6111,0.8,0.4138,0.4138,2,0.5455,0.303,0.5758,0.5333,1,0.0997,0.3244,0.5208,0.1054,0.1054,0,0.1667,14,0,0,1,0,0
"379863d8f9dff8c0a42c341c68044c9c52b597e0-1ca1ef32483f35014cdd96596c454cafe83c34f3","2014-11 -- 2015-01",23,20,1,2,0.8696,0.0435,0.087,0,0,0,0,1,10,10,0,0,0,8,0,0,1,1,0.7143,0.6667,0.6667,0.6667,0,0.3,0.3478,0.5652,0.5455,1,0.2178,0.3036,0.4605,0.1379,0.1379,0,0.2213,10,0,0,1,0,0
"1ca1ef32483f35014cdd96596c454cafe83c34f3-244295a743554ecd2a7b5154788336735e47d694","2015-01 -- 2015-05",35,28,2,5,0.8,0.0571,0.1429,0,0,0,0,1,14,14,3,2,0,18,0,2,0.6,0.8286,0.2414,0,0.25,0.25,0,0.1429,0.5429,0.6,0.5758,0.5714,0.0931,0.2135,0.463,0.0476,0.0441,-0.2949,0.2134,12,1,2,0.8,0.0667,0.1333
"244295a743554ecd2a7b5154788336735e47d694-261aa47c5c120c3961465d6d84e11a78a9bf983d","2015-05 -- 2015-08",19,11,3,5,0.5789,0.1579,0.2632,0,0,0,0,1,9,9,0,0,0,2,0,0,1,1,0.8519,0.1333,0.5217,0.5217,2,0.3913,0.1053,0.5263,0.4375,1,0.1156,0.343,0.4561,0.0572,0.0572,0,0.2105,9,0,0,1,0,0
"261aa47c5c120c3961465d6d84e11a78a9bf983d-82e78a8c9a1beee637ad381baf3ff9d4bb4297cc","2015-08 -- 2015-11",14,12,1,1,0.8571,0.0714,0.0714,0,0,0,0,1,6,6,0,0,0,0,0,0,1,1,0.5455,1.2,0.5333,0.5333,0,0.1111,0,0.5714,0.5385,1,0.251,0.4428,0.4176,0.2918,0.2918,0,0.1978,6,0,0,1,0,0
