range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"0ca18cd25266e79bfb7b2905cf74e87c43e5e208-3d3ec8cf160fce428dad57d3e466c6f6d9a1bd2c","2013-04 -- 2013-06",9,7,2,0,0.7778,0.2222,0,2,0.2222,0,0,1,5,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.4444,0.2857,1,0.0375,0.0357,0.1389,0.625,0.625,0,0.1111,5,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3d3ec8cf160fce428dad57d3e466c6f6d9a1bd2c-1555f3c068fcc486de66d2140ee431dc2467c5ca","2013-06 -- 2013-11",31,30,0,1,0.9677,0,0.0323,1,0.0323,0,0,1,18,18,0,0,0,2,0,0,1,1,0.35,0.6667,0.3478,0.3478,0,0,0.0645,0.4194,0.4194,1,0.0123,0.0706,0.1667,0.7028,0.7028,0,0.0667,18,0,0,1,0,0,0.0,0.06451612903225806,0.0,0.0,NaN,Infinity,NaN,NaN
"1555f3c068fcc486de66d2140ee431dc2467c5ca-4d6e85ca97a4c302bae02825d8e6650bb9350083","2013-11 -- 2014-02",20,19,0,1,0.95,0,0.05,0,0,0,0,1,10,10,0,0,0,0,0,0,1,1,1.0588,0,1,1,0,0.037,0,0.5,0.5,1,0.1215,0.5479,0.5,0.4369,0.4369,0,0.1316,10,0,0,1,0,0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
"4d6e85ca97a4c302bae02825d8e6650bb9350083-d0035b6304cc676a18a856f0b82533696ca18ab1","2014-02 -- 2014-05",16,14,1,1,0.875,0.0625,0.0625,1,0.0625,0,0,1,6,6,0,0,0,0,0,0,1,1,0.8889,0,1,1,0,0,0,0.625,0.6,1,0.1275,0.4857,0.5667,0.3516,0.3516,0,0.2333,6,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"d0035b6304cc676a18a856f0b82533696ca18ab1-91c7c726fdeba7ea5548adad8006e20fb19f9ca2","2014-05 -- 2014-08",20,18,1,1,0.9,0.05,0.05,0,0,0,0,1,9,9,0,0,0,2,0,0,1,1,0.7222,0.5,0.5333,0.5333,0,0,0.1,0.55,0.5263,1,0.0608,0.1973,0.2895,0.4889,0.4889,0,0.1316,9,0,0,1,0,0,0.0,0.1,0.0,0.0,0.0,2.0,0.0,0.0
"91c7c726fdeba7ea5548adad8006e20fb19f9ca2-ca8de3ee29dbc8684dd70d68afa80910f332eaea","2014-08 -- 2014-11",11,6,3,2,0.5455,0.2727,0.1818,1,0.0909,0,0,1,5,5,0,0,0,2,0,0,1,1,1.1613,0,1.1429,1.1429,0,0.1111,0.1818,0.5455,0.375,1,0.1289,0.3289,0.2727,0.395,0.395,0,0.1273,5,0,0,1,0,0,0.0,0.18181818181818182,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
"ca8de3ee29dbc8684dd70d68afa80910f332eaea-03c00db59f619692e4d5f0a149b828a9c1deb7a2","2014-11 -- 2015-02",12,9,2,1,0.75,0.1667,0.0833,0,0,0,0,1,5,5,0,0,0,0,0,0,1,1,0.7826,1,0.6,0.6,0,0,0,0.5833,0.5,1,0.1524,0.2281,0.2273,0.2574,0.2574,0,0.2273,5,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"03c00db59f619692e4d5f0a149b828a9c1deb7a2-3607d79f306fa0daf9d5c9b37b496647e2cedab7","2015-02 -- 2015-05",5,2,2,1,0.4,0.4,0.2,1,0.2,0,0,1,2,2,0,0,0,3,0,0,1,1,1.1765,0.3333,1.1429,1.1429,0,0,0.6,0.6,0.3333,1,0.1855,0.1667,0.3,-0.3889,-0.3889,0,0.2,2,0,0,1,0,0,0.0,0.6,0.0,0.0,0.0,1.5,0.0,0.0
"3607d79f306fa0daf9d5c9b37b496647e2cedab7-b0899b3478032c7838d06c503e8c4b3ecc117536","2015-05 -- 2015-08",9,6,2,1,0.6667,0.2222,0.1111,2,0.2222,0,0,1,5,5,1,1,0,0,0,1,0,0.3333,0.5714,0.6667,0.2857,0.5714,0,0.5,0.2222,0.4444,0.2857,0.6667,0.0208,0.0312,0.1111,0.4644,0.314,-0.5,0.1389,5,1,0,0.8333,0.1667,0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.5,0.0,0.0,0.5
"b0899b3478032c7838d06c503e8c4b3ecc117536-322b6bf019d2dc9c6dec6183aa242ae4b93dc708","2015-08 -- 2015-11",13,10,2,1,0.7692,0.1538,0.0769,0,0,0,0,1,7,7,0,0,0,0,0,0,1,1,0.5455,0.6667,0.6667,0.8333,2,0.1667,0,0.4615,0.3636,1,0.0304,0.0455,0.1538,0.554,0.554,0,0.1795,7,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
