"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"fceff14450e48a90778e0d1e79c13fa7a40631e6-2937d704dcae4451b2baa7d02f97205e73b37c8c","2013-06 -- 2013-09",146,64,15,67,0.4384,0.1027,0.4589,17,0.1164,3,0.0366,23,53,51,26,14,0,22,0,59,0.6194,0.9493,0,0,0,0,0,0,0.4178,0.637,0.6107,0.6829,0.0209,0.1331,0.3861,0.3532,0.3628,0.3536,0.0622,29,4,22,0.5273,0.0727,0.4
"2937d704dcae4451b2baa7d02f97205e73b37c8c-797894036d1196805f02a2428fff82ece5855af7","2013-09 -- 2013-12",164,79,14,71,0.4817,0.0854,0.4329,13,0.0793,0,0,27,56,55,23,40,2,96,0,106,0.5268,0.9201,0.3935,0.3832,0.2752,0.3208,0.3673,0.2459,0.7134,0.6585,0.6333,0.7294,0.0267,0.1812,0.4479,0.0416,0.1686,0.0163,0.0613,35,3,20,0.6034,0.0517,0.3448
"797894036d1196805f02a2428fff82ece5855af7-dfa25ea5cd19d5a050a1c94bd7370a2259b9f007","2013-12 -- 2014-03",165,80,10,75,0.4848,0.0606,0.4545,14,0.0848,1,0.0118,23,49,47,29,27,2,76,0,184,0.4959,0.8801,0.4195,0.3647,0.2857,0.3137,0.2692,0.6667,0.6606,0.703,0.6968,0.6588,0.0753,0.1541,0.4097,0.2785,0.3081,0.3145,0.0659,23,5,24,0.4423,0.0962,0.4615
"dfa25ea5cd19d5a050a1c94bd7370a2259b9f007-221169693bf1dfdaf46dddc1df318cee992237aa","2014-03 -- 2014-06",162,71,15,76,0.4383,0.0926,0.4691,18,0.1111,4,0.044,31,58,54,29,33,0,47,0,73,0.6011,0.9469,0.4709,0.3977,0.2056,0.2178,0.4483,0.5844,0.4877,0.642,0.6327,0.6813,0.0286,0.1569,0.3618,0.3418,0.3608,0.4367,0.0544,29,4,25,0.5,0.069,0.431
"221169693bf1dfdaf46dddc1df318cee992237aa-cfc42db592a7d9684d5cee8d4238a0b2dd6f0603","2014-06 -- 2014-09",153,68,8,77,0.4444,0.0523,0.5033,13,0.085,1,0.0118,26,52,51,25,23,0,39,0,101,0.638,0.9381,0.4127,0.4432,0.4364,0.3619,0.4444,0.4769,0.4902,0.6601,0.6483,0.7059,0.028,0.1294,0.4539,0.2594,0.3277,0.1896,0.0921,29,3,22,0.537,0.0556,0.4074
"cfc42db592a7d9684d5cee8d4238a0b2dd6f0603-0391d1bbeacbe3605beaec10711d936348c9bcab","2014-09 -- 2014-12",151,72,15,64,0.4768,0.0993,0.4238,12,0.0795,2,0.0253,26,51,50,25,18,0,33,0,59,0.6529,0.9526,0.3618,0.4634,0.2524,0.3168,0.32,0.3091,0.4503,0.6623,0.6324,0.6835,0.0294,0.1876,0.4488,0.345,0.3201,0.3298,0.0712,29,4,21,0.537,0.0741,0.3889
"0391d1bbeacbe3605beaec10711d936348c9bcab-c4925d7f3b66d63fbdd7b7607cd809db1e58bee9","2014-12 -- 2015-03",142,56,14,72,0.3944,0.0986,0.507,9,0.0634,0,0,27,49,48,25,17,0,40,0,124,0.5811,0.91,0.3754,0.3515,0.3,0.3469,0.4,0.3091,0.5563,0.6549,0.625,0.7093,0.0187,0.1528,0.486,0.2122,0.3377,0.1832,0.0885,26,3,22,0.5098,0.0588,0.4314
"c4925d7f3b66d63fbdd7b7607cd809db1e58bee9-e497ac2c62ad5299bbf032220a287c144add7cda","2015-03 -- 2015-05",152,69,10,73,0.4539,0.0658,0.4803,10,0.0658,2,0.0241,27,55,54,26,8,0,26,0,77,0.6652,0.9415,0.3673,0.4024,0.1923,0.1961,0.3529,0.5,0.4539,0.6382,0.6197,0.6867,0.0334,0.1778,0.4623,0.2712,0.364,0.1987,0.0874,30,2,24,0.5357,0.0357,0.4286
"e497ac2c62ad5299bbf032220a287c144add7cda-7dc8a3497fdf0fbd8ff4381712a54c2cd94bfbfc","2015-05 -- 2015-08",161,62,19,80,0.3851,0.118,0.4969,20,0.1242,2,0.0202,31,54,52,31,48,0,35,0,189,0.55,0.9089,0.3323,0.3077,0.2936,0.3019,0.2807,0.3077,0.5839,0.6646,0.6338,0.6869,0.0276,0.1514,0.4431,0.2903,0.3312,0.3867,0.0882,24,3,28,0.4364,0.0545,0.5091
"7dc8a3497fdf0fbd8ff4381712a54c2cd94bfbfc-ea3f394e4a2bd8303d199acd0642f39784b7e27f","2015-08 -- 2015-11",171,75,10,86,0.4386,0.0585,0.5029,21,0.1228,1,0.0104,27,62,60,26,17,0,39,1,75,0.7748,0.9647,0.3313,0.3795,0.1379,0.1071,0.3158,0.4545,0.4678,0.6374,0.6273,0.7292,0.0592,0.2776,0.5841,0.1785,0.3402,0.1123,0.0806,37,3,23,0.5873,0.0476,0.3651
"ea3f394e4a2bd8303d199acd0642f39784b7e27f-847f1cc6984841a387142780d099a945b0af0e4b","2015-11 -- 2016-02",172,83,14,75,0.4826,0.0814,0.436,14,0.0814,0,0,24,56,54,25,21,0,52,0,77,0.6723,0.9497,0.3557,0.4541,0.2881,0.2632,0.3922,0.4262,0.5,0.6744,0.6582,0.7191,0.0329,0.1512,0.3777,0.3886,0.3679,0.4446,0.0668,31,2,23,0.5536,0.0357,0.4107
"847f1cc6984841a387142780d099a945b0af0e4b-978ab88858170b219cf6b66eaac11e89ae2f0ce9","2016-02 -- 2016-05",194,76,16,102,0.3918,0.0825,0.5258,21,0.1082,1,0.0085,27,68,69,31,20,2,39,0,133,0.6453,0.9466,0.3279,0.2609,0.2581,0.1951,0.2857,0.45,0.4588,0.6495,0.6124,0.7373,0.013,0.146,0.4407,0.4156,0.4176,0.3921,0.0723,41,3,28,0.5694,0.0417,0.3889
