range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"7f24b7a8b5d1e1537a36fd73d18ff8bbf57a92fd-c328227a21004c7c1a295d215bbe55801e29c9ea","2013-05 -- 2013-08",60,51,8,1,0.85,0.1333,0.0167,2,0.0333,0,0,1,25,23,3,7,0,10,0,7,0,0.3968,0,0,0,0,0,0,0.25,0.5833,0.5577,0.6667,0.1132,0.8348,0.7175,0.0135,0.376,-0.4707,0.0452,22,2,1,0.88,0.08,0.04,0.11666666666666667,0.16666666666666666,0.0,0.11666666666666667,0.875,1.25,0.0,0.875
"c328227a21004c7c1a295d215bbe55801e29c9ea-0bb63ddbd90c494ea3ccb84ba431423587897db7","2013-08 -- 2013-11",46,37,8,1,0.8043,0.1739,0.0217,3,0.0652,0,0,1,22,20,2,5,0,0,0,5,0,0.4889,0.9245,0.6667,0.8511,0.8372,0.8,0.1837,0.1087,0.5217,0.4737,0.7778,0.0195,0.1982,0.3072,0.1908,0.6759,-0.3233,0.0483,19,1,1,0.9048,0.0476,0.0476,0.10869565217391304,0.0,0.0,0.10869565217391304,0.625,0.0,0.0,0.625
"0bb63ddbd90c494ea3ccb84ba431423587897db7-004a9e768e5dde4602f7c1f0f9d4235665af8ae8","2013-11 -- 2014-02",53,39,13,1,0.7358,0.2453,0.0189,2,0.0377,0,0,1,20,19,1,1,0,2,0,1,0,0.8571,0.7879,0.6087,0.8095,0.8205,0.6667,0.0769,0.0755,0.6226,0.525,0.9286,0.0297,0.3372,0.3476,0.452,0.4891,-0.5,0.037,18,0,1,0.9474,0,0.0526,0.018867924528301886,0.03773584905660377,0.0,0.018867924528301886,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693
"004a9e768e5dde4602f7c1f0f9d4235665af8ae8-d0660c683282f57cef5009432463d94f1b245d1d","2014-02 -- 2014-05",43,33,9,1,0.7674,0.2093,0.0233,4,0.093,0,0,1,18,18,1,1,0,0,0,1,0,0.8,0.9583,1.0833,0.8947,0.8649,1,0.0435,0.0465,0.5814,0.4706,0.9,0.0277,0.26,0.3605,0.3748,0.3762,-0.5,0.0443,18,1,0,0.9474,0.0526,0,0.023255813953488372,0.0,0.0,0.023255813953488372,0.1111111111111111,0.0,0.0,0.1111111111111111
"d0660c683282f57cef5009432463d94f1b245d1d-b5de4f026575c71e491350a569725f3c8ce213cc","2014-05 -- 2014-08",56,27,27,2,0.4821,0.4821,0.0357,5,0.0893,1,0.0345,1,16,12,4,5,0,19,0,5,0,0.8483,0.6869,0.4103,0.7059,0.8667,0.4,0,0.4464,0.7143,0.5862,0.8621,0.0207,0.1907,0.2435,0.0108,0.1927,0.0033,0.0292,11,3,1,0.7333,0.2,0.0667,0.08928571428571429,0.3392857142857143,0.0,0.08928571428571429,0.18518518518518517,0.7037037037037037,0.0,0.18518518518518517
"b5de4f026575c71e491350a569725f3c8ce213cc-8dd707fa9c47879bcc2dd0118c95a7385a90c267","2014-08 -- 2014-11",46,26,19,1,0.5652,0.413,0.0217,4,0.087,1,0.05,1,19,16,6,16,0,0,0,16,0,0.6156,0.9412,1.0612,0.6286,0.5,0.4,0.3542,0.2391,0.587,0.4074,0.7,0.0253,0.2774,0.3362,0.0292,0.4738,0.0279,0.0415,15,5,1,0.7143,0.2381,0.0476,0.34782608695652173,0.0,0.0,0.34782608695652173,0.8421052631578947,0.0,0.0,0.8421052631578947
"8dd707fa9c47879bcc2dd0118c95a7385a90c267-d602c50adfb117c5e9e4f23872d19ff0b0a212ab","2014-11 -- 2015-02",52,28,23,1,0.5385,0.4423,0.0192,5,0.0962,0,0,1,18,15,4,10,0,0,0,10,0,0.7042,0.7755,0.7273,0.7027,0.7097,0.8,0.1842,0.1538,0.6538,0.4828,0.8333,0.0208,0.2272,0.3198,0.043,0.5163,-0.3207,0.0332,14,3,1,0.7778,0.1667,0.0556,0.19230769230769232,0.0,0.0,0.19230769230769232,0.43478260869565216,0.0,0.0,0.43478260869565216
"d602c50adfb117c5e9e4f23872d19ff0b0a212ab-e7a979a5ac2538c635c2c0070bd782036c366ef6","2015-02 -- 2015-05",45,26,18,1,0.5778,0.4,0.0222,6,0.1333,2,0.1053,1,19,15,5,7,0,0,0,7,0,0.6541,0.8866,1.0233,0.7027,0.6667,0.4444,0.1395,0.1778,0.5778,0.4444,0.7368,0.0252,0.2457,0.3273,0.219,0.5259,0.0157,0.0364,14,4,1,0.7368,0.2105,0.0526,0.15555555555555556,0.0,0.0,0.15555555555555556,0.3888888888888889,0.0,0.0,0.3888888888888889
"e7a979a5ac2538c635c2c0070bd782036c366ef6-868f60259a6705c60badb7a3d67d6d48fc32f125","2015-05 -- 2015-08",41,18,22,1,0.439,0.5366,0.0244,4,0.0976,0,0,1,20,11,10,37,0,0,0,37,0,0.4183,0.8837,0.8095,0.7692,0.7692,0.5333,0.1842,0.439,0.5122,0.4211,0.5652,0.017,0.098,0.3317,0.0106,0.4881,0.0051,0.0683,10,9,1,0.5,0.45,0.05,0.9024390243902439,0.0,0.0,0.9024390243902439,1.6818181818181819,0.0,0.0,1.6818181818181819
"868f60259a6705c60badb7a3d67d6d48fc32f125-f6ba7708e0ee45feb2c47ac960709bbd2127b601","2015-08 -- 2015-11",45,13,31,1,0.2889,0.6889,0.0222,9,0.2,3,0.0938,1,15,9,9,25,0,0,0,25,0,0.5712,0.814,0.7273,0.9143,0.8,0.8421,0.4,0.3778,0.6667,0.3571,0.7188,0.0233,0.245,0.4864,0.0971,0.4091,0.0934,0.0364,8,8,1,0.4706,0.4706,0.0588,0.5555555555555556,0.0,0.0,0.5555555555555556,0.8064516129032258,0.0,0.0,0.8064516129032258
