"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"f3db2ae95c6e510d7655ee66bfd2474d4d0643a4-2d9366bcee240f53745d4534f24165cc3f306066","2013-06 -- 2013-09",81,57,16,8,0.7037,0.1975,0.0988,7,0.0864,1,0.0417,1,29,29,5,12,0,10,0,13,0.4091,0.8542,0,0,0,0,0,0,0.1975,0.642,0.5538,0.7917,0.0239,0.54,0.5639,0.0461,0.3675,0.001,0.0361,25,1,4,0.8333,0.0333,0.1333
"2d9366bcee240f53745d4534f24165cc3f306066-6c96f5f7776b7c5a86512be3fd2ea24d61e4c6a0","2013-09 -- 2013-11",51,29,13,9,0.5686,0.2549,0.1765,7,0.1373,0,0,1,18,18,6,14,0,0,0,17,0.3929,0.7906,0.9848,0.6087,0.8085,0.8936,0.1818,0.1538,0.1961,0.6471,0.5263,0.7273,0.029,0.3426,0.4043,0.0119,0.4188,0.0569,0.0557,13,1,5,0.6842,0.0526,0.2632
"6c96f5f7776b7c5a86512be3fd2ea24d61e4c6a0-74b3c22e2f4ab7f1b65d997c83e5a21602df784e","2013-11 -- 2014-03",69,43,18,8,0.6232,0.2609,0.1159,12,0.1739,0,0,1,25,24,4,5,2,16,0,8,0.2727,0.8601,0.5,0.5417,0.5116,0.5238,0.4,0.1,0.3043,0.6377,0.5294,0.8462,0.0243,0.3478,0.5111,0.1263,0.2863,-0.2533,0.0477,21,1,3,0.84,0.04,0.12
"74b3c22e2f4ab7f1b65d997c83e5a21602df784e-afd30f5f3bdb1d1ba75e4526afa90cec0e399acf","2014-03 -- 2014-05",44,27,8,9,0.6136,0.1818,0.2045,7,0.1591,0,0,1,19,17,4,7,0,9,0,9,0.3077,0.7104,0.9027,0.7907,0.7727,0.7805,0,0.2745,0.3636,0.5682,0.5278,0.7647,0.0852,0.6459,0.6723,0.01,0.1939,0.0684,0.0719,14,1,3,0.7778,0.0556,0.1667
"afd30f5f3bdb1d1ba75e4526afa90cec0e399acf-def5d6c3a7eb941571f27f45c1fbd1df31656f98","2014-05 -- 2014-08",75,45,22,8,0.6,0.2933,0.1067,19,0.2533,1,0.0333,1,26,24,5,12,0,10,0,12,0.3684,0.8421,0.3866,0.383,0.4889,0.4878,0,0.3913,0.2133,0.6533,0.5472,0.8333,0.0227,0.4269,0.5375,0.0079,0.2655,-0.318,0.0436,21,2,3,0.8077,0.0769,0.1154
"def5d6c3a7eb941571f27f45c1fbd1df31656f98-4bf04700bb3d2509d46a9eead4445f674daf0a5a","2014-08 -- 2014-11",63,42,16,5,0.6667,0.254,0.0794,5,0.0794,0,0,1,21,20,5,8,0,2,0,10,0.4118,0.8515,0.7536,0.8235,0.7234,0.7273,0.2,0.1731,0.127,0.6667,0.5745,0.7619,0.0276,0.4092,0.5294,0.0014,0.229,-0.3006,0.0512,16,1,4,0.7619,0.0476,0.1905
"4bf04700bb3d2509d46a9eead4445f674daf0a5a-7c0b43ded6a1b9e4c059adb63c33290697e3d363","2014-11 -- 2015-02",61,42,11,8,0.6885,0.1803,0.1311,8,0.1311,1,0.0526,1,21,23,5,5,0,13,0,14,0.3333,0.8045,0.6774,0.65,0.4762,0.4651,0.2,0.0714,0.2623,0.6557,0.54,0.7368,0.0347,0.4588,0.5721,0.1548,0.3703,0.1272,0.0612,18,0,5,0.7826,0,0.2174
"7c0b43ded6a1b9e4c059adb63c33290697e3d363-58ed063c719524ae24e22a23b20c81b6595cd080","2015-02 -- 2015-05",56,38,10,8,0.6786,0.1786,0.1429,8,0.1429,0,0,1,21,20,6,13,0,16,0,17,0.2609,0.6981,0.8034,0.5405,0.5714,0.6977,0.1818,0.1702,0.4107,0.625,0.5652,0.6667,0.0535,0.5936,0.6838,0.0085,0.2479,0.0056,0.0617,17,3,3,0.7391,0.1304,0.1304
"58ed063c719524ae24e22a23b20c81b6595cd080-75b3107b098cd451226f3227c0ba41d29e13df71","2015-05 -- 2015-08",45,27,11,7,0.6,0.2444,0.1556,10,0.2222,0,0,1,14,13,4,10,0,20,0,12,0.25,0.7708,0.7921,0.3889,0.6857,0.8485,0.4,0.35,0.5111,0.6889,0.6176,0.7778,0.0457,0.425,0.601,0.0089,0.1931,-0.227,0.0808,11,2,2,0.7333,0.1333,0.1333
"75b3107b098cd451226f3227c0ba41d29e13df71-c2831875e3a2cf046f8a3b42a971172319c50e99","2015-08 -- 2015-11",52,34,9,9,0.6538,0.1731,0.1731,12,0.2308,0,0,1,17,17,4,1,0,15,0,8,0.4667,0.8741,0.5567,0.5,0.4516,0.4667,0.25,0.4815,0.3654,0.6731,0.6047,0.7778,0.0414,0.3327,0.5264,0.0161,0.2405,-0.2178,0.0814,13,0,4,0.7647,0,0.2353
