"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"9826b1549396ed05011d523ab5bf7a344b8cb8b6-d86814aeca64d8985402dc073eff1fc8ac93c231","2013-05 -- 2013-08",525,458,51,16,0.8724,0.0971,0.0305,18,0.0343,2,0.0299,1,148,144,10,35,0,190,0,42,0.2222,0.8577,0,0,0,0,0,0,0.3943,0.7181,0.6962,0.8507,0.0036,0.2189,0.2379,0.217,0.3676,0.0414,0.0159,138,4,6,0.9324,0.027,0.0405
"d86814aeca64d8985402dc073eff1fc8ac93c231-b3e4fc6a48b97b52bd19de43c76b7082dcab4988","2013-08 -- 2013-11",397,358,28,11,0.9018,0.0705,0.0277,7,0.0176,1,0.0256,1,131,129,7,21,0,104,0,29,0.1714,0.7934,0.8265,0.9623,0.6093,0.6007,0.5882,0.3832,0.2972,0.67,0.6504,0.8205,0.0056,0.1974,0.2431,0.1507,0.4232,0.017,0.0196,124,2,5,0.9466,0.0153,0.0382
"b3e4fc6a48b97b52bd19de43c76b7082dcab4988-1efe6837b23a2a70a226b4fcab8dc5ea1c7bf2c8","2013-11 -- 2014-02",452,410,33,9,0.9071,0.073,0.0199,4,0.0088,0,0,1,109,109,3,2,0,153,0,6,0.25,0.8958,0.6031,0.7407,0.6583,0.6471,0.8,0.2656,0.3473,0.7588,0.7399,0.9286,0.0042,0.2395,0.3625,0.3278,0.2813,-0.4281,0.0233,106,0,3,0.9725,0,0.0275
"1efe6837b23a2a70a226b4fcab8dc5ea1c7bf2c8-4394c8a9b3889436fa957ea52955936a2640407b","2014-02 -- 2014-05",449,321,112,16,0.7149,0.2494,0.0356,17,0.0379,2,0.0156,1,125,118,13,48,0,98,0,58,0.0333,0.9072,0.6881,0.2706,0.5641,0.5815,0,0.3161,0.2695,0.7216,0.6499,0.8984,0.0033,0.079,0.1684,0.0736,0.4441,0.0102,0.0124,113,8,5,0.8968,0.0635,0.0397
"4394c8a9b3889436fa957ea52955936a2640407b-3122e0eae64c5ab494b29d0a9cadef902d93f1f9","2014-05 -- 2014-08",281,254,21,6,0.9039,0.0747,0.0214,3,0.0107,0,0,1,106,104,4,5,0,7,0,5,0,0.8667,0.9616,1.4194,0.684,0.6486,1.2941,0.2251,0.0463,0.6228,0.6,0.8519,0.0063,0.147,0.1771,0.5042,0.4842,0.2311,0.0193,103,3,1,0.9626,0.028,0.0093
"3122e0eae64c5ab494b29d0a9cadef902d93f1f9-963f5e8a886841d69e79fdc46aaa0010126408e8","2014-08 -- 2014-11",435,261,166,8,0.6,0.3816,0.0184,8,0.0184,2,0.0115,1,105,97,13,45,0,75,0,48,0.04,0.9329,0.5391,0.0697,0.6919,0.7164,0.3529,0.0155,0.2299,0.7586,0.6394,0.9253,0.0028,0.0913,0.1679,0.0148,0.3386,9e-04,0.0095,95,11,2,0.8796,0.1019,0.0185
"963f5e8a886841d69e79fdc46aaa0010126408e8-ed240f44f7afd35f4f1fadedac3b976782467300","2014-11 -- 2015-02",385,261,116,8,0.6779,0.3013,0.0208,26,0.0675,1,0.0081,1,133,114,22,107,0,14,0,112,0.0088,0.8169,0.8073,0.9396,0.521,0.5308,0.2857,0.1813,0.161,0.6545,0.5762,0.8226,0.0041,0.1649,0.1436,0.3066,0.5577,0.1405,0.0101,111,19,3,0.8346,0.1429,0.0226
"ed240f44f7afd35f4f1fadedac3b976782467300-f29762f4dd5811464684f820286f1c90a694bdff","2015-02 -- 2015-05",292,203,82,7,0.6952,0.2808,0.024,21,0.0719,0,0,1,110,96,18,133,0,13,0,136,0,0.7517,0.8538,0.8638,0.6749,0.6762,0.45,0.1003,0.2123,0.6233,0.5429,0.7978,0.0055,0.2439,0.1548,0.1399,0.6058,0.0385,0.0136,94,16,2,0.8393,0.1429,0.0179
"f29762f4dd5811464684f820286f1c90a694bdff-a40ae513bb99ec3f85ea5b864a366bc7552d61f0","2015-05 -- 2015-08",259,190,63,6,0.7336,0.2432,0.0232,8,0.0309,0,0,1,107,91,21,96,0,16,0,97,0,0.7841,0.7695,0.6456,0.7005,0.7701,0.1538,0.1226,0.2239,0.5869,0.5357,0.6957,0.0056,0.1625,0.1422,0.1603,0.7008,0.1479,0.0128,90,20,1,0.8108,0.1802,0.009
"a40ae513bb99ec3f85ea5b864a366bc7552d61f0-84f09647d0ea41ea1efee0431d7ac40b235ab382","2015-08 -- 2015-11",234,112,117,5,0.4786,0.5,0.0214,24,0.1026,1,0.0082,1,67,56,23,187,0,6,0,187,0,0.8338,0.8114,0.356,0.8851,0.9932,0.3182,0.12,0.2436,0.7137,0.5214,0.8115,0.0051,0.1877,0.1071,0.1736,0.7094,0.1701,0.0131,55,22,1,0.7051,0.2821,0.0128
"84f09647d0ea41ea1efee0431d7ac40b235ab382-1d79787e2e792fb0b5088958fe2cca703e4ea508","2015-11 -- 2016-02",233,88,141,4,0.3777,0.6052,0.0172,32,0.1373,2,0.0138,1,76,50,30,192,0,3,0,192,0,0.8344,0.7452,0.5693,0.6294,0.8491,0.3774,0.1494,0.3433,0.6738,0.4565,0.7931,0.0019,0.0544,0.1648,0.3959,0.7752,0.395,0.012,49,29,1,0.6203,0.3671,0.0127
"1d79787e2e792fb0b5088958fe2cca703e4ea508-a4564f3649f3253da53c69d7e3836b05311b0e89","2016-02 -- 2016-05",235,80,152,3,0.3404,0.6468,0.0128,33,0.1404,1,0.0065,1,62,41,30,259,0,6,0,260,0,0.8345,0.6923,0.5733,0.7246,0.8352,0.4,0.2222,0.3574,0.7362,0.506,0.8065,0.0051,0.178,0.1487,0.3533,0.6303,0.352,0.0137,39,28,2,0.5652,0.4058,0.029
