range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"3c7d61fc24505679fc0c964e684881892deff58e-1e24c3284601553f151dcfea33b475dbef5b2393","2013-06 -- 2013-08",88,80,2,6,0.9091,0.0227,0.0682,0,0,0,0,1,36,36,3,4,0,41,0,7,0.2222,0.5694,0,0,0,0,0,0,0.4886,0.5909,0.5814,0.625,0.3158,0.875,0.8336,0.3834,0.1248,-0.3491,0.04,34,1,2,0.9189,0.027,0.0541,0.045454545454545456,0.4659090909090909,0.0,0.07954545454545454,2.0,20.5,0.0,3.5
"1e24c3284601553f151dcfea33b475dbef5b2393-55011e05880ab4d030ff0d00ac3b30697be4a794","2013-08 -- 2013-11",123,109,3,11,0.8862,0.0244,0.0894,1,0.0081,0,0,1,53,53,0,0,0,39,1,0,1,1,0.5592,0.2727,0.427,0.382,2,0.4915,0.3171,0.5691,0.5583,1,0.0384,0.7313,0.7557,0.2728,0.2728,0,0.0312,53,0,0,1,0,0,0.0,0.3170731707317073,0.008130081300813009,0.0,0.0,13.0,0.3333333333333333,0.0
"55011e05880ab4d030ff0d00ac3b30697be4a794-6e529dd21452f9767db8054eee9b45579495e35b","2013-11 -- 2014-03",122,101,8,13,0.8279,0.0656,0.1066,2,0.0164,0,0,1,52,52,7,9,0,44,0,18,0.2174,0.7826,0.7755,0.2286,0.7048,0.7429,0,0.3158,0.418,0.5738,0.5439,0.6667,0.0335,0.812,0.8163,0.2533,0.143,0.1296,0.0267,48,3,4,0.8727,0.0545,0.0727,0.07377049180327869,0.36065573770491804,0.0,0.14754098360655737,1.125,5.5,0.0,2.25
"6e529dd21452f9767db8054eee9b45579495e35b-34dc4eb22eb5e020e667d729c86d8900bb3e4fa3","2014-03 -- 2014-05",115,105,3,7,0.913,0.0261,0.0609,0,0,0,0,1,50,49,3,2,0,63,3,2,0.5,0.825,0.7595,0.8387,0.6471,0.6337,1,0.3333,0.5739,0.5652,0.5625,0.7,0.1071,0.8855,0.8576,0.0775,0.0799,9e-04,0.0284,47,1,2,0.94,0.02,0.04,0.017391304347826087,0.5478260869565217,0.02608695652173913,0.017391304347826087,0.6666666666666666,21.0,1.0,0.6666666666666666
"34dc4eb22eb5e020e667d729c86d8900bb3e4fa3-3dfd172375cab9352fe73713df11219cb03ed199","2014-05 -- 2014-08",121,112,3,6,0.9256,0.0248,0.0496,1,0.0083,0,0,1,52,52,2,0,0,44,3,1,0.6667,0.8519,0.661,0.4211,0.5882,0.5743,0.8,0.5769,0.3719,0.5702,0.5593,0.7778,0.0296,0.7589,0.7992,0.1297,0.1581,-0.3544,0.0258,50,0,2,0.9615,0,0.0385,0.0,0.36363636363636365,0.024793388429752067,0.008264462809917356,0.0,14.666666666666666,1.0,0.3333333333333333
"3dfd172375cab9352fe73713df11219cb03ed199-31f194cc5fc2b326b05db9f9e53945826ae4fe35","2014-08 -- 2014-11",84,77,3,4,0.9167,0.0357,0.0476,1,0.0119,0,0,1,37,37,1,0,0,14,2,0,1,1,0.9854,0.625,0.8764,0.8764,0.6667,0.3663,0.1667,0.5595,0.5432,0.8571,0.1099,0.8961,0.8944,0.1635,0.164,-0.5,0.0333,36,0,1,0.973,0,0.027,0.0,0.16666666666666666,0.023809523809523808,0.0,0.0,4.666666666666667,0.6666666666666666,0.0
"31f194cc5fc2b326b05db9f9e53945826ae4fe35-0c4ca94a0c27272e472c0a309b66d4b978823ea0","2014-11 -- 2015-02",104,100,1,3,0.9615,0.0096,0.0288,1,0.0096,1,0.25,1,47,47,2,0,0,31,0,0,1,1,0.7447,0.9091,0.6667,0.6667,0,0.1714,0.2981,0.5481,0.5437,0.5,0.0351,0.75,0.747,0.1965,0.2019,-0.4136,0.0297,46,1,1,0.9583,0.0208,0.0208,0.0,0.2980769230769231,0.0,0.0,0.0,31.0,0.0,0.0
"0c4ca94a0c27272e472c0a309b66d4b978823ea0-bf673495fb9bdc7bfd5633ec8285f68ff09c6592","2015-02 -- 2015-05",99,92,2,5,0.9293,0.0202,0.0505,0,0,0,0,1,45,45,1,0,0,25,0,0,1,1,0.867,0.1818,0.7826,0.7826,0.6667,0.2955,0.2525,0.5455,0.5361,0.8571,0.029,0.7714,0.8038,0.3196,0.3377,-0.5,0.033,44,0,1,0.9778,0,0.0222,0.0,0.25252525252525254,0.0,0.0,0.0,12.5,0.0,0.0
"bf673495fb9bdc7bfd5633ec8285f68ff09c6592-f5f0947dd93a159a050271ca3e1db364441cebb5","2015-05 -- 2015-08",57,51,2,4,0.8947,0.0351,0.0702,1,0.0175,0,0,1,25,25,0,0,0,4,0,0,1,1,1.0513,0.6154,1.0286,1.0286,2,0.2439,0.0702,0.5614,0.5455,1,0.0833,0.8282,0.8465,0.1613,0.1613,0,0.0464,25,0,0,1,0,0,0.0,0.07017543859649122,0.0,0.0,0.0,2.0,0.0,0.0
"f5f0947dd93a159a050271ca3e1db364441cebb5-3400f76dad3be8cd87cdf1f4e32683005fa17ec0","2015-08 -- 2015-11",77,65,3,9,0.8442,0.039,0.1169,0,0,0,0,1,35,35,2,1,0,39,0,2,0.5,0.875,0.5821,0.1111,0.5,0.5,0,0.0513,0.5325,0.5455,0.527,0.8333,0.0389,0.7583,0.782,0.0796,0.0945,-0.3309,0.0338,33,0,2,0.9429,0,0.0571,0.012987012987012988,0.5064935064935064,0.0,0.025974025974025976,0.3333333333333333,13.0,0.0,0.6666666666666666
