range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"2c9c9728f19641031c953189274b9b93bf0615b8-495a362afbc79d43e3f4a8398506707b8c6a04b0","2013-06 -- 2013-09",9,7,2,0,0.7778,0.2222,0,0,0,0,0,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.2222,0.4444,0.2857,0.5,0.1477,0.25,0.2222,0.2372,0.314,-0.5,0.2778,5,1,0,0.8333,0.1667,0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.5,0.0,0.0,0.5
"495a362afbc79d43e3f4a8398506707b8c6a04b0-147c3b5470db51d72abb6655861a66b35f42636e","2013-09 -- 2013-12",14,11,2,1,0.7857,0.1429,0.0714,1,0.0714,1,0.3333,1,8,7,2,2,0,0,0,2,0,0,0.4348,0,0.4615,0.5,0,0,0.2143,0.4286,0.4167,0.3333,0.1567,0.4389,0.3626,0.038,0.1252,-0.4967,0.1758,7,2,0,0.7778,0.2222,0,0.14285714285714285,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,1.0
"147c3b5470db51d72abb6655861a66b35f42636e-70b24dc5c5c4be32f08b144d3e36dc3eb5db8216","2013-12 -- 2014-02",13,10,2,1,0.7692,0.1538,0.0769,1,0.0769,1,0.3333,1,6,5,2,3,0,7,0,3,0,0,0.5926,0,0.8571,0.8333,0,0,0.7692,0.5385,0.5455,0.3333,0.6115,0.5783,0.5064,0.0651,0.0017,-0.421,0.2436,5,2,0,0.7143,0.2857,0,0.23076923076923078,0.5384615384615384,0.0,0.23076923076923078,1.5,3.5,0.0,1.5
"70b24dc5c5c4be32f08b144d3e36dc3eb5db8216-5839052bee7c4d34e022bedf39b0d3b1cfdbe957","2014-02 -- 2014-05",16,10,3,3,0.625,0.1875,0.1875,0,0,0,0,1,8,6,3,5,0,6,0,6,0,0.3056,0.4828,0,0.5714,0.5455,0.4,0.5714,0.6875,0.5,0.5385,0.5,0.644,0.4097,0.5167,0.0663,0.1252,-0.3494,0.2833,5,2,1,0.625,0.25,0.125,0.3125,0.375,0.0,0.375,1.6666666666666667,2.0,0.0,2.0
"5839052bee7c4d34e022bedf39b0d3b1cfdbe957-505d9edbcb8b8019146f5b573b1d9b4171567e86","2014-05 -- 2014-08",13,10,2,1,0.7692,0.1538,0.0769,1,0.0769,0,0,1,5,5,0,0,0,5,0,0,1,1,0.6897,0.8889,0.7692,0.5455,2,0.6,0.3846,0.6154,0.5455,1,0.1031,0.2298,0.391,0.1694,0.1694,0,0.1923,5,0,0,1,0,0,0.0,0.38461538461538464,0.0,0.0,0.0,2.5,0.0,0.0
"505d9edbcb8b8019146f5b573b1d9b4171567e86-e38c6d4ec64a02c590b0c4e1b21a1452da90618d","2014-08 -- 2014-11",15,12,2,1,0.8,0.1333,0.0667,0,0,0,0,1,7,7,0,0,0,2,0,0,1,1,0.6429,0.3333,0.5,0.5,0,0.4444,0.1333,0.5333,0.4615,1,0.1741,0.3528,0.5143,0.0914,0.0914,0,0.2,7,0,0,1,0,0,0.0,0.13333333333333333,0.0,0.0,0.0,1.0,0.0,0.0
"e38c6d4ec64a02c590b0c4e1b21a1452da90618d-14bba9648626d59dffe98b7a02c42e6f648142ec","2014-11 -- 2015-01",17,14,2,1,0.8235,0.1176,0.0588,0,0,0,0,1,8,8,0,0,0,2,0,0,1,1,0.5,0.6667,0.6667,0.6667,0,0.125,0.1176,0.5294,0.4667,1,0.1361,0.2906,0.2941,0.3081,0.3081,0,0.2059,8,0,0,1,0,0,0.0,0.11764705882352941,0.0,0.0,0.0,1.0,0.0,0.0
"14bba9648626d59dffe98b7a02c42e6f648142ec-1223e760273ff084834d3e8459755c405806aeaa","2015-01 -- 2015-05",19,15,2,2,0.7895,0.1053,0.1053,0,0,0,0,1,10,9,1,1,0,2,0,1,0,0.5,0.5,0,0.4444,0.4706,0,0,0.2105,0.4737,0.4706,0.75,0.2884,0.7037,0.5146,0.4453,0.4276,-0.5,0.152,9,1,0,0.9,0.1,0,0.05263157894736842,0.10526315789473684,0.0,0.05263157894736842,0.5,1.0,0.0,0.5
"1223e760273ff084834d3e8459755c405806aeaa-6c0854f1ad2198bf2cbbaed6c8f5eb1c701ccc48","2015-05 -- 2015-08",13,10,2,1,0.7692,0.1538,0.0769,1,0.0769,0,0,1,6,6,0,0,0,2,0,0,1,1,0.5,0.2857,0.5,0.4,2,0.125,0.1538,0.5385,0.4545,1,0.1049,0.2538,0.4487,0.152,0.152,0,0.2179,6,0,0,1,0,0,0.0,0.15384615384615385,0.0,0.0,0.0,1.0,0.0,0.0
"6c0854f1ad2198bf2cbbaed6c8f5eb1c701ccc48-6c2e67f4495236f0075732e3b2ed60003b1f091c","2015-08 -- 2015-11",12,9,2,1,0.75,0.1667,0.0833,1,0.0833,0,0,1,6,6,0,0,0,0,0,0,1,1,0.4,0.3333,0.3333,0.3333,0,0,0,0.5,0.4,1,0.0448,0.0545,0.197,0.6311,0.6311,0,0.1667,6,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"6c2e67f4495236f0075732e3b2ed60003b1f091c-95ccd116d942c95574cbcad2beef3499b6fb6d39","2015-11 -- 2016-02",9,6,2,1,0.6667,0.2222,0.1111,1,0.1111,0,0,1,4,4,0,0,0,0,0,0,1,1,0.5714,0,0.8,0.8,0,0,0,0.5556,0.4286,1,0.1841,0.3705,0.4028,0.1403,0.1403,0,0.2222,4,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
