"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"8a97a33063d93be1130b762daefd729346af4d29-5ef24a806d0c74920fbfbb930c40f460a62688bd","2013-05 -- 2013-08",68,59,3,6,0.8676,0.0441,0.0882,5,0.0735,1,0.1111,10,31,31,3,1,0,4,0,3,0.25,0.7222,0,0,0,0,0,0,0.1029,0.5441,0.5231,0.6667,0.0261,0.2755,0.1651,0.4759,0.5554,0.4536,0.0439,29,1,2,0.9062,0.0312,0.0625
"5ef24a806d0c74920fbfbb930c40f460a62688bd-2911575c6e790541e495927a60121d7546a66962","2013-08 -- 2013-11",94,77,9,8,0.8191,0.0957,0.0851,2,0.0213,0,0,10,41,39,5,14,0,6,0,17,0.15,0.6265,0.5556,0.3846,0.5,0.5429,0.5,0.0444,0.1383,0.5638,0.5412,0.7059,0.0253,0.4171,0.3111,0.4332,0.6247,0.1877,0.0437,37,3,2,0.881,0.0714,0.0476
"2911575c6e790541e495927a60121d7546a66962-6311681236779c386137429b0e45ae7a7eb904f4","2013-11 -- 2014-02",78,70,3,5,0.8974,0.0385,0.0641,2,0.0256,0,0,9,34,33,4,6,0,12,0,8,0.2,0.5,0.8023,0.96,0.6933,0.6944,0.2222,0.0725,0.2179,0.5641,0.56,0.5,0.0291,0.3776,0.362,0.5224,0.5597,0.3343,0.0536,31,2,2,0.8857,0.0571,0.0571
"6311681236779c386137429b0e45ae7a7eb904f4-e6479c76ca6655fdd374d9724401c0912b417b3c","2014-02 -- 2014-05",158,132,10,16,0.8354,0.0633,0.1013,5,0.0316,2,0.0769,13,58,58,10,5,0,29,0,8,0.3333,0.7981,0.3814,0.1176,0.413,0.3956,0.1429,0.0889,0.2468,0.6329,0.6081,0.6154,0.015,0.2345,0.2986,0.4554,0.3854,0.1363,0.0389,51,3,7,0.8361,0.0492,0.1148
"e6479c76ca6655fdd374d9724401c0912b417b3c-77bf69dced875200f6f0e385a4a270298f8d3c45","2014-05 -- 2014-08",199,145,28,26,0.7286,0.1407,0.1307,8,0.0402,2,0.037,12,60,58,10,15,2,86,0,25,0.359,0.8642,0.549,0.35,0.5085,0.5345,0.6,0.1837,0.4925,0.6985,0.6608,0.8148,0.0095,0.1706,0.2966,0.2903,0.2271,0.1895,0.0317,52,4,6,0.8387,0.0645,0.0968
"77bf69dced875200f6f0e385a4a270298f8d3c45-6696203963ba209fbbef12098e6eb6f364379c65","2014-08 -- 2014-10",170,116,40,14,0.6824,0.2353,0.0824,25,0.1471,2,0.037,11,57,55,8,13,0,15,0,15,0.1176,0.9052,0.7534,0.7222,0.5641,0.5841,0.7778,0.4604,0.1412,0.6647,0.5769,0.8519,0.0087,0.3588,0.4067,0.5577,0.5256,0.385,0.0194,50,3,5,0.8621,0.0517,0.0862
"6696203963ba209fbbef12098e6eb6f364379c65-3ffbe008083dcaad282622e8e4be69bb29bc6315","2014-10 -- 2015-02",138,107,18,13,0.7754,0.1304,0.0942,14,0.1014,2,0.0645,19,49,45,11,38,0,49,1,51,0.1639,0.5838,0.7727,0.9647,0.6981,0.74,0.2105,0.0504,0.4783,0.6449,0.625,0.6452,0.0165,0.318,0.4053,0.0577,0.2383,-0.2554,0.04,39,5,6,0.78,0.1,0.12
"3ffbe008083dcaad282622e8e4be69bb29bc6315-9a3bf97315aa121441777bf1bc4bea3c5e00af29","2015-02 -- 2015-05",125,95,15,15,0.76,0.12,0.12,8,0.064,0,0,14,41,39,9,16,0,20,0,26,0.3158,0.7307,0.73,0.7213,0.7111,0.6905,0.5,0.4792,0.264,0.672,0.6455,0.7,0.0141,0.2029,0.3216,0.1399,0.387,-0.2571,0.0413,33,3,6,0.7857,0.0714,0.1429
"9a3bf97315aa121441777bf1bc4bea3c5e00af29-1125245997dac232a0c0867b6c858cda4e549c6d","2015-05 -- 2015-08",162,121,25,16,0.7469,0.1543,0.0988,16,0.0988,2,0.0488,16,61,59,9,29,0,57,0,43,0.1731,0.7317,0.5017,0.4225,0.3529,0.3469,0.4444,0.1667,0.4383,0.6235,0.5693,0.7805,0.0132,0.31,0.4184,0.311,0.3239,0.2612,0.035,53,3,6,0.8548,0.0484,0.0968
"1125245997dac232a0c0867b6c858cda4e549c6d-3d866ea67e8b19777e88ac2a78ee4188e0983168","2015-08 -- 2015-11",117,77,26,14,0.6581,0.2222,0.1197,6,0.0513,0,0,20,38,36,11,27,0,37,0,49,0.2344,0.7988,0.7814,0.6667,0.8283,0.7789,0.2,0.3853,0.4359,0.6752,0.6044,0.725,0.0153,0.1656,0.3058,0.3605,0.3023,0.3817,0.0391,27,2,9,0.7105,0.0526,0.2368
