"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"9327b63c89c9b93ce3a66fd2604fda18e05dfb2d-d0b50282faa6176b358a5b693e87429209ea5537","2013-06 -- 2013-08",31,26,2,3,0.8387,0.0645,0.0968,0,0,0,0,1,13,12,2,1,0,8,0,1,0.5,0.7,0,0,0,0,0,0,0.2903,0.5806,0.5862,0.6,0.0546,0.2353,0.272,0.0647,0.3929,-0.4741,0.0946,10,0,2,0.8333,0,0.1667
"d0b50282faa6176b358a5b693e87429209ea5537-be36ccf5b396ef649999ea55af07dea646ba1653","2013-08 -- 2013-11",38,31,3,4,0.8158,0.0789,0.1053,0,0,0,0,1,17,16,3,7,0,15,0,7,0.2222,0.4286,0.4638,0.1667,0.2,0.2143,0.4,0.1875,0.5,0.5526,0.5429,0.5714,0.5531,0.2966,0.522,0.2084,0.1625,-0.2916,0.2077,15,2,1,0.8333,0.1111,0.0556
"be36ccf5b396ef649999ea55af07dea646ba1653-4a1519c138e02f463fa5fae1580ae01267209403","2013-11 -- 2014-02",29,22,3,4,0.7586,0.1034,0.1379,1,0.0345,0,0,1,12,11,3,8,0,15,1,8,0.1111,0.3333,0.597,0.2857,0.5517,0.5926,0.3333,0.55,0.6552,0.5862,0.5769,0.5714,0.4902,0.3372,0.4384,0.2776,0.1395,-0.2528,0.2044,9,1,2,0.75,0.0833,0.1667
"4a1519c138e02f463fa5fae1580ae01267209403-d24d06a4807b5d2c5573dc95267e145267d11da7","2014-02 -- 2014-05",27,21,2,4,0.7778,0.0741,0.1481,0,0,0,0,1,12,12,3,7,0,13,0,7,0.3,0.5167,0.5357,0.3077,0.5,0.5217,0,0.6,0.5926,0.5556,0.52,0.5,0.6182,0.3951,0.547,0.0596,0.1519,0.0955,0.2991,12,3,0,0.8,0.2,0
"d24d06a4807b5d2c5573dc95267e145267d11da7-db8ed298d592cabc7d4ed917f7ed8f960301013a","2014-05 -- 2014-08",29,23,3,3,0.7931,0.1034,0.1034,0,0,0,0,1,11,9,3,7,0,11,0,7,0.3,0.5167,0.5357,0.3333,0.5217,0.6667,0,0.5333,0.5172,0.6207,0.6538,0.5,0.2421,0.4115,0.5702,0.0448,0.0348,-0.3005,0.1798,7,1,2,0.7,0.1,0.2
"db8ed298d592cabc7d4ed917f7ed8f960301013a-f1e8bb158f23d12b17ce2d0d949773ef9f93c170","2014-08 -- 2014-11",22,16,2,4,0.7273,0.0909,0.1818,2,0.0909,0,0,1,11,11,2,2,0,6,1,2,0.6,0.6667,0.549,0.1667,0.4545,0.4,0.4,0.5,0.3636,0.5,0.45,0.6667,0.5336,0.3109,0.4242,0.1924,0.1621,0.0107,0.4329,9,0,2,0.8182,0,0.1818
"f1e8bb158f23d12b17ce2d0d949773ef9f93c170-d2b5946b9929c247694bad204d8814ad3ed7eb52","2014-11 -- 2015-02",27,21,3,3,0.7778,0.1111,0.1111,1,0.037,0,0,1,13,11,3,4,0,2,0,4,0,0.1667,0.3673,0.1667,0.5833,0.6364,0,0.1111,0.2222,0.5185,0.5417,0.5,0.0866,0.3486,0.2735,0.2321,0.4525,-0.367,0.1111,9,1,2,0.75,0.0833,0.1667
"d2b5946b9929c247694bad204d8814ad3ed7eb52-532321edae2a6bb9103e4d55d31ba570e87e648d","2015-02 -- 2015-05",23,18,3,2,0.7826,0.1304,0.087,2,0.087,0,0,1,12,11,2,3,0,4,0,3,0,0.3333,0.6,0.5455,0.64,0.6364,0.4,0.2,0.3478,0.4783,0.45,0.6,0.1278,0.2649,0.2708,0.2112,0.4183,-0.459,0.1383,10,1,1,0.8333,0.0833,0.0833
"532321edae2a6bb9103e4d55d31ba570e87e648d-797a64705ee868a13dabd677b2c76f4c304847d6","2015-05 -- 2015-08",18,15,2,1,0.8333,0.1111,0.0556,1,0.0556,0,0,1,9,9,1,1,0,0,0,1,0,0.3333,0.5854,0.75,0.5714,0.5,0.6667,0.25,0.1111,0.5,0.4375,0.6667,0.0603,0.2016,0.2353,0.309,0.472,-0.5,0.1176,8,0,1,0.8889,0,0.1111
"797a64705ee868a13dabd677b2c76f4c304847d6-790b80b8e63e065dfe04711c460a25f56a5de0ea","2015-08 -- 2015-11",15,11,3,1,0.7333,0.2,0.0667,1,0.0667,0,0,1,8,7,2,3,0,2,0,3,0,0.25,0.6061,0,0.5882,0.625,0,0,0.2667,0.4667,0.4167,0.5,0.0413,0.1366,0.2333,0.1354,0.6837,-0.3973,0.1238,6,1,1,0.75,0.125,0.125
"790b80b8e63e065dfe04711c460a25f56a5de0ea-35b601ffecef8535f2017f8b8e3e43afba803ab6","2015-11 -- 2016-02",14,11,2,1,0.7857,0.1429,0.0714,0,0,0,0,1,7,7,0,0,0,0,0,0,1,1,0.6207,0.2857,0.5333,0.4286,2,0,0,0.5,0.4167,1,0.0375,0.0444,0.1758,0.3747,0.3747,0,0.1319,7,0,0,1,0,0
"35b601ffecef8535f2017f8b8e3e43afba803ab6-7b9f107e6783dc6746307102d0c466f681f7e08f","2016-02 -- 2016-05",18,14,3,1,0.7778,0.1667,0.0556,0,0,0,0,1,8,8,1,1,0,0,0,1,0,0.5,0.3125,0,0.5333,0.5333,0,0,0.1111,0.5556,0.4667,0.75,0.0874,0.2375,0.3791,0.4147,0.1724,-0.5,0.3268,7,0,1,0.875,0,0.125
