range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"c9d0d61b2782215166ca8956b7a89430d460b65f-d6f017831ec6c1f377809bae321e4cb27f4262fd","2013-06 -- 2013-09",137,95,6,36,0.6934,0.0438,0.2628,2,0.0146,0,0,1,56,56,10,1,0,45,0,9,0.75,0.9742,0,0,0,0,0,0,0.3723,0.5912,0.5725,0.7619,0.0396,0.1141,0.4979,0.1932,0.1262,0.4408,0.1565,47,1,9,0.8246,0.0175,0.1579,0.0072992700729927005,0.3284671532846715,0.0,0.06569343065693431,0.16666666666666666,7.5,0.0,1.5
"d6f017831ec6c1f377809bae321e4cb27f4262fd-b846db24716a7b494c737c984581528220e7eb25","2013-09 -- 2013-12",167,122,6,39,0.7305,0.0359,0.2335,3,0.018,1,0.0222,1,67,67,13,1,0,66,0,8,0.6522,0.9768,0.3553,0.2299,0.2927,0.2927,0.5217,0.3704,0.4371,0.5988,0.5839,0.7111,0.0398,0.0843,0.5401,0.0812,0.0645,0.1602,0.1587,56,2,11,0.8116,0.029,0.1594,0.005988023952095809,0.39520958083832336,0.0,0.04790419161676647,0.16666666666666666,11.0,0.0,1.3333333333333333
"b846db24716a7b494c737c984581528220e7eb25-fb04ad731939c7d18fe1be648c9b5b36d9669ef8","2013-12 -- 2014-03",174,131,8,35,0.7529,0.046,0.2011,2,0.0115,0,0,1,70,70,8,1,0,64,0,1,0.9545,0.9884,0.3988,0.2045,0.3358,0.3358,0.7619,0.4118,0.3736,0.5977,0.5783,0.814,0.0269,0.0926,0.5602,0.0988,0.0922,0.4128,0.1681,63,1,7,0.8873,0.0141,0.0986,0.005747126436781609,0.367816091954023,0.0,0.005747126436781609,0.125,8.0,0.0,0.125
"fb04ad731939c7d18fe1be648c9b5b36d9669ef8-f6e484419fd0a66f8397500dac7173fbe1a03d53","2014-03 -- 2014-06",178,115,17,46,0.6461,0.0955,0.2584,1,0.0056,0,0,1,68,68,10,1,0,49,0,3,0.8235,0.9888,0.4148,0.0189,0.4493,0.4493,0.2222,0.4384,0.2921,0.618,0.5776,0.8413,0.0134,0.0847,0.5448,0.0873,0.0906,0.4937,0.1445,59,1,9,0.8551,0.0145,0.1304,0.0056179775280898875,0.2752808988764045,0.0,0.016853932584269662,0.058823529411764705,2.8823529411764706,0.0,0.17647058823529413
"f6e484419fd0a66f8397500dac7173fbe1a03d53-0018ef81c20faa0120bfebed18c7ebfb5a5e1ad9","2014-06 -- 2014-08",142,113,5,24,0.7958,0.0352,0.169,2,0.0141,0,0,1,64,64,8,3,0,29,0,8,0.3846,0.9284,0.4938,0.7826,0.2879,0.2879,0.5556,0.3291,0.2535,0.5493,0.5328,0.7241,0.1205,0.1428,0.6082,0.1972,0.1998,0.5211,0.1932,58,2,6,0.8788,0.0303,0.0909,0.02112676056338028,0.20422535211267606,0.0,0.056338028169014086,0.6,5.8,0.0,1.6
"0018ef81c20faa0120bfebed18c7ebfb5a5e1ad9-ef77a2732cf768ef78b85e40f67f4624f855f45e","2014-08 -- 2014-11",140,111,5,24,0.7929,0.0357,0.1714,1,0.0071,0,0,1,61,61,7,3,0,49,0,7,0.65,0.9534,0.3901,0.2759,0.384,0.384,0.5333,0.2182,0.3929,0.5643,0.5481,0.7586,0.0754,0.1139,0.5666,0.1518,0.1595,0.3722,0.1528,54,0,7,0.8852,0,0.1148,0.02142857142857143,0.35,0.0,0.05,0.6,9.8,0.0,1.4
"ef77a2732cf768ef78b85e40f67f4624f855f45e-56ed739213f204783085b648892f1ea49880af3e","2014-11 -- 2015-02",156,109,13,34,0.6987,0.0833,0.2179,0,0,0,0,1,57,57,8,5,0,38,0,14,0.5172,0.9112,0.3716,0.0789,0.4068,0.4068,0.2667,0.3273,0.2756,0.6346,0.6014,0.8298,0.0182,0.1003,0.4861,0.1963,0.1836,0.194,0.1397,51,2,6,0.8644,0.0339,0.1017,0.03205128205128205,0.24358974358974358,0.0,0.08974358974358974,0.38461538461538464,2.923076923076923,0.0,1.0769230769230769
"56ed739213f204783085b648892f1ea49880af3e-0ec3fea405a2d9370e0b3bd476a8cd25314fddf5","2015-02 -- 2015-05",180,142,5,33,0.7889,0.0278,0.1833,5,0.0278,0,0,1,68,68,13,6,0,46,0,42,0.5532,0.8651,0.4048,0.3529,0.4,0.4,0.1905,0.3088,0.3333,0.6222,0.6114,0.6579,0.0714,0.117,0.4944,0.3646,0.2298,0.2454,0.1425,58,3,10,0.8169,0.0423,0.1408,0.03333333333333333,0.25555555555555554,0.0,0.23333333333333334,1.2,9.2,0.0,8.4
"0ec3fea405a2d9370e0b3bd476a8cd25314fddf5-c210a89d3211e2bb928a56e39d4f3a264d65efac","2015-05 -- 2015-08",144,120,5,19,0.8333,0.0347,0.1319,1,0.0069,0,0,1,63,63,3,0,0,44,0,0,1,1,0.5802,0.6129,0.458,0.4275,1.25,0.2872,0.3056,0.5625,0.5468,0.875,0.0281,0.0918,0.518,0.2945,0.2702,0.499,0.1953,60,0,3,0.9524,0,0.0476,0.0,0.3055555555555556,0.0,0.0,0.0,8.8,0.0,0.0
"c210a89d3211e2bb928a56e39d4f3a264d65efac-87d11365db0d492fb898787de02617d5fe89096a","2015-08 -- 2015-11",135,111,7,17,0.8222,0.0519,0.1259,3,0.0222,0,0,1,55,55,6,2,0,35,0,3,0.5714,0.9405,0.5233,0.4583,0.5254,0.5254,0.4444,0.3014,0.2815,0.5926,0.5703,0.75,0.0375,0.1145,0.393,0.195,0.1999,0.2381,0.1219,50,1,5,0.8929,0.0179,0.0893,0.014814814814814815,0.25925925925925924,0.0,0.022222222222222223,0.2857142857142857,5.0,0.0,0.42857142857142855
