"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"aedeb1cca6112962284c477d5a2c240519910891-31e665c7cd9b2edb25fa695bed9c528c95ad0c64","2013-05 -- 2013-08",262,149,57,56,0.5687,0.2176,0.2137,25,0.0954,3,0.0265,29,84,78,32,68,0,88,0,124,0.1622,0.9063,0,0,0,0,0,0,0.5153,0.6794,0.6195,0.7168,0.0079,0.2519,0.4885,0.3446,0.1834,0.547,0.0402,61,15,17,0.6559,0.1613,0.1828
"31e665c7cd9b2edb25fa695bed9c528c95ad0c64-3d89b10db979cb501c21bfb2052210dbbb127dbb","2013-08 -- 2013-11",312,152,84,76,0.4872,0.2692,0.2436,23,0.0737,0,0,31,100,90,43,235,0,108,0,471,0.131,0.8289,0.3449,0.2857,0.2391,0.2976,0.4,0.4444,0.5994,0.6795,0.6053,0.7312,0.0063,0.1843,0.4492,0.3754,0.1904,0.4405,0.0428,66,19,24,0.6055,0.1743,0.2202
"3d89b10db979cb501c21bfb2052210dbbb127dbb-12a7d23d528262ec1eca3c870fc19ef7d54ca417","2013-11 -- 2014-02",297,138,78,81,0.4646,0.2626,0.2727,34,0.1145,1,0.0063,27,96,82,48,185,2,82,0,356,0.1624,0.8803,0.4335,0.395,0.3776,0.3953,0.3077,0.4697,0.5455,0.6768,0.6256,0.6981,0.0068,0.2332,0.4723,0.4938,0.2294,0.5485,0.0412,58,24,24,0.5472,0.2264,0.2264
"12a7d23d528262ec1eca3c870fc19ef7d54ca417-28f32afd3fed07c7772b76faf731bb104810d934","2014-02 -- 2014-05",283,149,73,61,0.5265,0.258,0.2155,33,0.1166,3,0.0224,32,85,73,41,158,0,78,0,265,0.1821,0.871,0.4034,0.4915,0.4751,0.4903,0.427,0.3932,0.5265,0.6996,0.6524,0.694,0.0077,0.2202,0.4757,0.427,0.2726,0.4282,0.0491,54,22,19,0.5684,0.2316,0.2
"28f32afd3fed07c7772b76faf731bb104810d934-4cceceff155a6d43cb0ac312d3055390cfc75201","2014-05 -- 2014-08",260,117,82,61,0.45,0.3154,0.2346,37,0.1423,2,0.014,27,90,73,37,165,0,70,0,252,0.0968,0.8645,0.4825,0.4188,0.4114,0.4658,0.4615,0.4275,0.5115,0.6538,0.5899,0.7413,0.0071,0.3197,0.4874,0.3957,0.2873,0.4629,0.0338,60,24,13,0.6186,0.2474,0.134
"4cceceff155a6d43cb0ac312d3055390cfc75201-8ed994f7acd0988a7399e89c2c8f58309754c1c1","2014-08 -- 2014-11",295,139,96,60,0.4712,0.3254,0.2034,45,0.1525,3,0.0192,30,100,80,45,338,0,105,0,406,0.0492,0.7377,0.3532,0.3746,0.3789,0.4183,0.3659,0.4184,0.6237,0.661,0.598,0.7115,0.0068,0.1903,0.3967,0.4265,0.2595,0.3818,0.0386,65,30,15,0.5909,0.2727,0.1364
"8ed994f7acd0988a7399e89c2c8f58309754c1c1-921dd85c7a90bf7432d50bd9f631d065f5281d34","2014-11 -- 2015-02",237,121,70,46,0.5105,0.2954,0.1941,20,0.0844,4,0.0345,29,62,54,31,88,0,79,0,118,0.0484,0.9052,0.5451,0.5294,0.7284,0.6567,0.7632,0.4966,0.5527,0.7384,0.6766,0.7328,0.0086,0.2877,0.4455,0.1761,0.1332,0.5567,0.0503,50,27,4,0.6173,0.3333,0.0494
"921dd85c7a90bf7432d50bd9f631d065f5281d34-661f604fbc8d16151f1d523b0c140d610329f67b","2015-02 -- 2015-05",285,104,124,57,0.3649,0.4351,0.2,34,0.1193,4,0.0221,33,81,63,42,271,0,80,2,327,0.109,0.8783,0.3142,0.2357,0.3217,0.359,0.4384,0.4146,0.5509,0.7158,0.6087,0.768,0.0054,0.1987,0.4499,0.5256,0.1274,0.5555,0.0395,48,27,15,0.5333,0.3,0.1667
"661f604fbc8d16151f1d523b0c140d610329f67b-4ccf5c6f4a411d367749565323f7c7fd469b025e","2015-05 -- 2015-08",230,122,60,48,0.5304,0.2609,0.2087,24,0.1043,4,0.037,28,75,69,31,90,2,84,0,111,0.119,0.8829,0.4971,0.7128,0.4615,0.3788,0.6849,0.4297,0.5652,0.6739,0.5941,0.713,0.0087,0.2523,0.5465,0.2267,0.1013,0.6294,0.0649,60,22,9,0.6593,0.2418,0.0989
"4ccf5c6f4a411d367749565323f7c7fd469b025e-8ff36d48978cbdc848053338a7cec3d990da4ff2","2015-08 -- 2015-11",264,100,108,56,0.3788,0.4091,0.2121,27,0.1023,3,0.0183,30,79,63,36,169,0,50,0,219,0.0798,0.867,0.3117,0.2132,0.4805,0.5303,0.5075,0.4416,0.4356,0.7008,0.5962,0.7805,0.0056,0.1535,0.3583,0.3331,0.2238,0.5131,0.0333,52,25,11,0.5909,0.2841,0.125
