range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"5eaa30e47c91716006b755b7c211d82bf81f7fc1-e3ac3563d60e810f4ca49af84e1dceacbf91f1a4","2013-05 -- 2013-08",313,75,216,22,0.2396,0.6901,0.0703,62,0.1981,4,0.0168,1,63,44,30,84,0,4,0,96,0.0495,0.9579,0,0,0,0,0,0,0.2141,0.7987,0.5464,0.8739,0.0023,0.0265,0.0709,0.589,0.5418,0.5786,0.006,34,20,10,0.5312,0.3125,0.1562,0.268370607028754,0.012779552715654952,0.0,0.30670926517571884,0.3888888888888889,0.018518518518518517,0.0,0.4444444444444444
"e3ac3563d60e810f4ca49af84e1dceacbf91f1a4-28a6a7ea3bd627a8b6693a4cb8305b89467592b4","2013-08 -- 2013-11",266,45,202,19,0.1692,0.7594,0.0714,67,0.2519,4,0.0181,1,49,33,19,59,0,7,0,60,0,0.96,0.7703,0.7407,0.7857,0.8571,0.8163,0.1256,0.1767,0.8158,0.4844,0.914,0.0023,0.0337,0.0852,0.4606,0.5249,0.3675,0.0054,31,17,2,0.62,0.34,0.04,0.22180451127819548,0.02631578947368421,0.0,0.22556390977443608,0.29207920792079206,0.034653465346534656,0.0,0.297029702970297
"28a6a7ea3bd627a8b6693a4cb8305b89467592b4-4b95405818fee8a07ff0995229eed7d759422dc4","2013-11 -- 2014-02",319,64,232,23,0.2006,0.7273,0.0721,48,0.1505,6,0.0235,1,49,28,37,147,0,26,0,167,0.0565,0.9346,0.506,0.521,0.6531,0.8197,0.4286,0.1419,0.3197,0.8464,0.6782,0.8549,0.0027,0.0642,0.1335,0.4458,0.103,0.3391,0.0112,20,29,8,0.3509,0.5088,0.1404,0.4608150470219436,0.08150470219435736,0.0,0.5235109717868338,0.6336206896551724,0.11206896551724138,0.0,0.7198275862068966
"4b95405818fee8a07ff0995229eed7d759422dc4-3f829a83943a75a2bf3a407d74eac7f7f2788b17","2014-02 -- 2014-05",316,52,246,18,0.1646,0.7785,0.057,64,0.2025,8,0.0303,1,72,35,47,148,0,10,0,157,0.0063,0.9363,0.737,0.7322,0.4298,0.6032,0.4048,0.2265,0.3513,0.7722,0.5,0.822,0.0028,0.063,0.1106,0.6298,0.4053,0.6005,0.0068,30,42,5,0.3896,0.5455,0.0649,0.46835443037974683,0.03164556962025317,0.0,0.49683544303797467,0.6016260162601627,0.04065040650406504,0.0,0.6382113821138211
"3f829a83943a75a2bf3a407d74eac7f7f2788b17-f9a84bb2361d7ec2147ca9e104f66ceb159a4039","2014-05 -- 2014-08",299,63,218,18,0.2107,0.7291,0.0602,53,0.1773,1,0.0042,1,63,33,40,205,0,2,0,217,0.0046,0.9126,0.7577,0.792,0.7111,0.7059,0.6667,0.2704,0.3612,0.7893,0.5926,0.8305,0.0037,0.1248,0.1374,0.4778,0.5056,0.469,0.0103,29,36,4,0.4203,0.5217,0.058,0.68561872909699,0.006688963210702341,0.0,0.725752508361204,0.9403669724770642,0.009174311926605505,0.0,0.9954128440366973
"f9a84bb2361d7ec2147ca9e104f66ceb159a4039-a668b09ee387bf241a3481a764a18a5c8a4df8cd","2014-08 -- 2014-11",275,66,183,26,0.24,0.6655,0.0945,46,0.1673,4,0.0191,1,69,48,33,133,0,9,0,151,0.0131,0.9297,0.7387,0.7685,0.5606,0.4938,0.6849,0.2783,0.3055,0.7491,0.4783,0.8421,0.0036,0.0825,0.119,0.4468,0.5854,0.4377,0.0088,41,26,7,0.5541,0.3514,0.0946,0.48363636363636364,0.03272727272727273,0.0,0.5490909090909091,0.726775956284153,0.04918032786885246,0.0,0.825136612021858
"a668b09ee387bf241a3481a764a18a5c8a4df8cd-82d12eb9045cba57172ec7cc0786d0f72a8b711f","2014-11 -- 2015-02",328,59,243,26,0.1799,0.7409,0.0793,52,0.1585,5,0.0186,1,69,35,46,190,2,23,0,212,0.0185,0.9238,0.6169,0.5983,0.6087,0.8434,0.4304,0.2097,0.378,0.7896,0.5882,0.829,0.0031,0.0844,0.1438,0.4527,0.4146,0.4233,0.0091,29,40,6,0.3867,0.5333,0.08,0.5792682926829268,0.0701219512195122,0.0,0.6463414634146342,0.7818930041152263,0.09465020576131687,0.0,0.8724279835390947
"82d12eb9045cba57172ec7cc0786d0f72a8b711f-d4cfd543084f076af86e1716a7a5ef7dc30a7f17","2015-02 -- 2015-05",298,52,231,15,0.1745,0.7752,0.0503,58,0.1946,2,0.0081,1,78,38,49,172,0,4,0,181,0,0.9494,0.7572,0.7612,0.5714,0.7123,0.5474,0.2996,0.3758,0.7383,0.4328,0.8008,0.0032,0.1073,0.1009,0.6099,0.7167,0.5922,0.0068,31,42,7,0.3875,0.525,0.0875,0.5771812080536913,0.013422818791946308,0.0,0.6073825503355704,0.7445887445887446,0.017316017316017316,0.0,0.7835497835497836
"d4cfd543084f076af86e1716a7a5ef7dc30a7f17-0a888f0c0dba72752cf287b4bdb16a28accde9bf","2015-05 -- 2015-08",256,54,186,16,0.2109,0.7266,0.0625,36,0.1406,1,0.005,1,60,32,34,160,0,2,0,167,0.006,0.9229,0.7798,0.8036,0.7971,0.8,0.8675,0.287,0.3359,0.7656,0.5429,0.8317,0.0039,0.0801,0.1082,0.5216,0.5412,0.5124,0.0095,28,30,4,0.4516,0.4839,0.0645,0.625,0.0078125,0.0,0.65234375,0.8602150537634409,0.010752688172043012,0.0,0.8978494623655914
"0a888f0c0dba72752cf287b4bdb16a28accde9bf-899b6bbef371b9b6939d5595e4bcabcec1d69523","2015-08 -- 2015-11",244,44,187,13,0.1803,0.7664,0.0533,45,0.1844,5,0.025,1,53,27,34,124,0,4,0,134,0.0074,0.9263,0.748,0.7164,0.8319,0.8814,0.7647,0.2727,0.3197,0.7828,0.5263,0.83,0.0033,0.0633,0.1041,0.5313,0.3966,0.5423,0.007,20,27,7,0.3704,0.5,0.1296,0.5081967213114754,0.01639344262295082,0.0,0.5491803278688525,0.6631016042780749,0.0213903743315508,0.0,0.7165775401069518
