range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"e230409c13de167b0f4010464c74328ff91d9043-bce786f070afe383d203c4d809ef69803330b340","2013-05 -- 2013-08",134,98,23,13,0.7313,0.1716,0.097,5,0.0373,0,0,1,48,48,0,0,0,29,0,0,1,1,0,0,0,0,0,0,0.2164,0.6418,0.5676,1,0.0123,0.1002,0.4446,0.181,0.181,0,0.1193,48,0,0,1,0,0,0.0,0.21641791044776118,0.0,0.0,0.0,1.2608695652173914,0.0,0.0
"bce786f070afe383d203c4d809ef69803330b340-2ce7b1269aebcc83ee433f4114779e54ee43f9f3","2013-08 -- 2013-11",111,73,26,12,0.6577,0.2342,0.1081,11,0.0991,0,0,1,34,34,1,0,0,11,0,0,1,1,0.6531,0.5405,0.6585,0.6585,0,0.2,0.0991,0.6937,0.6,0.9737,0.0138,0.1124,0.36,0.1276,0.151,-0.5,0.0855,34,1,0,0.9714,0.0286,0,0.0,0.0990990990990991,0.0,0.0,0.0,0.4230769230769231,0.0,0.0
"2ce7b1269aebcc83ee433f4114779e54ee43f9f3-4ba93e03f992dec6161ded59a4da911ab0ff7816","2013-11 -- 2014-02",100,58,31,11,0.58,0.31,0.11,8,0.08,0,0,1,29,29,0,0,0,12,0,0,1,1,0.5877,0.475,0.6349,0.6349,2,0.0806,0.12,0.71,0.5797,1,0.0129,0.1089,0.2204,0.5212,0.5212,0,0.0523,29,0,0,1,0,0,0.0,0.12,0.0,0.0,0.0,0.3870967741935484,0.0,0.0
"4ba93e03f992dec6161ded59a4da911ab0ff7816-b3166d10b6cd5d61d1b10a4d308331d4a80aa411","2014-02 -- 2014-05",123,94,18,11,0.7642,0.1463,0.0894,8,0.065,0,0,1,46,46,0,0,0,5,0,0,1,1,0.4484,0.8169,0.32,0.32,0,0.04,0.0407,0.626,0.5619,1,0.0155,0.1886,0.2682,0.4241,0.4241,0,0.0514,46,0,0,1,0,0,0.0,0.04065040650406504,0.0,0.0,0.0,0.2777777777777778,0.0,0.0
"b3166d10b6cd5d61d1b10a4d308331d4a80aa411-984025b2bd15b343181aea9c00a50ac1cd721ca1","2014-05 -- 2014-08",99,69,21,9,0.697,0.2121,0.0909,9,0.0909,0,0,1,37,37,0,0,0,6,0,0,1,1,0.7117,0.6441,0.747,0.747,0,0.038,0.0606,0.6263,0.5256,1,0.0148,0.1263,0.2525,0.5101,0.5101,0,0.0536,37,0,0,1,0,0,0.0,0.06060606060606061,0.0,0.0,0.0,0.2857142857142857,0.0,0.0
"984025b2bd15b343181aea9c00a50ac1cd721ca1-9266dee17c563c3394077e747c5037050cafcde2","2014-08 -- 2014-11",73,39,25,9,0.5342,0.3425,0.1233,8,0.1096,0,0,1,21,21,0,0,0,11,0,0,1,1,0.7791,0.5625,0.8276,0.8276,0,0.0597,0.1507,0.7123,0.5625,1,0.0151,0.0709,0.2848,0.3873,0.3873,0,0.0624,21,0,0,1,0,0,0.0,0.1506849315068493,0.0,0.0,0.0,0.44,0.0,0.0
"9266dee17c563c3394077e747c5037050cafcde2-b6cbee9d81320524aa2e8a3d80dbf2062dd43fd2","2014-11 -- 2015-02",80,44,30,6,0.55,0.375,0.075,7,0.0875,0,0,1,23,23,0,0,0,10,0,0,1,1,0.6405,0.6571,0.5455,0.5455,0,0.102,0.125,0.7125,0.54,1,0.0144,0.1058,0.2396,0.368,0.368,0,0.0516,23,0,0,1,0,0,0.0,0.125,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
"b6cbee9d81320524aa2e8a3d80dbf2062dd43fd2-e07a77f79a064d983703d90c965ccfbbc14daa3d","2015-02 -- 2015-05",78,45,22,11,0.5769,0.2821,0.141,4,0.0513,0,0,1,26,26,0,0,0,0,0,0,1,1,0.6709,0.6957,0.4898,0.4898,0,0.0755,0,0.6667,0.5357,1,0.0159,0.1188,0.2271,0.4224,0.4224,0,0.0586,26,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"e07a77f79a064d983703d90c965ccfbbc14daa3d-0ed745364891e4e5f78e51ac9f3aad111b5c7bb3","2015-05 -- 2015-08",80,45,27,8,0.5625,0.3375,0.1,5,0.0625,0,0,1,26,26,0,0,0,9,0,0,1,1,0.6709,0.6765,0.4615,0.4615,0,0,0.1125,0.675,0.5094,1,0.0141,0.0997,0.2133,0.3641,0.3641,0,0.0399,26,0,0,1,0,0,0.0,0.1125,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
"0ed745364891e4e5f78e51ac9f3aad111b5c7bb3-d4bfc59b781b465ef980cd7082462eb2cfe2c8b8","2015-08 -- 2015-11",52,15,34,3,0.2885,0.6538,0.0577,14,0.2692,0,0,1,9,9,0,0,0,4,0,0,1,1,0.8636,0.5556,1.0857,1.0857,0,0.1053,0.0769,0.8269,0.5,1,0.0094,0.0139,0.1621,0.1798,0.1798,0,0.0339,9,0,0,1,0,0,0.0,0.07692307692307693,0.0,0.0,0.0,0.11764705882352941,0.0,0.0
