range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"5c3d14295be7a2215b5256df214a847543ab580a-7f6ea48ae8d417bb68b736238920887e7d28ed08","2013-05 -- 2013-08",45,36,1,8,0.8,0.0222,0.1778,2,0.0444,0,0,2,19,19,3,1,0,18,0,3,0.7,0.8556,0,0,0,0,0,0,0.4667,0.5778,0.5682,0.6667,0.7539,0.4784,0.701,0.0138,0.0982,-0.3505,0.2081,17,1,2,0.85,0.05,0.1,0.022222222222222223,0.4,0.0,0.06666666666666667,1.0,18.0,0.0,3.0
"7f6ea48ae8d417bb68b736238920887e7d28ed08-04a6c1ce5421e4b19684373b8c87e23004192734","2013-08 -- 2013-11",51,41,0,10,0.8039,0,0.1961,2,0.0392,0,0,3,23,22,5,0,0,27,1,1,0.8571,0.9,0.3125,0.1053,0.1429,0.1463,0,0.6,0.5294,0.549,0.5686,0.5,0.7537,0.4253,0.6788,0.0051,0.0769,-0.3456,0.2212,18,1,4,0.7826,0.0435,0.1739,0.0,0.5294117647058824,0.0196078431372549,0.0196078431372549,NaN,Infinity,Infinity,Infinity
"04a6c1ce5421e4b19684373b8c87e23004192734-255bbf117b70af6246911ca9fa6d89838c982499","2013-11 -- 2014-02",58,49,3,6,0.8448,0.0517,0.1034,0,0,0,0,2,23,23,3,1,0,31,0,1,0.875,0.9167,0.3119,0.1053,0.1739,0.1778,0.5,0.6471,0.5517,0.6034,0.5818,0.6667,0.1492,0.4886,0.6546,0.0307,0.0382,-0.336,0.17,20,0,3,0.8696,0,0.1304,0.017241379310344827,0.5344827586206896,0.0,0.017241379310344827,0.3333333333333333,10.333333333333334,0.0,0.3333333333333333
"255bbf117b70af6246911ca9fa6d89838c982499-c2210512697fb91153e380803dc9a88bdaea01b3","2014-02 -- 2014-05",50,41,3,6,0.82,0.06,0.12,0,0,0,0,3,20,20,4,3,0,10,0,4,0.6,0.7333,0.5,0.2222,0.4186,0.4186,0.2857,0.6296,0.26,0.6,0.5745,0.5556,0.2422,0.3923,0.5992,0.0869,0.1721,-0.2759,0.1355,17,1,3,0.8095,0.0476,0.1429,0.06,0.2,0.0,0.08,1.0,3.3333333333333335,0.0,1.3333333333333333
"c2210512697fb91153e380803dc9a88bdaea01b3-91ad2aa898aefe1f3d61be14970ad7830f9e2f7e","2014-05 -- 2014-08",45,38,0,7,0.8444,0,0.1556,0,0,0,0,2,20,20,4,0,0,12,0,1,0.9,0.9286,0.4,0.375,0.35,0.35,0.25,0.3684,0.2889,0.5556,0.5556,0.4286,0.1473,0.4066,0.6657,0.0158,0.146,-0.453,0.1525,17,1,3,0.8095,0.0476,0.1429,0.0,0.26666666666666666,0.0,0.022222222222222223,NaN,Infinity,NaN,Infinity
"91ad2aa898aefe1f3d61be14970ad7830f9e2f7e-71276be371620d95a3091aff14148f6359ac792f","2014-08 -- 2014-11",49,38,2,9,0.7755,0.0408,0.1837,2,0.0408,0,0,3,19,19,3,0,0,21,0,1,0.875,0.9773,0.3617,0.2222,0.5128,0.5128,0.2857,0.3529,0.4694,0.6122,0.5957,0.7273,0.1441,0.3914,0.6662,0.0161,0.0751,-0.3535,0.1879,16,0,3,0.8421,0,0.1579,0.0,0.42857142857142855,0.0,0.02040816326530612,0.0,10.5,0.0,0.5
"71276be371620d95a3091aff14148f6359ac792f-7c3b2006fbeeebe0b219e9a4eb967dc866333d16","2014-11 -- 2015-02",46,37,0,9,0.8043,0,0.1957,0,0,0,0,2,20,20,4,0,0,25,1,0,1,1,0.5474,0.4,0.4103,0.4103,0,0.5385,0.5435,0.5652,0.5652,0.5556,0.0964,0.3985,0.6,0.0151,0.0832,0.0079,0.1333,16,0,4,0.8,0,0.2,0.0,0.5434782608695652,0.021739130434782608,0.0,NaN,Infinity,Infinity,NaN
"7c3b2006fbeeebe0b219e9a4eb967dc866333d16-97f8483c938679c391c1c0506b7e0e814e36b412","2015-02 -- 2015-05",43,33,0,10,0.7674,0,0.2326,1,0.0233,1,0.1,3,18,18,5,0,0,6,0,1,0.9091,0.9727,0.4494,0.1053,0.3684,0.3684,0.4444,0.6,0.186,0.5814,0.5814,0.5,0.1513,0.439,0.6661,0.0111,0.0243,-0.323,0.1672,14,1,4,0.7368,0.0526,0.2105,0.0,0.13953488372093023,0.0,0.023255813953488372,NaN,Infinity,NaN,Infinity
"97f8483c938679c391c1c0506b7e0e814e36b412-2baf4519eb26b2626318ead7b094052e584ba4df","2015-05 -- 2015-08",35,26,0,9,0.7429,0,0.2571,0,0,0,0,2,15,15,3,0,0,10,0,1,0.8571,0.9524,0.4872,0.2105,0.303,0.303,0.5,0.3158,0.3429,0.5714,0.5714,0.6667,0.1012,0.3709,0.5571,0.0611,0.1622,-0.4037,0.1782,13,1,2,0.8125,0.0625,0.125,0.0,0.2857142857142857,0.0,0.02857142857142857,NaN,Infinity,NaN,Infinity
"2baf4519eb26b2626318ead7b094052e584ba4df-6a1d3c7542fd4abf532c75d25a929f122a84df46","2015-08 -- 2015-11",50,39,2,9,0.78,0.04,0.18,3,0.06,0,0,3,20,19,4,2,0,19,0,6,0.5714,0.7987,0.2353,0.1,0.1714,0.1765,0,0.3,0.42,0.6,0.6042,0.6364,0.0933,0.2686,0.6106,0.1264,0.0816,0.0091,0.1649,16,1,3,0.8,0.05,0.15,0.04,0.38,0.0,0.12,1.0,9.5,0.0,3.0
