range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"91a2a059f791a00e11aa00d916cc90f432217cb2-5a4410d8e8f559e34b60bac144445fcaea417112","2013-05 -- 2013-08",119,101,14,4,0.8487,0.1176,0.0336,5,0.042,1,0.0556,1,44,42,5,8,0,27,0,8,0.2727,0.6566,0,0,0,0,0,0,0.2773,0.6303,0.6,0.7222,0.0182,0.4752,0.5486,0.2659,0.3012,-0.3823,0.0362,40,3,2,0.8889,0.0667,0.0444,0.06722689075630252,0.226890756302521,0.0,0.06722689075630252,0.5714285714285714,1.9285714285714286,0.0,0.5714285714285714
"5a4410d8e8f559e34b60bac144445fcaea417112-87ef2a8f89a05cd02155ee00fd2d24a28f9b0b07","2013-08 -- 2013-11",101,89,10,2,0.8812,0.099,0.0198,3,0.0297,1,0.0833,1,44,42,4,7,0,31,0,7,0.125,0.4688,0.7818,1,0.5909,0.5714,0.8889,0.3256,0.3663,0.5644,0.5385,0.6667,0.0202,0.5336,0.5765,0.3653,0.2992,0.0525,0.0335,40,2,2,0.9091,0.0455,0.0455,0.06930693069306931,0.3069306930693069,0.0,0.06930693069306931,0.7,3.1,0.0,0.7
"87ef2a8f89a05cd02155ee00fd2d24a28f9b0b07-184d796b67bc151e03fd01696b819519ddb09b82","2013-11 -- 2014-01",72,54,14,4,0.75,0.1944,0.0556,5,0.0694,2,0.1111,1,28,26,5,8,0,23,1,8,0.2727,0.6717,0.9364,0.5333,1,1,0.6667,0.3951,0.4167,0.6111,0.5517,0.7222,0.0323,0.5469,0.5888,0.1625,0.1838,0.0112,0.045,25,4,1,0.8333,0.1333,0.0333,0.1111111111111111,0.3194444444444444,0.013888888888888888,0.1111111111111111,0.5714285714285714,1.6428571428571428,0.07142857142857142,0.5714285714285714
"184d796b67bc151e03fd01696b819519ddb09b82-185a246bd5f096966624e352cdcc08eab00f9181","2014-01 -- 2014-05",110,91,17,2,0.8273,0.1545,0.0182,5,0.0455,2,0.1053,1,47,44,4,9,0,27,0,9,0,0.6784,0.5275,0.7568,0.4533,0.4857,0.8889,0.3958,0.3,0.5727,0.5269,0.7895,0.0135,0.3858,0.4686,0.3403,0.3529,0.0443,0.0269,43,3,1,0.9149,0.0638,0.0213,0.08181818181818182,0.24545454545454545,0.0,0.08181818181818182,0.5294117647058824,1.588235294117647,0.0,0.5294117647058824
"185a246bd5f096966624e352cdcc08eab00f9181-23e5092e9a40d4693d4f438bf25dc173a6e60049","2014-05 -- 2014-08",87,64,19,4,0.7356,0.2184,0.046,7,0.0805,1,0.0435,1,28,26,6,13,0,24,0,13,0,0.5318,0.9036,0.6667,1.04,1.0286,0.6,0.2921,0.4023,0.6782,0.6176,0.7391,0.0358,0.5858,0.6656,0.2556,0.217,-0.2872,0.0553,25,5,1,0.8065,0.1613,0.0323,0.14942528735632185,0.27586206896551724,0.0,0.14942528735632185,0.6842105263157895,1.263157894736842,0.0,0.6842105263157895
"23e5092e9a40d4693d4f438bf25dc173a6e60049-049ca4f7cade58056114124253a61f667cf779a4","2014-08 -- 2014-11",76,59,12,5,0.7763,0.1579,0.0658,7,0.0921,0,0,1,26,25,3,5,0,4,0,6,0,0.7255,0.7975,0.95,0.5926,0.549,1.1111,0.4615,0.0921,0.6579,0.6094,0.8235,0.0347,0.5572,0.5639,0.3841,0.3534,-0.3099,0.0495,23,1,2,0.8846,0.0385,0.0769,0.06578947368421052,0.05263157894736842,0.0,0.07894736842105263,0.4166666666666667,0.3333333333333333,0.0,0.5
"049ca4f7cade58056114124253a61f667cf779a4-73556c2131f8a98e9c42d14dd7f7d66b29fc8865","2014-11 -- 2015-02",85,61,21,3,0.7176,0.2471,0.0353,5,0.0588,0,0,1,31,29,5,7,0,6,0,7,0.125,0.7292,0.6957,0.6341,0.5965,0.5926,0.5,0.0893,0.1647,0.6353,0.5469,0.7917,0.0204,0.3729,0.4318,0.3195,0.2852,0.0872,0.0325,27,3,2,0.8438,0.0938,0.0625,0.08235294117647059,0.07058823529411765,0.0,0.08235294117647059,0.3333333333333333,0.2857142857142857,0.0,0.3333333333333333
"73556c2131f8a98e9c42d14dd7f7d66b29fc8865-c3aa6e5c4bf84609db5467837b398a9de3b3c6a1","2015-02 -- 2015-05",66,44,20,2,0.6667,0.303,0.0303,9,0.1364,1,0.0455,1,29,23,7,17,0,6,0,17,0.0556,0.4672,0.9272,0.8261,0.8333,0.8846,0.6667,0.1571,0.2879,0.5606,0.5,0.6818,0.0374,0.6024,0.5767,0.3156,0.3247,0.2087,0.0387,22,6,1,0.7586,0.2069,0.0345,0.25757575757575757,0.09090909090909091,0.0,0.25757575757575757,0.85,0.3,0.0,0.85
"c3aa6e5c4bf84609db5467837b398a9de3b3c6a1-d7130c1ebc548998e8b0ab94410e1a751b270396","2015-05 -- 2015-08",53,45,7,1,0.8491,0.1321,0.0189,2,0.0377,0,0,1,20,20,2,3,0,11,0,3,0,0.5,0.9244,1.4,0.9388,0.7907,1.3333,0.3091,0.2642,0.6226,0.5652,0.75,0.0818,0.6789,0.7798,0.291,0.1837,-0.3963,0.0856,19,1,1,0.9048,0.0476,0.0476,0.05660377358490566,0.20754716981132076,0.0,0.05660377358490566,0.42857142857142855,1.5714285714285714,0.0,0.42857142857142855
"d7130c1ebc548998e8b0ab94410e1a751b270396-b507c9ac5ec1a3b843c9edddbcca88af47a6f3ae","2015-08 -- 2015-10",68,46,19,3,0.6765,0.2794,0.0441,8,0.1176,3,0.1364,1,20,18,7,8,0,29,0,8,0.1111,0.6717,0.562,0.4667,0.5,0.5263,0.2222,0.3529,0.5588,0.7059,0.6327,0.6818,0.0267,0.4477,0.59,0.2227,0.1169,0.0728,0.0518,16,5,2,0.6957,0.2174,0.087,0.11764705882352941,0.4264705882352941,0.0,0.11764705882352941,0.42105263157894735,1.5263157894736843,0.0,0.42105263157894735
"b507c9ac5ec1a3b843c9edddbcca88af47a6f3ae-b22da52c781d4d03e57f3674afa0d1473f06a33b","2015-10 -- 2016-01",63,47,15,1,0.746,0.2381,0.0159,3,0.0476,0,0,1,22,21,2,2,0,4,0,2,0,0.8125,0.8244,1,0.5238,0.4615,1.3333,0.5556,0.0952,0.6508,0.5625,0.875,0.0245,0.3432,0.4352,0.3404,0.3108,-0.398,0.0486,20,1,1,0.9091,0.0455,0.0455,0.031746031746031744,0.06349206349206349,0.0,0.031746031746031744,0.13333333333333333,0.26666666666666666,0.0,0.13333333333333333
"b22da52c781d4d03e57f3674afa0d1473f06a33b-3dd1b182438b964476a4ff084d13e5ed37bb4a92","2016-01 -- 2016-04",68,53,13,2,0.7794,0.1912,0.0294,7,0.1029,1,0.0667,1,24,22,4,5,0,2,0,5,0,0.7067,0.7328,0.9032,0.5652,0.6047,0.3333,0.1042,0.1324,0.6471,0.6,0.7333,0.0291,0.3446,0.3661,0.3688,0.3506,0.1219,0.0518,21,3,1,0.84,0.12,0.04,0.07352941176470588,0.029411764705882353,0.0,0.07352941176470588,0.38461538461538464,0.15384615384615385,0.0,0.38461538461538464
