range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"38fffc92c219dc86925066ef997f6d7b7122043a-c62add3ea6f4d3f9fc29af13d0c2ced577912d48","2013-04 -- 2013-07",49,48,1,0,0.9796,0.0204,0,0,0,0,0,1,23,23,0,0,0,21,0,0,1,1,0,0,0,0,0,0,0.4286,0.5306,0.5208,1,0.1163,0.852,0.844,0.0537,0.0537,0,0.0519,23,0,0,1,0,0,0.0,0.42857142857142855,0.0,0.0,0.0,21.0,0.0,0.0
"c62add3ea6f4d3f9fc29af13d0c2ced577912d48-87b523356131c90e5de550c8f90c9b6f658492f3","2013-07 -- 2013-10",38,37,1,0,0.9737,0.0263,0,0,0,0,0,1,15,15,0,0,0,22,1,0,1,1,0.8966,0,1,1,0,0.4103,0.5789,0.6053,0.5946,1,0.3177,0.8503,0.7895,0.1438,0.1438,0,0.0754,15,0,0,1,0,0,0.0,0.5789473684210527,0.02631578947368421,0.0,0.0,22.0,1.0,0.0
"87b523356131c90e5de550c8f90c9b6f658492f3-545bfb3a1b7ab736836989dd24f23f8149da8f9b","2013-10 -- 2014-01",27,26,1,0,0.963,0.037,0,0,0,0,0,1,11,11,0,0,0,0,0,0,1,1,0.8923,0,0.8462,0.8462,0,0.6207,0,0.5926,0.5769,1,0.1242,0.7086,0.7678,0.1924,0.1924,0,0.1168,11,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"545bfb3a1b7ab736836989dd24f23f8149da8f9b-4ba25d3796a144ced29f598d342ab23ff514bc3a","2014-01 -- 2014-04",42,40,2,0,0.9524,0.0476,0,0,0,0,0,1,17,17,0,0,0,2,0,0,1,1,0.6377,0,0.5714,0.5714,0,0,0.0476,0.5952,0.575,1,0.1785,0.8689,0.8618,0.0885,0.0885,0,0.065,17,0,0,1,0,0,0.0,0.047619047619047616,0.0,0.0,0.0,1.0,0.0,0.0
"4ba25d3796a144ced29f598d342ab23ff514bc3a-c2456dcf5179464b324102385e34b919c40f9516","2014-04 -- 2014-07",36,34,2,0,0.9444,0.0556,0,0,0,0,0,1,18,17,1,1,0,18,0,1,0,0,0.8462,0.5,0.7429,0.8235,0,0.0303,0.5556,0.5,0.5,0.5,0.0914,0.7595,0.8175,0.5018,0.086,-0.5,0.0683,17,1,0,0.9444,0.0556,0,0.027777777777777776,0.5,0.0,0.027777777777777776,0.5,9.0,0.0,0.5
"c2456dcf5179464b324102385e34b919c40f9516-69c22ec1e9a86816ead9d3fed4096d89658bb1ee","2014-07 -- 2014-09",31,29,2,0,0.9355,0.0645,0,1,0.0323,0,0,1,13,13,0,0,0,0,0,0,1,1,0.7463,0.5,0.8387,0.8667,2,0.56,0,0.5806,0.5517,1,0.1833,0.8366,0.8473,0.0446,0.0446,0,0.086,13,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"69c22ec1e9a86816ead9d3fed4096d89658bb1ee-280b5226b9c3ff25b27948f14d75a5e7a79323aa","2014-09 -- 2014-12",31,30,1,0,0.9677,0.0323,0,0,0,0,0,1,14,14,0,0,0,0,0,0,1,1,0.7742,0.6667,0.8148,0.8148,0,0,0,0.5484,0.5333,1,0.3305,0.8686,0.843,0.0768,0.0768,0,0.0903,14,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"280b5226b9c3ff25b27948f14d75a5e7a79323aa-cb7c705977a43a8b2ee74cf708cc73b546e52911","2014-12 -- 2015-03",34,33,1,0,0.9706,0.0294,0,0,0,0,0,1,15,15,0,0,0,15,0,0,1,1,0.8,0,0.6897,0.6897,0,0,0.4412,0.5588,0.5455,1,0.3341,0.9033,0.861,0.0888,0.0888,0,0.0784,15,0,0,1,0,0,0.0,0.4411764705882353,0.0,0.0,0.0,15.0,0.0,0.0
"cb7c705977a43a8b2ee74cf708cc73b546e52911-b1c82b797e2a5a4b2bb43b5c8e2a8fc6023a43de","2015-03 -- 2015-06",29,28,1,0,0.9655,0.0345,0,0,0,0,0,1,16,16,0,0,0,16,0,0,1,1,0.8889,0,0.7097,0.7097,0,0.4643,0.5517,0.4483,0.4286,1,0.1264,0.7857,0.8214,0.0611,0.0611,0,0.0714,16,0,0,1,0,0,0.0,0.5517241379310345,0.0,0.0,0.0,16.0,0.0,0.0
"b1c82b797e2a5a4b2bb43b5c8e2a8fc6023a43de-4027fe1778dd0dc6a56f8fa53fb82a1f6320ea2f","2015-06 -- 2015-08",22,21,1,0,0.9545,0.0455,0,0,0,0,0,1,8,8,0,0,0,0,0,0,1,1,0.9804,0,1.25,1.25,0,0.56,0,0.6364,0.619,1,0.1284,0.6615,0.7229,0.0471,0.0471,0,0.1342,8,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
