range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"21c12b824a07be22a24547904b50ff022db11dd7-b647c27b02fdb549537c4de9a4ab044f7bda72ba","2013-05 -- 2013-08",30,12,16,2,0.4,0.5333,0.0667,4,0.1333,0,0,1,10,7,4,9,0,8,0,10,0,0.5667,0,0,0,0,0,0,0.5333,0.6667,0.5,0.7778,0.0503,0.4264,0.5609,0.018,0.0921,-0.2949,0.0598,6,3,1,0.6,0.3,0.1,0.3,0.26666666666666666,0.0,0.3333333333333333,0.5625,0.5,0.0,0.625
"b647c27b02fdb549537c4de9a4ab044f7bda72ba-c438e739a8a593d75060cf7b01546e32fb4df4c3","2013-08 -- 2013-11",41,25,11,5,0.6098,0.2683,0.122,5,0.122,0,0,1,13,13,3,3,0,2,0,4,0.3333,0.7917,0.4789,0.6471,0.5217,0.2,0.8571,0.5294,0.1951,0.6829,0.5667,0.8125,0.0482,0.501,0.589,0.2193,0.2487,-0.305,0.061,10,0,3,0.7692,0,0.2308,0.07317073170731707,0.04878048780487805,0.0,0.0975609756097561,0.2727272727272727,0.18181818181818182,0.0,0.36363636363636365
"c438e739a8a593d75060cf7b01546e32fb4df4c3-0943d3cb33e2c28afb8252759e7a2313c9ec8ce4","2013-11 -- 2014-02",56,18,33,5,0.3214,0.5893,0.0893,10,0.1786,2,0.0526,1,16,11,9,20,0,0,0,22,0.12,0.8179,0.4948,0.2222,0.4828,0.5833,0,0.0833,0.2857,0.7143,0.5217,0.7632,0.0225,0.2897,0.4377,0.3263,0.4208,0.29,0.0351,7,5,4,0.4375,0.3125,0.25,0.35714285714285715,0.0,0.0,0.39285714285714285,0.6060606060606061,0.0,0.0,0.6666666666666666
"0943d3cb33e2c28afb8252759e7a2313c9ec8ce4-e002340e508af36e50615182785130a6320b08e8","2014-02 -- 2014-05",59,29,26,4,0.4915,0.4407,0.0678,7,0.1186,2,0.0667,1,18,13,7,20,0,19,0,20,0.0909,0.7742,0.5739,0.7059,0.5294,0.4167,0.75,0.2727,0.5085,0.6949,0.6061,0.7667,0.0228,0.2669,0.505,0.0771,0.0168,0.1076,0.0468,11,5,2,0.6111,0.2778,0.1111,0.3389830508474576,0.3220338983050847,0.0,0.3389830508474576,0.7692307692307693,0.7307692307692307,0.0,0.7692307692307693
"e002340e508af36e50615182785130a6320b08e8-a87619ce63ad464be65c9543040a90e3843f7171","2014-05 -- 2014-08",58,30,23,5,0.5172,0.3966,0.0862,3,0.0517,0,0,1,22,16,8,22,0,14,0,22,0.1538,0.7706,0.7009,0.7931,0.5,0.3448,0.5333,0.5122,0.4483,0.6207,0.5429,0.7143,0.0285,0.3174,0.4797,0.2092,0.0312,0.3702,0.0641,13,5,3,0.619,0.2381,0.1429,0.3793103448275862,0.2413793103448276,0.0,0.3793103448275862,0.9565217391304348,0.6086956521739131,0.0,0.9565217391304348
"a87619ce63ad464be65c9543040a90e3843f7171-0fc24f6f74cda97895d56f708866791dd411b00b","2014-08 -- 2014-11",41,19,18,4,0.4634,0.439,0.0976,1,0.0244,0,0,1,13,11,4,7,0,4,0,7,0.125,0.8636,0.8687,0.88,0.8571,0.8148,1,0.4419,0.2439,0.6829,0.5217,0.8182,0.0296,0.1782,0.4671,0.306,0.0592,0.3247,0.0829,10,3,1,0.7143,0.2143,0.0714,0.17073170731707318,0.0975609756097561,0.0,0.17073170731707318,0.3888888888888889,0.2222222222222222,0.0,0.3888888888888889
"0fc24f6f74cda97895d56f708866791dd411b00b-3ddfb4a9cc73fc9fc11576a83da9449630f6f634","2014-11 -- 2015-02",48,24,20,4,0.5,0.4167,0.0833,7,0.1458,0,0,1,13,11,5,9,0,0,0,9,0.1818,0.8447,0.5843,0.6522,0.6154,0.6364,0.6667,0.2308,0.2083,0.7292,0.6071,0.7917,0.0261,0.2479,0.4149,0.1743,0.2868,0.1573,0.0532,8,2,3,0.6154,0.1538,0.2308,0.1875,0.0,0.0,0.1875,0.45,0.0,0.0,0.45
"3ddfb4a9cc73fc9fc11576a83da9449630f6f634-a6fa3ca99a379912167c45b78a8d03ad23fa6d33","2015-02 -- 2015-05",43,16,23,4,0.3721,0.5349,0.093,8,0.186,1,0.037,1,16,10,8,15,0,0,0,15,0.0625,0.669,0.8352,0.8235,0.5517,0.5714,0.4615,0.1579,0.3256,0.6279,0.5,0.7037,0.0363,0.4418,0.5443,0.1251,0.3706,0.1284,0.0509,8,6,2,0.5,0.375,0.125,0.3488372093023256,0.0,0.0,0.3488372093023256,0.6521739130434783,0.0,0.0,0.6521739130434783
"a6fa3ca99a379912167c45b78a8d03ad23fa6d33-939ea06f458af6863734c5ebc2fd10a869cc7e5b","2015-05 -- 2015-08",48,20,23,5,0.4167,0.4792,0.1042,5,0.1042,3,0.1071,1,19,13,8,17,0,2,0,17,0.15,0.7196,0.7692,0.8364,0.6286,0.5217,0.875,0.3429,0.3333,0.6042,0.48,0.7143,0.037,0.5478,0.6321,0.4107,0.2445,0.3951,0.0488,11,6,2,0.5789,0.3158,0.1053,0.3541666666666667,0.041666666666666664,0.0,0.3541666666666667,0.7391304347826086,0.08695652173913043,0.0,0.7391304347826086
"939ea06f458af6863734c5ebc2fd10a869cc7e5b-baf700acdb58c1294b1d7a2403a3fde694ce50f0","2015-08 -- 2015-11",49,19,26,4,0.3878,0.5306,0.0816,8,0.1633,1,0.0333,1,15,11,4,9,0,0,0,9,0,0.8333,0.7423,0.6552,0.7647,0.6667,1.1667,0.25,0.1633,0.6939,0.5217,0.8667,0.0228,0.1787,0.2951,0.1591,0.2526,0.0457,0.0383,10,3,1,0.7143,0.2143,0.0714,0.1836734693877551,0.0,0.0,0.1836734693877551,0.34615384615384615,0.0,0.0,0.34615384615384615
"baf700acdb58c1294b1d7a2403a3fde694ce50f0-befe1550b9799321f0080456acfed3299f7944e3","2015-11 -- 2016-02",42,19,20,3,0.4524,0.4762,0.0714,4,0.0952,2,0.087,1,15,11,5,8,0,4,0,8,0.1111,0.7971,0.8571,0.8679,0.7333,0.6364,0.6667,0.1282,0.2857,0.6429,0.5,0.7826,0.0309,0.3011,0.3937,0.3873,0.441,0.2668,0.0453,9,3,2,0.6429,0.2143,0.1429,0.19047619047619047,0.09523809523809523,0.0,0.19047619047619047,0.4,0.2,0.0,0.4
"befe1550b9799321f0080456acfed3299f7944e3-31a0132a6877a76bc9217313bce41327ec6f4a2f","2016-02 -- 2016-05",45,22,17,6,0.4889,0.3778,0.1333,8,0.1778,1,0.0435,1,15,13,6,15,0,2,0,18,0.1818,0.7549,0.5977,0.6087,0.6667,0.5,0.5455,0.2308,0.2667,0.6667,0.5357,0.7391,0.0363,0.2969,0.3889,0.2921,0.4227,0.3031,0.0657,9,2,4,0.6,0.1333,0.2667,0.3333333333333333,0.044444444444444446,0.0,0.4,0.8823529411764706,0.11764705882352941,0.0,1.0588235294117647
