"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"32e44bcf45ee0f4a345ccaedda1d45079e8186ed-d2dbc3f69c69e5933e7b3da429c0fb0cae5b98b0","2013-03 -- 2013-07",34,17,15,2,0.5,0.4412,0.0588,0,0,0,0,1,14,9,6,15,0,2,0,15,0.0625,0.6507,0,0,0,0,0,0,0.3235,0.5882,0.5263,0.6471,0.0472,0.394,0.3547,0.4873,0.5125,0.4756,0.0695,8,5,1,0.5714,0.3571,0.0714
"d2dbc3f69c69e5933e7b3da429c0fb0cae5b98b0-73a11b3e249da35ede92560eb089239252721351","2013-07 -- 2013-09",16,12,3,1,0.75,0.1875,0.0625,1,0.0625,0,0,1,8,8,0,0,0,2,0,0,1,1,1.08,1.3333,1.0909,0.8235,2,0.2222,0.125,0.5,0.3846,1,0.0385,0.0971,0.1667,0.5434,0.5434,0,0.1,8,0,0,1,0,0
"73a11b3e249da35ede92560eb089239252721351-6d4f0934f7bef5fe3475c4947be44b10cbabaf44","2013-09 -- 2014-02",19,12,5,2,0.6316,0.2632,0.1053,0,0,0,0,1,7,7,0,0,0,0,0,0,1,1,0.5143,0.3636,0.8,0.8,0,0.2222,0,0.6316,0.5,1,0.0846,0.3522,0.4444,0.3421,0.3421,0,0.1111,7,0,0,1,0,0
"6d4f0934f7bef5fe3475c4947be44b10cbabaf44-0337703ffedc8562299c2d65acfae76c380043c6","2014-02 -- 2014-05",28,18,7,3,0.6429,0.25,0.1071,0,0,0,0,1,12,10,2,5,0,11,0,5,0,0.54,0.2979,0.2353,0.4211,0.4706,0,0,0.5357,0.5714,0.5238,0.8,0.1085,0.371,0.4048,0.4454,0.1389,-0.2998,0.1138,10,2,0,0.8333,0.1667,0
"0337703ffedc8562299c2d65acfae76c380043c6-acfcd5f0637a951d50c5112c7dfbd46f1d0dcdb3","2014-05 -- 2014-08",30,25,4,1,0.8333,0.1333,0.0333,4,0.1333,0,0,1,11,11,0,0,0,20,1,0,1,1,0.5172,0.8,0.5217,0.381,2,0.5333,0.6667,0.6333,0.5769,1,0.0848,0.3537,0.4713,0.0367,0.0367,0,0.1149,11,0,0,1,0,0
"acfcd5f0637a951d50c5112c7dfbd46f1d0dcdb3-f9309a6f44b51bb2c463a6a16d3ccf3edc6e6c7a","2014-08 -- 2014-11",25,16,6,3,0.64,0.24,0.12,5,0.2,3,0.3333,1,10,9,4,3,0,2,0,3,0,0.7778,0.6909,0.1429,0.5714,0.7,0,0.7368,0.32,0.6,0.5263,0.5556,0.0875,0.2854,0.4467,0.2681,0.2444,0.6337,0.1367,8,3,1,0.6667,0.25,0.0833
"f9309a6f44b51bb2c463a6a16d3ccf3edc6e6c7a-f9741725839ea144e9a6a1827f74503ee39946c3","2014-11 -- 2015-01",33,24,5,4,0.7273,0.1515,0.1212,2,0.0606,2,0.2222,1,18,15,2,3,0,11,0,3,0,0.6667,0.3793,0.5556,0.2857,0.3333,1,0.2727,0.4242,0.4545,0.4643,0.7778,0.0508,0.3823,0.4479,0.2855,0.2409,-0.3368,0.0833,15,2,0,0.8824,0.1176,0
"f9741725839ea144e9a6a1827f74503ee39946c3-9bfde38f19d81b7f33db8c4c8e80420c9e60429e","2015-01 -- 2015-04",30,22,4,4,0.7333,0.1333,0.1333,0,0,0,0,1,13,13,0,0,0,0,0,0,1,1,0.5397,0.2353,0.7097,0.5714,2,0.4706,0,0.5667,0.5,1,0.0592,0.4682,0.5379,0.2812,0.2812,0,0.0828,13,0,0,1,0,0
"9bfde38f19d81b7f33db8c4c8e80420c9e60429e-fdd6ee00c916f530e4d0aa1b250633643999dcf1","2015-04 -- 2015-08",32,21,9,2,0.6562,0.2812,0.0625,0,0,0,0,1,14,12,3,6,0,4,0,6,0,0.6061,0.4839,0.5263,0.5185,0.48,0,0,0.25,0.5625,0.4783,0.7273,0.0486,0.4068,0.3871,0.5013,0.2698,0.0569,0.0645,12,3,0,0.8,0.2,0
"fdd6ee00c916f530e4d0aa1b250633643999dcf1-d3b24b76dfde4daef9d463743971c7522a307092","2015-08 -- 2015-09",25,13,8,4,0.52,0.32,0.16,0,0,0,0,1,9,9,0,0,0,11,0,0,1,1,0.4912,0.2609,0.6957,0.381,2,0.0714,0.44,0.64,0.4706,1,0.0519,0.168,0.2533,0.2135,0.2135,0,0.08,9,0,0,1,0,0
"d3b24b76dfde4daef9d463743971c7522a307092-1f026dec91ce7d3d0efc9c572687ea31d49a8678","2015-09 -- 2016-02",39,28,6,5,0.7179,0.1538,0.1282,1,0.0256,0,0,1,16,16,0,0,0,16,0,0,1,1,0.3438,0.6957,0.16,0.16,0,0.4545,0.4103,0.5897,0.5152,1,0.0566,0.358,0.4474,0.0998,0.0998,0,0.1053,16,0,0,1,0,0
"1f026dec91ce7d3d0efc9c572687ea31d49a8678-1251f59ae8ec6a4b93f40f5052b3ebbe94fc2e50","2016-02 -- 2016-05",23,16,5,2,0.6957,0.2174,0.087,0,0,0,0,1,9,9,0,0,0,2,0,0,1,1,0.7742,0.8889,0.88,0.88,0,0.375,0.087,0.6087,0.5,1,0.0637,0.3676,0.3755,0.324,0.324,0,0.0791,9,0,0,1,0,0
