range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"b94f63ba3ffd8abb8e16ebc00cedc6a2f9617f84-d3ae52fee77b6a02fb9ca2e3df6781b5c5330441","2013-05 -- 2013-08",117,28,72,17,0.2393,0.6154,0.1453,8,0.0684,0,0,1,24,23,3,3,0,11,0,3,0.5,0.9719,0,0,0,0,0,0,0.1111,0.7949,0.4889,0.9663,0.0068,0.0924,0.3373,0.231,0.2137,-0.3885,0.0248,22,2,1,0.88,0.08,0.04,0.02564102564102564,0.09401709401709402,0.0,0.02564102564102564,0.041666666666666664,0.1527777777777778,0.0,0.041666666666666664
"d3ae52fee77b6a02fb9ca2e3df6781b5c5330441-edb8cb35c281239a61c27dcfd3acfeb0a55a9ace","2013-08 -- 2013-11",70,17,37,16,0.2429,0.5286,0.2286,11,0.1571,1,0.0189,1,16,15,5,6,0,14,0,7,0.4167,0.9434,0.8235,0.831,0.65,0.6842,0.25,0.0779,0.3,0.7714,0.5455,0.9057,0.0127,0.0929,0.3093,0.2533,0.2772,-0.2184,0.0385,13,3,2,0.7222,0.1667,0.1111,0.08571428571428572,0.2,0.0,0.1,0.16216216216216217,0.3783783783783784,0.0,0.1891891891891892
"edb8cb35c281239a61c27dcfd3acfeb0a55a9ace-583495709acbf09500abc1e62bfc690c28903c03","2013-11 -- 2014-02",73,23,41,9,0.3151,0.5616,0.1233,11,0.1507,0,0,1,15,15,0,0,0,2,0,0,1,1,0.5874,0.6019,0.6452,0.6,2,0.2381,0.0274,0.7945,0.5312,1,0.0096,0.0443,0.1416,0.4595,0.4595,0,0.0251,15,0,0,1,0,0,0.0,0.0273972602739726,0.0,0.0,0.0,0.04878048780487805,0.0,0.0
"583495709acbf09500abc1e62bfc690c28903c03-f4ba95ccc639bbb86ba47d3fe634963f887a2c0d","2014-02 -- 2014-05",126,18,95,13,0.1429,0.754,0.1032,18,0.1429,3,0.0278,1,19,13,12,20,0,2,0,21,0,0.9414,0.2312,0.1266,0.4706,0.7857,0,0.0435,0.1825,0.8492,0.5806,0.8889,0.005,0.0422,0.1159,0.6921,0.3174,0.6467,0.0121,11,10,2,0.4783,0.4348,0.087,0.15873015873015872,0.015873015873015872,0.0,0.16666666666666666,0.21052631578947367,0.021052631578947368,0.0,0.22105263157894736
"f4ba95ccc639bbb86ba47d3fe634963f887a2c0d-4ff936e7828cbf3409d881b91c5bf5eaa11bbd8b","2014-05 -- 2014-08",82,16,55,11,0.1951,0.6707,0.1341,15,0.1829,0,0,1,23,14,13,40,0,0,0,40,0.0476,0.8571,0.8654,0.8966,0.4762,0.5926,0.8,0.1333,0.3171,0.7195,0.4815,0.803,0.0135,0.1522,0.1843,0.3469,0.5151,0.3331,0.0256,11,10,3,0.4583,0.4167,0.125,0.4878048780487805,0.0,0.0,0.4878048780487805,0.7272727272727273,0.0,0.0,0.7272727272727273
"4ff936e7828cbf3409d881b91c5bf5eaa11bbd8b-d1fd40cadd0732f7ec55cae0b5fafa7d3fe84902","2014-08 -- 2014-11",89,24,58,7,0.2697,0.6517,0.0787,13,0.1461,1,0.0154,1,22,13,11,70,0,7,0,71,0,0.7872,0.5146,0.5496,0.7111,0.6667,0.9167,0.3409,0.4045,0.7528,0.5806,0.8308,0.0132,0.1245,0.2251,0.3723,0.1466,0.3184,0.0363,12,10,1,0.5217,0.4348,0.0435,0.7865168539325843,0.07865168539325842,0.0,0.797752808988764,1.206896551724138,0.1206896551724138,0.0,1.2241379310344827
"d1fd40cadd0732f7ec55cae0b5fafa7d3fe84902-6deba68600fb28b50b4ab65cb2cc9dce67110827","2014-11 -- 2015-02",91,31,52,8,0.3407,0.5714,0.0879,12,0.1319,0,0,1,21,17,11,19,0,4,0,20,0,0.88,0.6111,0.704,0.6047,0.4,0.5455,0.3455,0.2527,0.7692,0.5641,0.8167,0.0118,0.0816,0.2276,0.5077,0.1922,0.4117,0.0391,14,8,3,0.56,0.32,0.12,0.2087912087912088,0.04395604395604396,0.0,0.21978021978021978,0.36538461538461536,0.07692307692307693,0.0,0.38461538461538464
"6deba68600fb28b50b4ab65cb2cc9dce67110827-3ab74aaeb058a8abc2cf0c20fea88fba189dc6b8","2015-02 -- 2015-05",108,29,72,7,0.2685,0.6667,0.0648,13,0.1204,4,0.0506,1,27,17,18,44,0,12,0,45,0,0.894,0.5126,0.518,0.375,0.4118,0.6207,0.2353,0.4167,0.75,0.5278,0.7722,0.0099,0.0866,0.2695,0.6946,0.2889,0.6264,0.0296,16,17,1,0.4706,0.5,0.0294,0.4074074074074074,0.1111111111111111,0.0,0.4166666666666667,0.6111111111111112,0.16666666666666666,0.0,0.625
"3ab74aaeb058a8abc2cf0c20fea88fba189dc6b8-5c8efc9f3b4c74faba237c62420c5f362ec67549","2015-05 -- 2015-08",113,28,78,7,0.2478,0.6903,0.0619,12,0.1062,0,0,1,22,14,16,62,0,2,0,63,0.0455,0.8037,0.5701,0.5854,0.5714,0.5806,0.9412,0.4444,0.354,0.8053,0.6,0.8118,0.0104,0.1045,0.193,0.4016,0.1301,0.3609,0.0302,10,12,4,0.3846,0.4615,0.1538,0.5486725663716814,0.017699115044247787,0.0,0.5575221238938053,0.7948717948717948,0.02564102564102564,0.0,0.8076923076923077
"5c8efc9f3b4c74faba237c62420c5f362ec67549-144351502f10711a11869b08be445cde37a537a9","2015-08 -- 2015-11",82,21,51,10,0.2561,0.622,0.122,14,0.1707,2,0.0328,1,21,15,12,32,0,8,0,32,0.0303,0.8674,0.7487,0.7945,0.5116,0.6207,0.7857,0.2877,0.3659,0.7439,0.5161,0.8033,0.0144,0.1044,0.2662,0.29,0.0947,0.0548,0.0425,13,10,2,0.52,0.4,0.08,0.3902439024390244,0.0975609756097561,0.0,0.3902439024390244,0.6274509803921569,0.1568627450980392,0.0,0.6274509803921569
