range,"range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core","norm.org.silo","norm.radio.silence","norm.black.cloud","norm.missing.links","norm.only.code.org.silo","norm.only.code.radio.silence","norm.only.code.black.cloud","norm.only.code.missing.links"
"2b1779b9162541286c4d046411d4050d95a05ee8-182a05b9d5b4321be89aa25ade89e41d00f0b4f7","2013-05 -- 2013-07",38,28,5,5,0.7368,0.1316,0.1316,3,0.0789,0,0,6,15,15,3,3,0,0,0,4,0,0.725,0,0,0,0,0,0,0.1316,0.6053,0.5455,0.7,0.1199,0.7865,0.7966,0.3589,0.3155,0.4989,0.0683,13,1,2,0.8125,0.0625,0.125,0.07894736842105263,0.0,0.0,0.10526315789473684,0.6,0.0,0.0,0.8
"182a05b9d5b4321be89aa25ade89e41d00f0b4f7-49282c8e9d34d7773add4d6996b36974f26ce3ef","2013-07 -- 2013-11",59,47,5,7,0.7966,0.0847,0.1186,6,0.1017,0,0,8,24,24,3,2,0,22,0,2,0.5,0.8333,0.4948,0.3636,0.5128,0.5128,0.6667,0.0833,0.4068,0.5932,0.5556,0.75,0.0425,0.6454,0.6727,0.1665,0.1703,0.1121,0.0514,22,1,2,0.88,0.04,0.08,0.03389830508474576,0.3728813559322034,0.0,0.03389830508474576,0.4,4.4,0.0,0.4
"49282c8e9d34d7773add4d6996b36974f26ce3ef-b53306815ecb226c6ae0dd9729a7a0af0043b4d4","2013-11 -- 2013-11",15,12,1,2,0.8,0.0667,0.1333,0,0,0,0,4,8,8,0,0,0,0,0,0,1,1,1.4054,1.2,1.25,1.25,2,0.4038,0,0.4667,0.4286,1,0.0667,0.219,0.2048,0.3646,0.3646,0,0.1524,8,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"b53306815ecb226c6ae0dd9729a7a0af0043b4d4-a785be76f62ef76683034b4df99e0f353bb58921","2013-11 -- 2014-04",92,74,9,9,0.8043,0.0978,0.0978,6,0.0652,0,0,12,40,39,5,4,0,33,0,7,0.125,0.7986,0.0748,0,0.0833,0.0851,0,0,0.413,0.5652,0.5301,0.7222,0.0492,0.773,0.7449,0.2111,0.1793,0.428,0.0354,35,1,4,0.875,0.025,0.1,0.043478260869565216,0.358695652173913,0.0,0.07608695652173914,0.4444444444444444,3.6666666666666665,0.0,0.7777777777777778
"a785be76f62ef76683034b4df99e0f353bb58921-cf5013dd3fb2531ca465cae7481ddc4cc16e56c5","2014-04 -- 2014-08",62,48,6,8,0.7742,0.0968,0.129,4,0.0645,1,0.0714,5,28,27,2,4,0,22,0,4,0.2,0.7571,0.8961,0.5625,0.8824,0.9091,0.8571,0.4058,0.4032,0.5484,0.5179,0.8571,0.0356,0.6328,0.6452,0.219,0.1212,0.025,0.0434,26,1,1,0.9286,0.0357,0.0357,0.06451612903225806,0.3548387096774194,0.0,0.06451612903225806,0.6666666666666666,3.6666666666666665,0.0,0.6666666666666666
"cf5013dd3fb2531ca465cae7481ddc4cc16e56c5-fb7d63250ed10e7655668d3c58251a5f1da32063","2014-08 -- 2014-10",55,43,6,6,0.7818,0.1091,0.1091,4,0.0727,0,0,7,25,24,2,2,0,2,0,2,0.3333,0.8611,0.6154,0.2308,0.717,0.7059,0,0.4167,0.0909,0.5455,0.5102,0.8333,0.0273,0.4232,0.4734,0.277,0.3983,-0.3527,0.0451,23,1,1,0.92,0.04,0.04,0.03636363636363636,0.03636363636363636,0.0,0.03636363636363636,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
"fb7d63250ed10e7655668d3c58251a5f1da32063-2b7e167dbb59a6d1152c644080e21782b8b675e3","2014-10 -- 2015-01",51,42,1,8,0.8235,0.0196,0.1569,3,0.0588,1,0.1111,5,22,22,2,1,0,18,0,3,0.4,0.7556,0.566,0.5714,0.7234,0.6957,0.5,0.0333,0.4118,0.5686,0.56,0.7778,0.084,0.6563,0.6647,0.0675,0.0948,0.0304,0.0753,21,1,1,0.913,0.0435,0.0435,0.0196078431372549,0.35294117647058826,0.0,0.058823529411764705,1.0,18.0,0.0,3.0
"2b7e167dbb59a6d1152c644080e21782b8b675e3-1a4ea1acc717221b873f0cfdd0649dbb94595ec2","2015-01 -- 2015-04",53,44,3,6,0.8302,0.0566,0.1132,1,0.0189,0,0,7,27,27,4,4,0,13,0,6,0.25,0.625,0.6154,0.4444,0.449,0.4898,0.3333,0.375,0.283,0.4906,0.46,0.5556,0.0684,0.7048,0.5127,0.2892,0.3603,0.1482,0.045,24,1,3,0.8571,0.0357,0.1071,0.07547169811320754,0.24528301886792453,0.0,0.11320754716981132,1.3333333333333333,4.333333333333333,0.0,2.0
"1a4ea1acc717221b873f0cfdd0649dbb94595ec2-470d0386712ade298b815979cda4d75f358f554d","2015-04 -- 2015-07",42,32,7,3,0.7619,0.1667,0.0714,2,0.0476,0,0,4,21,19,4,7,0,2,0,7,0.2222,0.5556,0.7368,0.3158,0.625,0.7391,0.5,0.1143,0.1905,0.5,0.4571,0.6,0.0412,0.4683,0.4297,0.5514,0.5005,0.3828,0.0581,17,2,2,0.8095,0.0952,0.0952,0.16666666666666666,0.047619047619047616,0.0,0.16666666666666666,1.0,0.2857142857142857,0.0,1.0
"470d0386712ade298b815979cda4d75f358f554d-f9cce38e497577449f1a29017d177ca753491885","2015-07 -- 2015-10",72,59,0,13,0.8194,0,0.1806,2,0.0278,0,0,9,36,36,3,0,0,12,0,4,0,0.7308,0.3684,0.087,0.386,0.4,0.8571,0.0476,0.2222,0.5,0.5,0.7692,0.024,0.4809,0.4851,0.4929,0.4303,0.1277,0.036,33,0,3,0.9167,0,0.0833,0.0,0.16666666666666666,0.0,0.05555555555555555,NaN,Infinity,NaN,Infinity
